ts,value
2023-04-03 12:36:22+00:00,23.74
2023-04-03 12:51:22+00:00,23.741
2023-04-03 13:06:22+00:00,23.743
2023-04-03 13:21:22+00:00,23.744
2023-04-03 13:36:22+00:00,23.745
2023-04-03 13:51:22+00:00,23.74
2023-04-03 14:06:22+00:00,23.741
2023-04-03 14:21:22+00:00,23.743
2023-04-03 14:36:22+00:00,23.744
2023-04-03 14:51:22+00:00,23.745
2023-04-03 15:06:22+00:00,23.746
2023-04-03 15:21:21+00:00,23.747
2023-04-03 15:36:21+00:00,23.748
2023-04-03 15:51:21+00:00,23.749
2023-04-03 16:06:21+00:00,23.75
2023-04-03 16:21:21+00:00,23.751
2023-04-03 16:36:21+00:00,23.753
2023-04-03 16:51:21+00:00,23.754
2023-04-03 17:06:21+00:00,23.755
2023-04-03 17:21:21+00:00,23.75
2023-04-03 17:36:21+00:00,23.75
2023-04-03 17:51:21+00:00,23.751
2023-04-03 18:06:21+00:00,23.752
2023-04-03 18:21:21+00:00,23.753
2023-04-03 18:36:21+00:00,23.753
2023-04-03 18:51:21+00:00,23.753
2023-04-03 19:06:21+00:00,23.754
2023-04-03 19:21:21+00:00,23.754
2023-04-03 19:36:21+00:00,23.755
2023-04-03 19:51:21+00:00,23.755
2023-04-03 20:06:21+00:00,23.757
2023-04-03 20:21:21+00:00,23.757
2023-04-03 20:36:21+00:00,23.758
2023-04-03 20:51:21+00:00,23.759
2023-04-03 21:06:21+00:00,23.76
2023-04-03 21:21:21+00:00,23.761
2023-04-03 21:36:21+00:00,23.762
2023-04-03 21:51:21+00:00,23.763
2023-04-03 22:06:21+00:00,23.764
2023-04-03 22:21:21+00:00,23.764
2023-04-03 22:36:21+00:00,23.765
2023-04-03 22:51:21+00:00,23.76
2023-04-03 23:06:21+00:00,23.761
2023-04-03 23:21:21+00:00,23.762
2023-04-03 23:36:21+00:00,23.763
2023-04-03 23:51:21+00:00,23.764
2023-04-04 00:06:21+00:00,23.765
2023-04-04 00:21:21+00:00,23.766
2023-04-04 00:36:21+00:00,23.767
2023-04-04 00:51:21+00:00,23.768
2023-04-04 01:06:21+00:00,23.769
2023-04-04 01:21:21+00:00,23.77
2023-04-04 01:36:21+00:00,23.771
2023-04-04 01:51:21+00:00,23.772
2023-04-04 02:06:21+00:00,23.773
2023-04-04 02:21:21+00:00,23.774
2023-04-04 02:36:21+00:00,23.775
2023-04-04 02:51:21+00:00,23.77
2023-04-04 03:06:21+00:00,23.771
2023-04-04 03:21:21+00:00,23.772
2023-04-04 03:36:21+00:00,23.773
2023-04-04 03:51:21+00:00,23.775
2023-04-04 04:06:20+00:00,23.778
2023-04-04 04:21:20+00:00,23.782
2023-04-04 04:36:20+00:00,23.784
2023-04-04 04:51:20+00:00,23.78
2023-04-04 05:06:20+00:00,23.782
2023-04-04 05:21:20+00:00,23.783
2023-04-04 05:36:20+00:00,23.785
2023-04-04 05:51:20+00:00,23.787
2023-04-04 06:06:20+00:00,23.789
2023-04-04 06:21:20+00:00,23.791
2023-04-04 06:36:20+00:00,23.793
2023-04-04 06:51:20+00:00,23.795
2023-04-04 07:06:20+00:00,23.791
2023-04-04 07:21:20+00:00,23.792
2023-04-04 07:36:20+00:00,23.794
2023-04-04 07:51:20+00:00,23.796
2023-04-04 08:06:20+00:00,23.797
2023-04-04 08:21:20+00:00,23.799
2023-04-04 08:36:20+00:00,23.8
2023-04-04 08:51:20+00:00,23.802
2023-04-04 09:06:20+00:00,23.803
2023-04-04 09:21:20+00:00,23.805
2023-04-04 09:36:20+00:00,23.801
2023-04-04 09:51:20+00:00,23.802
2023-04-04 10:06:20+00:00,23.804
2023-04-04 10:21:20+00:00,23.805
2023-04-04 10:36:20+00:00,23.807
