ts,value
2022-04-20 00:29:07+00:00,249.14
2022-04-20 00:44:07+00:00,249.14
2022-04-20 00:59:07+00:00,249.14
2022-04-20 01:14:07+00:00,249.14
2022-04-20 01:29:07+00:00,249.14
2022-04-20 01:44:07+00:00,249.14
2022-04-20 01:59:07+00:00,249.14
2022-04-20 02:14:07+00:00,249.16
2022-04-20 02:29:07+00:00,249.16
2022-04-20 02:44:06+00:00,249.18
2022-04-20 02:59:07+00:00,249.2
2022-04-20 03:14:06+00:00,249.2
2022-04-20 03:29:06+00:00,249.2
2022-04-20 03:44:06+00:00,249.2
2022-04-20 03:59:06+00:00,249.2
2022-04-20 04:14:06+00:00,249.2
2022-04-20 04:29:06+00:00,249.2
2022-04-20 04:44:06+00:00,249.2
2022-04-20 04:59:06+00:00,249.2
2022-04-20 05:14:06+00:00,249.21
2022-04-20 05:29:06+00:00,249.22
2022-04-20 05:44:06+00:00,249.23
2022-04-20 05:59:06+00:00,249.24
2022-04-20 06:14:06+00:00,249.24
2022-04-20 06:29:06+00:00,249.24
2022-04-20 06:44:06+00:00,249.27
2022-04-20 06:59:06+00:00,249.29
2022-04-20 07:14:06+00:00,249.34
2022-04-20 07:29:06+00:00,249.43
2022-04-20 07:44:06+00:00,249.46
2022-04-20 07:59:06+00:00,249.52
2022-04-20 08:14:06+00:00,249.59
2022-04-20 08:29:06+00:00,249.62
2022-04-20 08:44:05+00:00,249.66
2022-04-20 08:59:05+00:00,249.67
2022-04-20 09:14:05+00:00,249.69
2022-04-20 09:29:05+00:00,249.71
2022-04-20 09:44:05+00:00,249.78
2022-04-20 09:59:05+00:00,249.8
2022-04-20 10:14:05+00:00,249.86
2022-04-20 10:29:05+00:00,249.9
2022-04-20 10:44:05+00:00,249.97
2022-04-20 10:59:05+00:00,249.98
2022-04-20 11:14:05+00:00,250.0
2022-04-20 11:29:05+00:00,250.0
2022-04-20 11:44:05+00:00,250.01
2022-04-20 11:59:05+00:00,250.03
2022-04-20 12:14:05+00:00,250.03
2022-04-20 12:29:05+00:00,250.04
2022-04-20 12:44:05+00:00,250.05
2022-04-20 12:59:05+00:00,250.05
2022-04-20 13:14:05+00:00,250.06
2022-04-20 13:29:05+00:00,250.06
2022-04-20 13:44:05+00:00,250.06
2022-04-20 13:59:05+00:00,250.07
2022-04-20 14:14:05+00:00,250.07
2022-04-20 14:29:04+00:00,250.1
2022-04-20 14:44:04+00:00,250.11
2022-04-20 14:59:04+00:00,250.11
2022-04-20 15:14:04+00:00,250.11
2022-04-20 15:29:04+00:00,250.13
2022-04-20 15:44:04+00:00,250.15
2022-04-20 15:59:04+00:00,250.16
2022-04-20 16:14:04+00:00,250.17
2022-04-20 16:29:04+00:00,250.17
2022-04-20 16:44:04+00:00,250.17
2022-04-20 16:59:04+00:00,250.17
2022-04-20 17:14:04+00:00,250.17
