ts,value
2021-05-07 06:00:00+00:00,1.2084373504
2021-05-07 06:15:00+00:00,1.5733989612000001
2021-05-07 06:30:00+00:00,1.8710188816
2021-05-07 06:45:00+00:00,2.1511590624
2021-05-07 07:00:00+00:00,2.4431966299
2021-05-07 07:15:00+00:00,2.674364647
2021-05-07 07:30:00+00:00,2.8922446772
2021-05-07 07:45:00+00:00,3.10775334
2021-05-07 08:00:00+00:00,3.3443024994
2021-05-07 08:15:00+00:00,3.6075882968
2021-05-07 08:30:00+00:00,3.81997818
2021-05-07 08:45:00+00:00,4.0288962776
2021-05-07 09:00:00+00:00,4.2551780481
2021-05-07 09:15:00+00:00,4.5292534087
2021-05-07 09:30:00+00:00,4.8637236876
2021-05-07 09:45:00+00:00,5.5416789688
2021-05-07 10:00:00+00:00,6.2136491378
2021-05-07 10:15:00+00:00,6.900257347
2021-05-07 10:30:00+00:00,7.302276383200001
2021-05-07 10:45:00+00:00,7.55121933
2021-05-07 11:00:00+00:00,7.8077295336
2021-05-07 11:15:00+00:00,8.0469805696
2021-05-07 11:30:00+00:00,8.282465581
2021-05-07 11:45:00+00:00,8.540193295
2021-05-07 12:00:00+00:00,8.8664336736
2021-05-07 12:15:00+00:00,9.145590556
2021-05-07 12:30:00+00:00,9.447282020000001
2021-05-07 12:45:00+00:00,9.887356266400001
2021-05-07 13:00:00+00:00,10.1962531691
2021-05-07 13:15:00+00:00,10.476654656500001
2021-05-07 13:30:00+00:00,10.745434121
2021-05-07 13:45:00+00:00,11.0649575856
2021-05-07 14:00:00+00:00,11.376205479300001
2021-05-07 14:15:00+00:00,11.6852413318
2021-05-07 14:30:00+00:00,12.5594067472
2021-05-07 14:45:00+00:00,13.087950217600001
2021-05-07 15:00:00+00:00,13.422483211500001
2021-05-07 15:15:00+00:00,13.7212015516
2021-05-07 15:30:00+00:00,14.6694512068
2021-05-07 15:45:00+00:00,17.691020993000002
2021-05-07 16:00:00+00:00,20.739389024
2021-05-07 16:15:00+00:00,23.8761236801
2021-05-07 16:30:00+00:00,26.951027728
2021-05-07 16:45:00+00:00,30.0610934336
2021-05-07 17:00:00+00:00,33.1752924371
2021-05-07 17:15:00+00:00,34.510859965
2021-05-07 17:30:00+00:00,34.8642573135
2021-05-07 17:45:00+00:00,35.218595905200004
2021-05-07 18:00:00+00:00,35.6020457126
2021-05-07 18:15:00+00:00,35.9412227144
2021-05-07 18:30:00+00:00,36.2153580334
2021-05-07 18:45:00+00:00,36.45235472
2021-05-07 19:00:00+00:00,36.6854302248
2021-05-07 19:15:00+00:00,36.9154335782
2021-05-07 19:30:00+00:00,37.1635714675
2021-05-07 19:45:00+00:00,37.4409200292
2021-05-07 20:00:00+00:00,37.7114445036
2021-05-07 20:15:00+00:00,37.983840998
2021-05-07 20:30:00+00:00,38.253979742
2021-05-07 20:45:00+00:00,38.5125621975
2021-05-07 21:00:00+00:00,38.7762817285
2021-05-07 21:15:00+00:00,39.0327900572
2021-05-07 21:30:00+00:00,39.1895123696
2021-05-07 21:45:00+00:00,39.32142228
2021-05-07 22:00:00+00:00,39.4351325557
2021-05-07 22:15:00+00:00,39.5493858712
2021-05-07 22:30:00+00:00,39.6511633816
2021-05-07 22:45:00+00:00,39.7428302757
2021-05-07 23:00:00+00:00,39.8409727198
2021-05-07 23:15:00+00:00,39.934895188
2021-05-07 23:30:00+00:00,40.023632572800004
2021-05-07 23:45:00+00:00,40.1227046763
2021-05-08 00:00:00+00:00,40.214976982
2021-05-08 00:15:00+00:00,40.3045431752
2021-05-08 00:30:00+00:00,40.4307076104
2021-05-08 00:45:00+00:00,40.5303073747
2021-05-08 01:00:00+00:00,40.607617802600004
2021-05-08 01:15:00+00:00,40.6948487828
2021-05-08 01:30:00+00:00,40.7917883384
2021-05-08 01:45:00+00:00,40.877435087500004
2021-05-08 02:00:00+00:00,40.9627158144
2021-05-08 02:15:00+00:00,41.056927074
