ts,value
2021-01-01 06:00:00+00:00,594.457
2021-01-01 07:00:00+00:00,462.408
2021-01-01 08:00:00+00:00,489.411
2021-01-01 09:00:00+00:00,558.699
2021-01-01 10:00:00+00:00,462.216
2021-01-01 11:00:00+00:00,585.814
2021-01-01 12:00:00+00:00,461.993
2021-01-01 13:00:00+00:00,460.769
2021-01-01 14:00:00+00:00,584.842
2021-01-01 15:00:00+00:00,347.009
2021-01-01 16:00:00+00:00,373.93
2021-01-01 17:00:00+00:00,583.132
2021-01-01 18:00:00+00:00,460.86
2021-01-01 19:00:00+00:00,586.714
2021-01-01 20:00:00+00:00,449.929
2021-01-01 21:00:00+00:00,335.845
2021-01-01 22:00:00+00:00,973.478
2021-01-01 23:00:00+00:00,1002.91
2021-01-02 00:00:00+00:00,1003.447
2021-01-02 01:00:00+00:00,1002.738
2021-01-02 02:00:00+00:00,1003.001
2021-01-02 03:00:00+00:00,1001.048
2021-01-02 04:00:00+00:00,1020.592
2021-01-02 05:00:00+00:00,1132.671
2021-01-02 06:00:00+00:00,1024.863
2021-01-02 07:00:00+00:00,1019.134
2021-01-02 08:00:00+00:00,1020.612
2021-01-02 09:00:00+00:00,1020.025
2021-01-02 10:00:00+00:00,1018.314
2021-01-02 11:00:00+00:00,1017.262
2021-01-02 12:00:00+00:00,857.957
2021-01-02 13:00:00+00:00,393.93
2021-01-02 14:00:00+00:00,1016.563
2021-01-02 15:00:00+00:00,1014.387
2021-01-02 16:00:00+00:00,1017.869
2021-01-02 17:00:00+00:00,1018.972
2021-01-02 18:00:00+00:00,588.526
2021-01-02 19:00:00+00:00,988.984
2021-01-02 20:00:00+00:00,1014.559
2021-01-02 21:00:00+00:00,879.272
2021-01-02 22:00:00+00:00,699.493
2021-01-02 23:00:00+00:00,1000.076
2021-01-03 00:00:00+00:00,999.884
2021-01-03 01:00:00+00:00,999.874
2021-01-03 02:00:00+00:00,939.441
2021-01-03 03:00:00+00:00,693.066
2021-01-03 04:00:00+00:00,794.883
2021-01-03 05:00:00+00:00,566.999
2021-01-03 06:00:00+00:00,1035.905
2021-01-03 07:00:00+00:00,1022.656
2021-01-03 08:00:00+00:00,1020.774
2021-01-03 09:00:00+00:00,1021.958
2021-01-03 10:00:00+00:00,1014.974
2021-01-03 11:00:00+00:00,996.149
2021-01-03 12:00:00+00:00,811.036
2021-01-03 13:00:00+00:00,363.809
2021-01-03 14:00:00+00:00,1022.646
2021-01-03 15:00:00+00:00,920.95
2021-01-03 16:00:00+00:00,713.794
2021-01-03 17:00:00+00:00,762.607
2021-01-03 18:00:00+00:00,1031.36
2021-01-03 19:00:00+00:00,1021.411
2021-01-03 20:00:00+00:00,1024.933
2021-01-03 21:00:00+00:00,1021.209
2021-01-03 22:00:00+00:00,1023.638
2021-01-03 23:00:00+00:00,600.115
2021-01-04 00:00:00+00:00,964.187
2021-01-04 01:00:00+00:00,1002.687
2021-01-04 02:00:00+00:00,1058.292
2021-01-04 03:00:00+00:00,1195.806
2021-01-04 04:00:00+00:00,1193.65
2021-01-04 05:00:00+00:00,1201.849
2021-01-04 06:00:00+00:00,1203.083
2021-01-04 07:00:00+00:00,1208.285
2021-01-04 08:00:00+00:00,927.863
2021-01-04 09:00:00+00:00,1045.003
2021-01-04 10:00:00+00:00,1215.38
2021-01-04 11:00:00+00:00,1006.635
2021-01-04 12:00:00+00:00,662.855
2021-01-04 13:00:00+00:00,482.812
2021-01-04 14:00:00+00:00,1194.076
2021-01-04 15:00:00+00:00,1213.862
2021-01-04 16:00:00+00:00,1215.046
2021-01-04 17:00:00+00:00,1081.722
2021-01-04 18:00:00+00:00,868.119
2021-01-04 19:00:00+00:00,958.084
2021-01-04 20:00:00+00:00,1215.836
2021-01-04 21:00:00+00:00,1212.769
2021-01-04 22:00:00+00:00,1215.815
2021-01-04 23:00:00+00:00,1196.555
2021-01-05 00:00:00+00:00,1197.456
2021-01-05 01:00:00+00:00,1199.44
2021-01-05 02:00:00+00:00,761.393
2021-01-05 03:00:00+00:00,1201.778
2021-01-05 04:00:00+00:00,1204.439
2021-01-05 05:00:00+00:00,1035.925
2021-01-05 06:00:00+00:00,845.023
2021-01-05 07:00:00+00:00,1226.463
2021-01-05 08:00:00+00:00,1226.746
2021-01-05 09:00:00+00:00,1224.945
2021-01-05 10:00:00+00:00,1219.945
2021-01-05 11:00:00+00:00,1002.961
2021-01-05 12:00:00+00:00,674.312
