ts,value
2021-05-04 07:49:29+00:00,2133.369
2021-05-04 08:04:30+00:00,2133.4315
2021-05-04 08:19:30+00:00,2133.4941
2021-05-04 08:34:30+00:00,2133.5565
2021-05-04 08:49:30+00:00,2133.6186
2021-05-04 08:56:30+00:00,2133.6479
2021-05-04 09:04:30+00:00,2133.6812
2021-05-04 09:19:31+00:00,2133.744
2021-05-04 09:34:31+00:00,2133.8064
2021-05-04 09:49:32+00:00,2133.869
2021-05-04 10:04:32+00:00,2133.9316
2021-05-04 10:19:33+00:00,2133.9942
2021-05-04 10:34:34+00:00,2134.0572
2021-05-04 10:49:35+00:00,2134.1201
2021-05-04 11:04:36+00:00,2134.1824
2021-05-04 11:19:37+00:00,2134.2448
2021-05-04 11:34:38+00:00,2134.3071
2021-05-04 11:49:39+00:00,2134.3699
2021-05-04 12:04:39+00:00,2134.4324
2021-05-04 12:19:40+00:00,2134.495
2021-05-04 12:34:41+00:00,2134.5578
2021-05-04 12:49:41+00:00,2134.6205
2021-05-04 13:04:42+00:00,2134.6832
2021-05-04 13:19:43+00:00,2134.7457
2021-05-04 13:34:44+00:00,2134.8086
2021-05-04 13:49:44+00:00,2134.8714
2021-05-04 14:04:45+00:00,2134.934
2021-05-04 14:19:45+00:00,2134.9964
2021-05-04 14:34:46+00:00,2135.059
2021-05-04 14:49:46+00:00,2135.1215
2021-05-04 15:04:47+00:00,2135.1843
2021-05-04 15:19:48+00:00,2135.2467
2021-05-04 15:34:49+00:00,2135.309
2021-05-04 15:49:49+00:00,2135.3715
2021-05-04 16:04:50+00:00,2135.4345
2021-05-04 16:19:50+00:00,2135.4972
2021-05-04 16:34:51+00:00,2135.5599
2021-05-04 16:49:52+00:00,2135.6223
2021-05-04 17:04:53+00:00,2135.6852
2021-05-04 17:19:53+00:00,2135.7482
2021-05-04 17:34:53+00:00,2135.811
2021-05-04 17:49:55+00:00,2135.8738
2021-05-04 18:04:56+00:00,2135.937
2021-05-04 18:19:56+00:00,2136.0003
2021-05-04 18:34:55+00:00,2136.0641
2021-05-04 18:49:57+00:00,2136.128
2021-05-04 19:04:57+00:00,2136.1914
2021-05-04 19:19:58+00:00,2136.3023
2021-05-04 19:34:58+00:00,2136.4515
2021-05-04 19:49:59+00:00,2136.5982
2021-05-04 21:05:02+00:00,2137.3546
2021-05-04 22:50:06+00:00,2138.4123
2021-05-04 23:05:07+00:00,2138.5648
2021-05-04 23:20:08+00:00,2138.7172
2021-05-04 23:35:08+00:00,2138.8698
2021-05-04 23:50:09+00:00,2139.0226
2021-05-05 00:05:09+00:00,2139.1751
2021-05-05 00:20:10+00:00,2139.3277
2021-05-05 00:35:10+00:00,2139.481
2021-05-05 00:50:12+00:00,2139.6343
2021-05-05 01:05:12+00:00,2139.7878
2021-05-05 01:20:12+00:00,2139.9396
2021-05-05 01:35:12+00:00,2140.0923
2021-05-05 01:50:14+00:00,2140.2445
2021-05-05 02:05:14+00:00,2140.3967
2021-05-05 02:20:14+00:00,2140.549
