ts,value
2021-05-04 07:40:10+00:00,115.2049
2021-05-04 07:55:11+00:00,115.2091
2021-05-04 08:10:13+00:00,115.2131
2021-05-04 08:25:13+00:00,115.2172
2021-05-04 08:40:15+00:00,115.2213
2021-05-04 08:55:15+00:00,115.2253
2021-05-04 09:10:16+00:00,115.2292
2021-05-04 09:25:15+00:00,115.2334
2021-05-04 09:40:16+00:00,115.2374
2021-05-04 09:55:15+00:00,115.2415
2021-05-04 10:10:17+00:00,115.2455
2021-05-04 10:25:17+00:00,115.2495
2021-05-04 10:40:17+00:00,115.254
2021-05-04 10:55:17+00:00,115.2589
2021-05-04 11:10:18+00:00,115.2635
2021-05-04 11:25:17+00:00,115.2675
2021-05-04 11:40:18+00:00,115.2721
2021-05-04 11:44:01+00:00,115.2732
2021-05-04 11:55:19+00:00,115.2765
2021-05-04 12:10:20+00:00,115.2807
2021-05-04 12:25:21+00:00,115.2852
2021-05-04 12:40:22+00:00,115.2895
2021-05-04 12:55:22+00:00,115.294
2021-05-04 13:10:24+00:00,115.2981
2021-05-04 13:25:23+00:00,115.3024
2021-05-04 13:40:24+00:00,115.3067
2021-05-04 13:55:24+00:00,115.3108
2021-05-04 14:10:27+00:00,115.3149
2021-05-04 14:25:25+00:00,115.319
2021-05-04 14:40:25+00:00,115.3233
2021-05-04 14:55:26+00:00,115.3279
2021-05-04 15:10:26+00:00,115.3325
2021-05-04 15:25:27+00:00,115.3369
2021-05-04 15:40:27+00:00,115.3412
2021-05-04 15:55:30+00:00,115.3459
2021-05-04 16:10:30+00:00,115.3503
2021-05-04 16:25:30+00:00,115.3546
2021-05-04 16:40:31+00:00,115.3589
2021-05-04 16:55:32+00:00,115.363
2021-05-04 17:10:33+00:00,115.3673
2021-05-04 17:25:35+00:00,115.3732
2021-05-04 17:40:34+00:00,115.3773
2021-05-04 17:55:35+00:00,115.3814
2021-05-04 18:10:36+00:00,115.3855
2021-05-04 18:25:37+00:00,115.3895
2021-05-04 18:40:37+00:00,115.3934
2021-05-04 18:55:37+00:00,115.3982
2021-05-04 19:10:37+00:00,115.4038
2021-05-04 19:25:38+00:00,115.4095
2021-05-04 19:40:37+00:00,115.4165
2021-05-04 19:55:37+00:00,115.4331
2021-05-04 20:10:38+00:00,115.445
2021-05-04 20:25:39+00:00,115.4507
2021-05-04 20:40:40+00:00,115.4564
2021-05-04 20:55:41+00:00,115.462
2021-05-04 21:10:42+00:00,115.4677
2021-05-04 21:25:41+00:00,115.4734
2021-05-04 21:40:42+00:00,115.4864
2021-05-04 21:55:43+00:00,115.4922
2021-05-04 22:10:43+00:00,115.498
2021-05-04 22:25:43+00:00,115.5037
2021-05-04 22:40:44+00:00,115.5094
2021-05-04 22:55:44+00:00,115.5152
2021-05-04 23:10:45+00:00,115.5209
2021-05-04 23:25:44+00:00,115.5267
2021-05-04 23:40:46+00:00,115.5325
2021-05-04 23:55:46+00:00,115.5383
2021-05-05 00:10:47+00:00,115.5441
2021-05-05 00:25:48+00:00,115.5498
2021-05-05 00:40:49+00:00,115.5556
2021-05-05 00:55:49+00:00,115.5615
2021-05-05 01:10:49+00:00,115.5672
2021-05-05 01:25:49+00:00,115.573
2021-05-05 01:40:50+00:00,115.5788
2021-05-05 01:55:50+00:00,115.5846
2021-05-05 02:10:52+00:00,115.5991
2021-05-05 02:25:53+00:00,115.6048
2021-05-05 02:40:51+00:00,115.6106
2021-05-05 02:55:52+00:00,115.6232
2021-05-05 03:10:53+00:00,115.629
2021-05-05 03:25:53+00:00,115.6347
2021-05-05 03:40:54+00:00,115.6405
2021-05-05 03:55:55+00:00,115.6463
2021-05-05 04:10:57+00:00,115.6521
2021-05-05 04:25:57+00:00,115.6578
2021-05-05 04:40:58+00:00,115.6618
2021-05-05 04:55:57+00:00,115.6658
2021-05-05 05:10:58+00:00,115.6699
2021-05-05 05:25:59+00:00,115.6739
2021-05-05 05:41:02+00:00,115.6781
2021-05-05 05:56:00+00:00,115.6822
2021-05-05 06:11:01+00:00,115.6862
2021-05-05 06:26:01+00:00,115.6902
2021-05-05 06:41:03+00:00,115.6943
2021-05-05 06:56:02+00:00,115.6983
2021-05-05 07:11:03+00:00,115.7023
2021-05-05 07:26:03+00:00,115.7064
2021-05-05 07:41:05+00:00,115.7104
2021-05-05 07:56:04+00:00,115.7144
2021-05-05 08:11:05+00:00,115.7184
