ts,value
2019-12-10 00:00:00+00:00,29.4
2019-12-10 00:15:00+00:00,28.5
2019-12-10 00:30:00+00:00,28.5
2019-12-10 00:45:00+00:00,28.35
2019-12-10 01:00:00+00:00,27.45
2019-12-10 01:15:00+00:00,27.0
2019-12-10 01:30:00+00:00,27.0
2019-12-10 01:45:00+00:00,27.15
2019-12-10 02:00:00+00:00,27.75
2019-12-10 02:15:00+00:00,27.0
2019-12-10 02:30:00+00:00,27.9
2019-12-10 02:45:00+00:00,26.4
2019-12-10 03:00:00+00:00,27.6
2019-12-10 03:15:00+00:00,27.15
2019-12-10 03:30:00+00:00,26.7
2019-12-10 03:45:00+00:00,26.85
2019-12-10 04:00:00+00:00,26.55
2019-12-10 04:15:00+00:00,27.0
2019-12-10 04:30:00+00:00,27.75
2019-12-10 04:45:00+00:00,26.55
2019-12-10 05:00:00+00:00,27.45
2019-12-10 05:15:00+00:00,26.55
2019-12-10 05:30:00+00:00,52.95
2019-12-10 05:45:00+00:00,47.1
2019-12-10 06:00:00+00:00,41.55
2019-12-10 06:15:00+00:00,46.95
2019-12-10 06:30:00+00:00,54.45
2019-12-10 06:45:00+00:00,93.0
2019-12-10 07:00:00+00:00,121.35
2019-12-10 07:15:00+00:00,212.25
2019-12-10 07:30:00+00:00,208.95
2019-12-10 07:45:00+00:00,208.05
2019-12-10 08:00:00+00:00,207.0
2019-12-10 08:15:00+00:00,196.2
2019-12-10 08:30:00+00:00,194.85
2019-12-10 08:45:00+00:00,197.85
2019-12-10 09:00:00+00:00,210.15
2019-12-10 09:15:00+00:00,200.1
2019-12-10 09:30:00+00:00,202.65
2019-12-10 09:45:00+00:00,200.55
2019-12-10 10:00:00+00:00,199.05
2019-12-10 10:15:00+00:00,202.35
2019-12-10 10:30:00+00:00,202.2
2019-12-10 10:45:00+00:00,200.85
2019-12-10 11:00:00+00:00,199.2
2019-12-10 11:15:00+00:00,200.7
2019-12-10 11:30:00+00:00,202.2
2019-12-10 11:45:00+00:00,200.4
2019-12-10 12:00:00+00:00,202.2
2019-12-10 12:15:00+00:00,205.5
2019-12-10 12:30:00+00:00,207.15
2019-12-10 12:45:00+00:00,203.25
2019-12-10 13:00:00+00:00,203.55
2019-12-10 13:15:00+00:00,201.9
2019-12-10 13:30:00+00:00,196.65
2019-12-10 13:45:00+00:00,208.5
2019-12-10 14:00:00+00:00,201.75
2019-12-10 14:15:00+00:00,210.9
2019-12-10 14:30:00+00:00,204.6
2019-12-10 14:45:00+00:00,204.75
2019-12-10 15:00:00+00:00,200.25
2019-12-10 15:15:00+00:00,206.25
2019-12-10 15:30:00+00:00,229.2
2019-12-10 15:45:00+00:00,233.25
2019-12-10 16:00:00+00:00,232.2
2019-12-10 16:15:00+00:00,239.4
2019-12-10 16:30:00+00:00,233.4
2019-12-10 16:45:00+00:00,236.85
2019-12-10 17:00:00+00:00,234.6
2019-12-10 17:15:00+00:00,237.0
2019-12-10 17:30:00+00:00,234.45
2019-12-10 17:45:00+00:00,232.95
2019-12-10 18:00:00+00:00,232.35
2019-12-10 18:15:00+00:00,231.75
2019-12-10 18:30:00+00:00,225.3
2019-12-10 18:45:00+00:00,224.7
2019-12-10 19:00:00+00:00,224.7
2019-12-10 19:15:00+00:00,158.85
2019-12-10 19:30:00+00:00,73.8
2019-12-10 19:45:00+00:00,37.5
2019-12-10 20:00:00+00:00,37.35
2019-12-10 20:15:00+00:00,36.15
2019-12-10 20:30:00+00:00,33.9
2019-12-10 20:45:00+00:00,31.35
2019-12-10 21:00:00+00:00,29.85
2019-12-10 21:15:00+00:00,29.1
2019-12-10 21:30:00+00:00,28.95
2019-12-10 21:45:00+00:00,28.2
2019-12-10 22:00:00+00:00,26.4
2019-12-10 22:15:00+00:00,26.25
2019-12-10 22:30:00+00:00,25.65
2019-12-10 22:45:00+00:00,25.8
2019-12-10 23:00:00+00:00,25.2
2019-12-10 23:15:00+00:00,30.3
2019-12-10 23:30:00+00:00,30.3
2019-12-10 23:45:00+00:00,30.75
2019-12-11 00:00:00+00:00,29.1
2019-12-11 00:15:00+00:00,27.9
2019-12-11 00:30:00+00:00,28.5
2019-12-11 00:45:00+00:00,28.8
2019-12-11 01:00:00+00:00,28.5
2019-12-11 01:15:00+00:00,27.45
2019-12-11 01:30:00+00:00,27.6
2019-12-11 01:45:00+00:00,28.8
2019-12-11 02:00:00+00:00,28.5
2019-12-11 02:15:00+00:00,29.1
2019-12-11 02:30:00+00:00,28.5
2019-12-11 02:45:00+00:00,28.35
2019-12-11 03:00:00+00:00,27.6
2019-12-11 03:15:00+00:00,26.85
2019-12-11 03:30:00+00:00,27.15
2019-12-11 03:45:00+00:00,25.2
2019-12-11 04:00:00+00:00,25.8
2019-12-11 04:15:00+00:00,25.5
2019-12-11 04:30:00+00:00,26.1
2019-12-11 04:45:00+00:00,25.8
2019-12-11 05:00:00+00:00,27.0
2019-12-11 05:15:00+00:00,27.15
2019-12-11 05:30:00+00:00,30.6
2019-12-11 05:45:00+00:00,61.2
2019-12-11 06:00:00+00:00,51.9
2019-12-11 06:15:00+00:00,67.35
2019-12-11 06:30:00+00:00,99.9
2019-12-11 06:45:00+00:00,96.9
2019-12-11 07:00:00+00:00,122.7
2019-12-11 07:15:00+00:00,209.85
2019-12-11 07:30:00+00:00,205.65
2019-12-11 07:45:00+00:00,219.15
2019-12-11 08:00:00+00:00,219.75
2019-12-11 08:15:00+00:00,216.0
2019-12-11 08:30:00+00:00,208.35
2019-12-11 08:45:00+00:00,205.05
2019-12-11 09:00:00+00:00,206.1
2019-12-11 09:15:00+00:00,202.8
2019-12-11 09:30:00+00:00,203.85
2019-12-11 09:45:00+00:00,205.65
2019-12-11 10:00:00+00:00,211.95
2019-12-11 10:15:00+00:00,208.8
2019-12-11 10:30:00+00:00,206.85
2019-12-11 10:45:00+00:00,211.8
2019-12-11 11:00:00+00:00,206.55
2019-12-11 11:15:00+00:00,205.65
2019-12-11 11:30:00+00:00,203.25
2019-12-11 11:45:00+00:00,210.9
2019-12-11 12:00:00+00:00,203.7
2019-12-11 12:15:00+00:00,201.9
2019-12-11 12:30:00+00:00,200.25
