ts,value
2016-05-07 00:00:00+00:00,110612.8
2016-05-08 00:00:00+00:00,110613.5
2016-05-09 00:00:00+00:00,110615.3
2016-05-10 00:00:00+00:00,110617.3
2016-05-11 00:00:00+00:00,110619.0
2016-05-12 00:00:00+00:00,110621.2
2016-05-13 00:00:00+00:00,110623.1
2016-05-14 00:00:00+00:00,110623.9
2016-05-15 00:00:00+00:00,110624.7
2016-05-16 00:00:00+00:00,110625.5
2016-05-17 00:00:00+00:00,110627.7
2016-05-18 00:00:00+00:00,110629.6
2016-05-19 00:00:00+00:00,110631.7
2016-05-20 00:00:00+00:00,110633.3
2016-05-21 00:00:00+00:00,110634.2
2016-05-22 00:00:00+00:00,110635.0
2016-05-23 00:00:00+00:00,110637.3
2016-05-24 00:00:00+00:00,110639.8
2016-05-25 00:00:00+00:00,110641.8
2016-05-26 00:00:00+00:00,110642.7
2016-05-27 00:00:00+00:00,110643.5
2016-05-28 00:00:00+00:00,110644.3
2016-05-29 00:00:00+00:00,110645.1
2016-05-30 00:00:00+00:00,110647.6
2016-05-31 00:00:00+00:00,110649.5
2016-06-01 00:00:00+00:00,110651.9
2016-06-02 00:00:00+00:00,110654.2
2016-06-03 00:00:00+00:00,110656.3
2016-06-04 00:00:00+00:00,110657.1
2016-06-05 00:00:00+00:00,110658.0
2016-06-06 00:00:00+00:00,110659.6
2016-06-07 00:00:00+00:00,110661.2
2016-06-08 00:00:00+00:00,110662.9
2016-06-09 00:00:00+00:00,110664.6
2016-06-10 00:00:00+00:00,110666.0
2016-06-11 00:00:00+00:00,110666.9
2016-06-12 00:00:00+00:00,110667.6
2016-06-13 00:00:00+00:00,110669.7
2016-06-14 00:00:00+00:00,110671.7
2016-06-15 00:00:00+00:00,110674.1
2016-06-16 00:00:00+00:00,110676.3
2016-06-17 00:00:00+00:00,110678.0
2016-06-18 00:00:00+00:00,110678.7
2016-06-19 00:00:00+00:00,110679.4
2016-06-20 00:00:00+00:00,110680.2
2016-06-21 00:00:00+00:00,110682.0
2016-06-22 00:00:00+00:00,110683.8
2016-06-23 00:00:00+00:00,110685.5
2016-06-24 00:00:00+00:00,110686.9
2016-06-25 00:00:00+00:00,110687.6
2016-06-26 00:00:00+00:00,110688.4
