ts,value
2022-02-21 00:12:59+00:00,140625.083
2022-02-21 00:28:00+00:00,140625.3243
2022-02-21 00:42:59+00:00,140625.5565
2022-02-21 00:57:59+00:00,140625.7826
2022-02-21 01:12:59+00:00,140626.01390000002
2022-02-21 01:27:59+00:00,140626.2533
2022-02-21 01:42:59+00:00,140626.4965
2022-02-21 01:57:59+00:00,140626.7436
2022-02-21 02:12:58+00:00,140626.9897
2022-02-21 02:27:58+00:00,140627.22770000002
2022-02-21 02:42:58+00:00,140627.4551
2022-02-21 02:57:59+00:00,140627.6838
2022-02-21 03:12:59+00:00,140627.9214
2022-02-21 03:27:58+00:00,140628.1691
2022-02-21 03:42:58+00:00,140628.3983
2022-02-21 03:57:57+00:00,140628.63520000002
2022-02-21 04:12:58+00:00,140628.8646
2022-02-21 04:27:57+00:00,140629.1101
2022-02-21 04:42:58+00:00,140629.3586
2022-02-21 04:57:57+00:00,140629.6155
2022-02-21 05:12:57+00:00,140629.8605
2022-02-21 05:27:58+00:00,140630.115
2022-02-21 05:42:57+00:00,140630.4427
2022-02-21 05:57:57+00:00,140630.9384
2022-02-21 06:12:58+00:00,140631.7471
2022-02-21 06:27:57+00:00,140632.9848
2022-02-21 06:42:57+00:00,140634.3695
2022-02-21 06:57:56+00:00,140635.7545
2022-02-21 07:12:56+00:00,140637.2494
2022-02-21 07:27:56+00:00,140638.77820000003
2022-02-21 07:42:56+00:00,140640.303
2022-02-21 07:57:56+00:00,140641.8075
2022-02-21 08:12:57+00:00,140643.1804
2022-02-21 08:27:55+00:00,140644.6509
2022-02-21 08:42:56+00:00,140645.93320000003
2022-02-21 08:57:56+00:00,140647.23309999998
2022-02-21 09:12:55+00:00,140648.2444
2022-02-21 09:27:55+00:00,140649.0231
2022-02-21 09:42:56+00:00,140650.0448
2022-02-21 09:57:57+00:00,140650.982
2022-02-21 10:12:56+00:00,140651.5388
2022-02-21 10:27:55+00:00,140652.64270000003
2022-02-21 10:42:55+00:00,140653.3562
2022-02-21 10:57:55+00:00,140653.7976
2022-02-21 11:12:55+00:00,140654.6715
2022-02-21 11:27:55+00:00,140655.6269
2022-02-21 11:42:55+00:00,140656.6279
2022-02-21 11:57:54+00:00,140657.4935
2022-02-21 12:12:55+00:00,140658.3759
2022-02-21 12:27:55+00:00,140658.9148
2022-02-21 12:42:55+00:00,140659.74
2022-02-21 12:57:54+00:00,140660.6329
2022-02-21 13:12:55+00:00,140661.70309999998
2022-02-21 13:27:55+00:00,140662.68730000002
2022-02-21 13:42:54+00:00,140663.9022
2022-02-21 13:57:54+00:00,140665.1959
2022-02-21 14:12:54+00:00,140666.5311
2022-02-21 14:27:53+00:00,140667.8174
2022-02-21 14:42:54+00:00,140669.0839
2022-02-21 14:57:53+00:00,140670.3536
2022-02-21 15:12:53+00:00,140671.74870000003
2022-02-21 15:27:54+00:00,140672.9765
2022-02-21 15:42:54+00:00,140674.0605
2022-02-21 15:57:54+00:00,140674.88009999998
2022-02-21 16:12:52+00:00,0.0
2022-02-21 16:13:00+00:00,140675.5691
2022-02-21 16:27:53+00:00,140676.067
2022-02-21 16:42:53+00:00,140680.21870000003
2022-02-21 16:57:53+00:00,140684.0988
2022-02-21 17:12:52+00:00,140686.7564
2022-02-21 17:27:52+00:00,140688.3838
2022-02-21 17:42:52+00:00,140689.3238
2022-02-21 17:57:53+00:00,140690.0609
2022-02-21 18:12:53+00:00,140690.4374
2022-02-21 18:27:52+00:00,140690.79859999998
2022-02-21 18:42:52+00:00,140691.1577
2022-02-21 18:57:53+00:00,140691.5071
2022-02-21 19:12:51+00:00,140691.8646
2022-02-21 19:27:51+00:00,140692.2065
2022-02-21 19:42:53+00:00,140692.5585
2022-02-21 19:57:51+00:00,140692.90709999998
2022-02-21 20:12:51+00:00,140693.248
2022-02-21 20:27:51+00:00,140693.58680000002
2022-02-21 20:42:52+00:00,140693.94120000003
2022-02-21 20:57:52+00:00,140694.30620000002
2022-02-21 21:12:51+00:00,140694.68130000003
2022-02-21 21:27:50+00:00,140695.0395
2022-02-21 21:42:52+00:00,140695.38420000003
2022-02-21 21:57:53+00:00,140695.72530000002
2022-02-21 22:12:50+00:00,140696.0644
2022-02-21 22:27:50+00:00,140696.4047
2022-02-21 22:42:50+00:00,140696.7642
2022-02-21 22:57:51+00:00,140697.1025
2022-02-21 23:12:51+00:00,140697.4546
2022-02-21 23:27:51+00:00,140697.822
2022-02-21 23:42:50+00:00,140698.1804
2022-02-21 23:57:50+00:00,140698.5339
2022-02-22 00:12:50+00:00,140698.8865
2022-02-22 00:27:49+00:00,140699.2293
2022-02-22 00:42:49+00:00,140699.56970000002
2022-02-22 00:57:49+00:00,140699.9102
2022-02-22 01:12:49+00:00,140700.26390000002
2022-02-22 01:27:49+00:00,140700.6124
2022-02-22 01:42:50+00:00,140700.9649
2022-02-22 01:57:49+00:00,140701.30920000002
2022-02-22 02:12:50+00:00,140701.6781
2022-02-22 02:27:50+00:00,140702.0333
2022-02-22 02:42:49+00:00,140702.3861
2022-02-22 02:57:49+00:00,140702.7379
2022-02-22 03:12:49+00:00,140703.0956
2022-02-22 03:27:49+00:00,140703.4327
2022-02-22 03:42:49+00:00,140703.7709
2022-02-22 03:57:49+00:00,140704.112
2022-02-22 04:12:49+00:00,140704.4444
2022-02-22 04:27:48+00:00,140704.78040000002
2022-02-22 04:42:49+00:00,140705.1281
2022-02-22 04:57:48+00:00,140705.499
2022-02-22 05:12:48+00:00,140705.8694
2022-02-22 05:27:49+00:00,140706.2568
2022-02-22 05:42:48+00:00,140706.7005
2022-02-22 05:57:47+00:00,140707.2074
2022-02-22 06:12:47+00:00,140707.9627
2022-02-22 06:27:47+00:00,140709.0685
2022-02-22 06:42:47+00:00,140710.42
2022-02-22 06:57:47+00:00,140712.14080000002
2022-02-22 07:12:47+00:00,140713.6564
2022-02-22 07:27:47+00:00,140715.319
2022-02-22 07:42:47+00:00,140716.982
2022-02-22 07:57:46+00:00,140718.4661
2022-02-22 08:12:47+00:00,140719.8544
2022-02-22 08:27:46+00:00,140720.91820000001
2022-02-22 08:42:47+00:00,140722.2224
2022-02-22 08:57:46+00:00,140723.5798
2022-02-22 09:12:47+00:00,140724.88880000002
2022-02-22 09:27:48+00:00,140726.39220000003
2022-02-22 09:42:47+00:00,140727.70320000002
2022-02-22 09:57:47+00:00,140728.9265
2022-02-22 10:12:46+00:00,140730.3015
2022-02-22 10:27:46+00:00,140731.5679
2022-03-08 00:10:42+00:00,141258.8653
2022-03-08 00:25:42+00:00,141259.21409999998
2022-03-08 00:40:42+00:00,141259.582
2022-03-08 00:55:42+00:00,141259.925
2022-03-08 01:10:41+00:00,141260.2806
2022-03-08 01:25:42+00:00,141260.6346
2022-03-08 01:40:40+00:00,141260.98520000002
2022-03-08 01:55:41+00:00,141261.3299
2022-03-08 02:10:41+00:00,141261.6809
2022-03-08 02:25:41+00:00,141262.0303
2022-03-08 02:40:41+00:00,141262.37540000002
2022-03-08 02:55:41+00:00,141262.71959999998
2022-03-08 03:10:41+00:00,141263.06920000003
2022-03-08 03:25:40+00:00,141263.4296
2022-03-08 03:40:41+00:00,141263.80359999998
2022-03-08 03:55:41+00:00,141264.1604
2022-03-08 04:10:40+00:00,141264.51559999998
2022-03-08 04:25:39+00:00,141264.8618
2022-03-08 04:40:40+00:00,141265.2059
2022-03-08 04:55:39+00:00,141265.5615
2022-03-08 05:10:40+00:00,141265.9255
2022-03-08 05:25:40+00:00,141266.27909999999
2022-03-08 05:40:39+00:00,141266.7565
2022-03-08 05:55:40+00:00,141267.24930000002
2022-03-08 06:10:39+00:00,141267.8866
2022-03-08 06:25:40+00:00,141268.7261
2022-03-08 06:40:39+00:00,141269.5787
2022-03-08 06:55:40+00:00,141270.5112
2022-03-08 07:10:38+00:00,141271.56480000002
2022-03-08 07:25:39+00:00,141272.6946
2022-03-08 07:40:39+00:00,141273.74620000002
2022-03-08 07:55:38+00:00,141274.7343
2022-03-08 08:10:38+00:00,141275.65790000002
2022-03-08 08:25:38+00:00,141276.449
2022-03-08 08:40:39+00:00,141277.1318
2022-03-08 08:55:38+00:00,141277.66420000003
2022-03-08 09:10:39+00:00,141278.0741
2022-03-08 09:25:39+00:00,141278.0975
2022-03-08 09:40:39+00:00,141278.12320000003
2022-03-08 09:55:38+00:00,141278.12320000003
2022-03-08 10:10:37+00:00,141278.12320000003
2022-03-08 10:25:38+00:00,141278.12320000003
2022-03-08 10:40:38+00:00,141278.12320000003
2022-03-08 10:55:38+00:00,141278.12320000003
2022-03-08 11:10:37+00:00,141278.12320000003
2022-03-08 11:25:38+00:00,141278.12320000003
2022-03-08 11:40:37+00:00,141278.12320000003
2022-03-08 11:55:36+00:00,141278.12320000003
2022-03-08 12:10:38+00:00,141278.12320000003
2022-03-08 12:25:37+00:00,141278.12320000003
2022-03-08 12:40:38+00:00,141278.12320000003
2022-03-08 12:55:37+00:00,141278.12320000003
2022-03-08 13:10:36+00:00,141278.12320000003
2022-03-08 13:25:37+00:00,141278.12320000003
2022-03-08 13:40:36+00:00,141278.12320000003
2022-03-08 13:55:38+00:00,141278.12320000003
2022-03-08 14:10:37+00:00,141278.12320000003
2022-03-08 14:25:37+00:00,141278.12320000003
2022-03-08 14:40:36+00:00,141278.12320000003
2022-03-08 14:55:36+00:00,141278.12320000003
2022-03-08 15:10:36+00:00,141278.12320000003
2022-03-08 15:25:36+00:00,141278.12320000003
2022-03-08 15:40:36+00:00,141278.12320000003
2022-03-08 15:55:36+00:00,141278.12320000003
2022-03-08 16:10:35+00:00,0.0
2022-03-08 16:10:43+00:00,141278.12320000003
2022-03-08 16:25:36+00:00,141278.12320000003
2022-03-08 16:40:36+00:00,141278.12920000002
2022-03-08 16:55:36+00:00,141278.2186
2022-03-08 17:10:35+00:00,141278.5136
2022-03-08 17:25:35+00:00,141279.0705
2022-03-08 17:40:35+00:00,141279.68709999998
2022-03-08 17:55:36+00:00,141280.2134
2022-03-08 18:10:35+00:00,141280.70470000003
2022-03-08 18:25:34+00:00,141281.088
2022-03-08 18:40:35+00:00,141281.47209999998
2022-03-08 18:55:34+00:00,141281.83909999998
2022-03-08 19:10:35+00:00,141282.1987
2022-03-08 19:25:34+00:00,141282.528
2022-03-08 19:40:34+00:00,141282.8764
2022-03-08 19:55:35+00:00,141283.23380000002
2022-03-08 20:10:33+00:00,141283.5767
2022-03-08 20:25:34+00:00,141283.9339
2022-03-08 20:40:33+00:00,141284.3009
2022-03-08 20:55:33+00:00,141284.6629
2022-03-08 21:10:34+00:00,141285.0134
2022-03-08 21:25:33+00:00,141285.38780000003
2022-03-08 21:40:33+00:00,141285.76820000002
2022-03-08 21:55:33+00:00,141286.1354
2022-03-08 22:10:34+00:00,141286.4925
2022-03-08 22:25:33+00:00,141286.86130000002
2022-03-08 22:40:34+00:00,141287.23380000002
2022-03-08 22:55:32+00:00,141287.60270000002
2022-03-08 23:10:32+00:00,141287.95930000002
2022-03-08 23:25:34+00:00,141288.3249
2022-03-08 23:40:33+00:00,141288.6795
2022-03-08 23:55:32+00:00,141289.029
2022-03-09 00:10:33+00:00,141289.38809999998
2022-03-09 00:25:33+00:00,141289.7777
2022-03-09 00:40:33+00:00,141290.15680000003
2022-03-09 00:55:33+00:00,141290.52790000002
2022-03-09 01:10:32+00:00,141290.8924
2022-03-09 01:25:32+00:00,141291.2494
2022-03-09 01:40:31+00:00,141291.61570000002
2022-03-09 01:55:31+00:00,141291.98630000002
2022-03-09 02:10:32+00:00,141292.3409
2022-03-09 02:25:32+00:00,141292.6831
2022-03-09 02:40:32+00:00,141293.0423
2022-03-09 02:55:31+00:00,141293.4101
2022-03-09 03:10:31+00:00,141293.79520000002
2022-03-09 03:25:32+00:00,141294.1691
2022-03-09 03:40:32+00:00,141294.54940000002
2022-03-09 03:55:31+00:00,141294.90970000002
2022-03-09 04:10:32+00:00,141295.2453
2022-03-09 04:25:30+00:00,141295.609
2022-03-09 04:40:31+00:00,141295.97759999998
2022-03-09 04:55:30+00:00,141296.3323
2022-03-09 05:10:31+00:00,141296.6929
2022-03-09 05:25:31+00:00,141297.0626
2022-03-09 05:40:32+00:00,141297.6531
2022-03-09 05:55:30+00:00,141298.2833
2022-03-09 06:10:30+00:00,141299.04330000002
2022-03-09 06:25:31+00:00,141300.3166
2022-03-09 06:40:29+00:00,141301.45270000002
2022-03-09 06:55:30+00:00,141302.58820000003
2022-03-09 07:10:30+00:00,141303.811
2022-03-09 07:25:30+00:00,141305.00280000002
2022-03-09 07:40:30+00:00,141306.20130000002
2022-03-09 07:55:30+00:00,141307.4063
2022-03-09 08:10:30+00:00,141308.4466
2022-03-09 08:25:29+00:00,141309.3859
2022-03-09 08:40:29+00:00,141310.254
2022-03-09 08:55:30+00:00,141311.0079
2022-03-09 09:10:29+00:00,141311.5394
2022-03-09 09:25:29+00:00,141311.8223
2022-03-09 09:40:30+00:00,141311.84870000003
2022-03-09 09:55:31+00:00,141311.8489
2022-03-09 10:10:28+00:00,141311.8656
2022-03-09 10:25:28+00:00,141311.8656
2022-03-09 10:40:29+00:00,141311.8656
2022-03-09 10:55:29+00:00,141311.8656
2022-03-09 11:10:28+00:00,141311.8658
2022-03-09 11:25:30+00:00,141311.8658
2022-03-09 11:40:28+00:00,141311.8658
2022-03-09 11:55:28+00:00,141311.8658
2022-03-09 12:10:27+00:00,141311.8658
2022-03-09 12:25:29+00:00,141311.8658
2022-03-09 12:40:27+00:00,141311.8658
2022-03-09 12:55:27+00:00,141311.8658
2022-03-09 13:10:28+00:00,141311.8658
2022-03-09 13:25:28+00:00,141311.8658
2022-03-09 13:40:28+00:00,141311.8658
2022-03-09 13:55:27+00:00,141311.8658
2022-03-09 14:10:27+00:00,141311.8658
2022-03-09 14:25:27+00:00,141311.8658
2022-03-09 14:40:26+00:00,141311.8658
2022-03-09 14:55:27+00:00,141311.8658
2022-03-09 15:10:26+00:00,141311.8658
2022-03-09 15:25:27+00:00,141311.8658
2022-03-09 15:40:26+00:00,141311.8658
2022-03-09 15:55:27+00:00,141311.8658
2022-03-09 16:10:26+00:00,0.0
2022-03-09 16:10:34+00:00,141311.8658
2022-03-09 16:25:26+00:00,141311.8658
2022-03-09 16:40:28+00:00,141311.8774
