ts,value
2021-05-04 08:05:04+00:00,171.4386
2021-05-04 08:20:04+00:00,171.4397
2021-05-04 08:35:05+00:00,171.4457
2021-05-04 08:50:05+00:00,171.4593
2021-05-04 09:05:05+00:00,171.4721
2021-05-04 09:20:05+00:00,171.4736
2021-05-04 09:35:07+00:00,171.4747
2021-05-04 09:50:07+00:00,171.4821
2021-05-04 10:05:07+00:00,171.4932
2021-05-04 10:20:08+00:00,171.5109
2021-05-04 10:35:11+00:00,171.5125
2021-05-04 10:50:09+00:00,171.5136
2021-05-04 11:20:11+00:00,171.5159
2021-05-04 11:35:10+00:00,171.517
2021-05-04 12:05:10+00:00,171.5192
2021-05-04 12:20:11+00:00,171.5204
2021-05-04 12:35:11+00:00,171.5215
2021-05-04 12:50:13+00:00,171.5227
2021-05-04 13:35:14+00:00,171.5261
2021-05-04 15:35:19+00:00,171.545
2021-05-04 15:50:22+00:00,171.5462
2021-05-04 16:05:20+00:00,171.5515
2021-05-04 16:20:21+00:00,171.5569
2021-05-04 16:35:23+00:00,171.5581
2021-05-04 16:50:23+00:00,171.562
2021-05-04 17:20:24+00:00,171.5652
2021-05-04 17:35:26+00:00,171.5663
2021-05-04 17:50:26+00:00,171.5674
2021-05-04 18:05:28+00:00,171.5685
2021-05-04 18:20:27+00:00,171.5696
2021-05-04 18:35:29+00:00,171.5707
2021-05-04 19:05:30+00:00,171.5769
2021-05-04 19:20:31+00:00,171.5849
2021-05-04 19:35:33+00:00,171.6005
2021-05-04 19:50:33+00:00,171.6161
2021-05-04 21:05:35+00:00,171.6981
2021-05-04 22:50:42+00:00,171.8133
2021-05-04 23:05:41+00:00,171.8297
2021-05-04 23:20:41+00:00,171.846
2021-05-04 23:35:43+00:00,171.8624
2021-05-04 23:50:42+00:00,171.8788
2021-05-05 00:05:43+00:00,171.8952
2021-05-05 00:20:44+00:00,171.9117
2021-05-05 00:35:46+00:00,171.9282
2021-05-05 00:50:46+00:00,171.9446
2021-05-05 01:05:47+00:00,171.9612
2021-05-05 01:20:46+00:00,171.9778
2021-05-05 01:35:47+00:00,171.9945
2021-05-05 01:50:48+00:00,172.0109
2021-05-05 02:05:50+00:00,172.0274
2021-05-05 02:20:49+00:00,172.0439
2021-05-05 02:35:51+00:00,172.0604
2021-05-05 02:50:50+00:00,172.0768
2021-05-05 03:05:51+00:00,172.0933
2021-05-05 03:20:51+00:00,172.1138
2021-05-05 03:35:52+00:00,172.1279
2021-05-05 03:50:52+00:00,172.129
2021-05-05 04:05:54+00:00,172.1302
2021-05-05 04:20:52+00:00,172.1313
2021-05-05 04:35:52+00:00,172.1325
2021-05-05 04:50:54+00:00,172.1336
2021-05-05 05:05:54+00:00,172.1347
2021-05-05 05:35:56+00:00,172.137
2021-05-05 05:50:58+00:00,172.1381
2021-05-05 06:05:57+00:00,172.1393
2021-05-05 06:20:58+00:00,172.1404
2021-05-05 06:35:58+00:00,172.1415
2021-05-05 06:51:00+00:00,172.1426
2021-05-05 07:06:00+00:00,172.1438
2021-05-05 07:21:00+00:00,172.1449
2021-05-05 07:36:01+00:00,172.1461
2021-05-05 07:51:02+00:00,172.1472
2021-05-05 08:06:02+00:00,172.1484
2021-05-05 08:21:03+00:00,172.1496
2021-05-05 08:36:04+00:00,172.1551
2021-05-05 08:51:04+00:00,172.1562
2021-05-05 09:21:06+00:00,172.1585
2021-05-05 09:36:06+00:00,172.1597
2021-05-05 09:51:07+00:00,172.1649
2021-05-05 10:06:09+00:00,172.1661
2021-05-05 10:21:09+00:00,172.1672
2021-05-05 10:36:10+00:00,172.1683
2021-05-05 10:51:11+00:00,172.1695
2021-05-05 11:06:13+00:00,172.1706
2021-05-05 11:21:11+00:00,172.1717
2021-05-05 11:51:12+00:00,172.174
2021-05-05 12:06:12+00:00,172.1751
2021-05-05 12:21:13+00:00,172.1763
2021-05-05 12:36:14+00:00,172.1775
2021-05-05 12:51:16+00:00,172.1787
2021-05-05 13:06:15+00:00,172.1836
2021-05-05 13:36:16+00:00,172.1859
2021-05-05 13:51:16+00:00,172.1871
2021-05-05 14:06:17+00:00,172.1883
2021-05-05 14:21:19+00:00,172.1894
2021-05-05 14:36:17+00:00,172.1906
2021-05-05 15:21:19+00:00,172.1989
2021-05-05 15:51:20+00:00,172.2048
2021-05-05 16:06:21+00:00,172.2059
2021-05-05 16:21:23+00:00,172.2117
2021-05-05 16:36:21+00:00,172.2129
2021-05-05 16:51:22+00:00,172.2141
2021-05-05 17:06:23+00:00,172.229
2021-05-05 17:21:23+00:00,172.2391
2021-05-05 17:36:25+00:00,172.2411
2021-05-05 17:44:28+00:00,172.2417
2021-05-05 17:44:41+00:00,172.2417
2021-05-05 17:44:45+00:00,172.2417
2021-05-05 17:51:26+00:00,172.2423
2021-05-05 18:06:25+00:00,172.2434
2021-05-05 18:51:28+00:00,172.2469
2021-05-05 19:06:28+00:00,172.248
2021-05-05 19:21:28+00:00,172.2492
2021-05-05 19:51:31+00:00,172.2833
2021-05-05 20:06:31+00:00,172.2992
2021-05-05 20:21:31+00:00,172.3153
2021-05-05 20:36:32+00:00,172.3316
2021-05-05 21:06:32+00:00,172.3642
2021-05-05 21:21:32+00:00,172.3804
2021-05-05 21:36:32+00:00,172.3969
2021-05-05 21:51:33+00:00,172.4133
2021-05-05 22:06:35+00:00,172.4297
2021-05-05 22:21:34+00:00,172.4461
2021-05-05 22:36:35+00:00,172.4625
2021-05-05 22:51:36+00:00,172.4788
2021-05-05 23:06:39+00:00,172.4951
2021-05-05 23:21:38+00:00,172.5115
2021-05-05 23:36:38+00:00,172.5277
2021-05-05 23:51:40+00:00,172.544
2021-05-06 00:06:40+00:00,172.5603
2021-05-06 00:21:41+00:00,172.5766
2021-05-06 00:36:41+00:00,172.5929
2021-05-06 00:51:42+00:00,172.6095
2021-05-06 01:06:42+00:00,172.626
2021-05-06 01:21:43+00:00,172.6424
2021-05-06 01:36:43+00:00,172.6589
2021-05-06 02:06:45+00:00,172.6913
2021-05-06 02:36:46+00:00,172.7235
2021-05-06 02:51:48+00:00,172.7397
2021-05-06 03:06:47+00:00,172.7558
2021-05-06 03:36:48+00:00,172.7962
2021-05-06 03:51:48+00:00,172.8027
2021-05-06 04:06:48+00:00,172.8038
2021-05-06 04:21:50+00:00,172.8049
2021-05-06 04:36:48+00:00,172.806
2021-05-06 04:51:49+00:00,172.8072
2021-05-06 05:06:50+00:00,172.8083
2021-05-06 05:21:49+00:00,172.8095
2021-05-06 05:36:51+00:00,172.8106
2021-05-06 05:51:51+00:00,172.8158
2021-05-06 06:06:53+00:00,172.817
2021-05-06 06:21:53+00:00,172.8182
2021-05-06 06:36:54+00:00,172.8193
2021-05-06 06:51:53+00:00,172.8205
2021-05-06 07:06:55+00:00,172.8216
2021-05-06 07:36:56+00:00,172.824
2021-05-06 07:51:57+00:00,172.8252
2021-05-06 08:06:58+00:00,172.8263
2021-05-06 08:21:58+00:00,172.8275
2021-05-06 08:36:59+00:00,172.8286
2021-05-06 08:52:00+00:00,172.8297
2021-05-06 09:07:00+00:00,172.8368
2021-05-06 09:22:01+00:00,172.8407
2021-05-06 09:37:02+00:00,172.8502
2021-05-06 09:52:03+00:00,172.857
2021-05-06 10:07:03+00:00,172.8826
2021-05-06 10:22:05+00:00,172.9054
2021-05-06 10:37:04+00:00,172.9149
2021-05-06 10:52:04+00:00,172.9294
2021-05-06 11:07:04+00:00,172.938
2021-05-06 12:22:07+00:00,172.954
2021-05-06 12:52:08+00:00,172.9888
2021-05-06 13:07:09+00:00,172.9966
2021-05-06 14:07:08+00:00,173.0184
2021-05-06 14:52:08+00:00,173.0266
2021-05-06 15:07:09+00:00,173.0278
2021-05-06 15:22:09+00:00,173.029
2021-05-06 15:37:10+00:00,173.0302
2021-05-06 15:52:09+00:00,173.0313
2021-05-06 16:07:10+00:00,173.0327
2021-05-06 16:22:10+00:00,173.0339
2021-05-06 16:37:12+00:00,173.0362
2021-05-06 16:52:10+00:00,173.0374
2021-05-06 17:07:09+00:00,173.0392
2021-05-06 17:22:12+00:00,173.0455
2021-05-06 18:22:15+00:00,173.0616
2021-05-06 18:37:13+00:00,173.0628
2021-05-06 18:52:15+00:00,173.0671
2021-05-06 19:37:16+00:00,173.0917
2021-05-06 19:52:16+00:00,173.1183
2021-05-06 20:07:17+00:00,173.143
2021-05-06 20:22:19+00:00,173.159
2021-05-06 20:37:17+00:00,173.1749
2021-05-06 20:52:18+00:00,173.1909
2021-05-06 21:07:19+00:00,173.207
2021-05-06 21:22:20+00:00,173.2231
2021-05-06 21:37:21+00:00,173.2392
2021-05-06 21:52:22+00:00,173.2552
2021-05-06 22:07:23+00:00,173.2713
2021-05-06 22:22:24+00:00,173.2872
2021-05-06 22:37:25+00:00,173.3033
2021-05-06 22:52:25+00:00,173.3194
2021-05-06 23:07:25+00:00,173.3357
2021-05-06 23:22:27+00:00,173.3519
2021-05-06 23:37:29+00:00,173.3681
2021-05-06 23:52:26+00:00,173.3842
2021-05-07 00:37:28+00:00,173.4365
2021-05-07 00:52:28+00:00,173.4525
2021-05-07 01:07:27+00:00,173.4686
2021-05-07 01:22:29+00:00,173.4845
2021-05-07 01:37:30+00:00,173.5004
2021-05-07 01:52:31+00:00,173.5164
2021-05-07 02:07:31+00:00,173.5322
2021-05-07 02:37:33+00:00,173.5643
2021-05-07 02:52:36+00:00,173.5804
2021-05-07 03:07:35+00:00,173.5964
2021-05-07 03:22:37+00:00,173.6173
2021-05-07 04:07:36+00:00,173.6265
2021-05-07 04:22:37+00:00,173.6277
2021-05-07 04:37:38+00:00,173.6288
2021-05-07 04:52:41+00:00,173.6299
2021-05-07 05:07:40+00:00,173.6311
2021-05-07 05:22:40+00:00,173.6322
2021-05-07 05:37:42+00:00,173.6333
2021-05-07 05:52:43+00:00,173.6345
2021-05-07 06:22:45+00:00,173.6367
2021-05-07 06:37:46+00:00,173.6378
2021-05-07 06:52:45+00:00,173.6389
2021-05-07 07:22:46+00:00,173.6412
2021-05-07 07:52:48+00:00,173.6434
2021-05-07 08:37:49+00:00,173.6547
2021-05-07 08:52:49+00:00,173.6721
2021-05-07 09:07:51+00:00,173.698
2021-05-07 09:22:51+00:00,173.7002
2021-05-07 10:07:54+00:00,173.7075
2021-05-07 10:37:55+00:00,173.7163
2021-05-07 10:52:55+00:00,173.7174
2021-05-07 11:07:56+00:00,173.7185
2021-05-07 11:22:56+00:00,173.7197
2021-05-07 11:37:57+00:00,173.7208
2021-05-07 11:53:00+00:00,173.7219
2021-05-07 12:07:57+00:00,173.7341
2021-05-07 12:22:58+00:00,173.7639
2021-05-07 12:37:58+00:00,173.7907
2021-05-07 12:52:59+00:00,173.8173
2021-05-07 13:08:00+00:00,173.8329
2021-05-07 13:22:59+00:00,173.8341
2021-05-07 13:38:01+00:00,173.8352
2021-05-07 13:53:02+00:00,173.8363
