ts,value
2020-11-12 10:00:00+00:00,0.2583639083
2020-11-12 10:15:00+00:00,0.52515183
2020-11-12 10:30:00+00:00,0.7356628093
2020-11-12 10:45:00+00:00,1.1040113806
2020-11-12 11:00:00+00:00,1.4201656254000001
2020-11-12 11:15:00+00:00,1.6442361782000001
2020-11-12 11:30:00+00:00,1.8569612461
2020-11-12 11:45:00+00:00,2.0622229069
2020-11-12 12:00:00+00:00,2.2243796829
2020-11-12 12:15:00+00:00,2.3089964234
2020-11-12 12:30:00+00:00,2.5239937918
2020-11-12 12:45:00+00:00,2.6080244024
2020-11-12 13:00:00+00:00,2.6323849585000003
2020-11-12 13:15:00+00:00,2.6586698522
2020-11-12 13:30:00+00:00,2.8013336
2020-11-12 13:45:00+00:00,2.88897652
2020-11-12 14:00:00+00:00,2.9786007750000003
2020-11-12 14:15:00+00:00,3.0346168457
2020-11-12 14:30:00+00:00,3.0486156908
2020-11-12 14:45:00+00:00,3.051
2020-11-12 15:00:00+00:00,3.051
2020-11-12 15:15:00+00:00,3.051
2020-11-12 15:30:00+00:00,3.051
2020-11-12 15:45:00+00:00,3.051
2020-11-12 16:00:00+00:00,3.051
2020-11-12 16:15:00+00:00,3.051
2020-11-12 16:30:00+00:00,3.051
2020-11-12 16:45:00+00:00,3.051
2020-11-12 17:00:00+00:00,3.051
2020-11-12 17:15:00+00:00,3.051
2020-11-12 17:30:00+00:00,3.051
2020-11-12 17:45:00+00:00,3.051
2020-11-12 18:00:00+00:00,3.051
2020-11-12 18:15:00+00:00,3.051
2020-11-12 18:30:00+00:00,3.051
2020-11-12 18:45:00+00:00,3.051
2020-11-12 19:00:00+00:00,3.051
2020-11-12 19:15:00+00:00,3.051
2020-11-12 19:30:00+00:00,3.051
2020-11-12 19:45:00+00:00,3.051
2020-11-12 20:00:00+00:00,3.051
2020-11-12 20:15:00+00:00,3.051
2020-11-12 20:30:00+00:00,3.051
2020-11-12 20:45:00+00:00,3.051
2020-11-12 21:00:00+00:00,3.051
2020-11-12 21:15:00+00:00,3.051
2020-11-12 21:30:00+00:00,3.051
2020-11-12 21:45:00+00:00,3.051
2020-11-12 22:00:00+00:00,3.051
2020-11-12 22:15:00+00:00,3.051
2020-11-12 22:30:00+00:00,3.051
2020-11-12 22:45:00+00:00,3.051
2020-11-12 23:00:00+00:00,3.051
2020-11-12 23:15:00+00:00,3.051
2020-11-12 23:30:00+00:00,3.051
2020-11-12 23:45:00+00:00,3.051
2020-11-13 00:00:00+00:00,3.051
2020-11-13 00:15:00+00:00,3.051
2020-11-13 00:30:00+00:00,3.051
2020-11-13 00:45:00+00:00,3.051
2020-11-13 01:00:00+00:00,3.051
2020-11-13 01:15:00+00:00,3.051
2020-11-13 01:30:00+00:00,3.051
2020-11-13 01:45:00+00:00,3.051
2020-11-13 02:00:00+00:00,3.051
2020-11-13 02:15:00+00:00,3.051
2020-11-13 02:30:00+00:00,3.051
2020-11-13 02:45:00+00:00,3.051
2020-11-13 03:00:00+00:00,3.051
2020-11-13 03:15:00+00:00,3.051
2020-11-13 03:30:00+00:00,3.051
2020-11-13 03:45:00+00:00,3.051
2020-11-13 04:00:00+00:00,3.051
2020-11-13 04:15:00+00:00,3.051
2020-11-13 04:30:00+00:00,3.051
2020-11-13 04:45:00+00:00,3.051
2020-11-13 05:00:00+00:00,3.051
2020-11-13 05:15:00+00:00,3.051
2020-11-13 05:30:00+00:00,3.051
2020-11-13 05:45:00+00:00,3.051
2020-11-13 06:00:00+00:00,3.051
2020-11-13 06:15:00+00:00,3.051
2020-11-13 06:30:00+00:00,3.051
2020-11-13 06:45:00+00:00,3.051
2020-11-13 07:00:00+00:00,3.0511400241
2020-11-13 07:15:00+00:00,3.0655252562
2020-11-13 07:30:00+00:00,3.0918188551
2020-11-13 07:45:00+00:00,3.1969286214
2020-11-13 08:00:00+00:00,3.3498453507000003
2020-11-13 08:15:00+00:00,3.5972923088
2020-11-13 08:30:00+00:00,3.8700896036000003
2020-11-13 08:45:00+00:00,4.1781772975
2020-11-13 09:00:00+00:00,4.4455107021
2020-11-13 09:15:00+00:00,4.7160107741
2020-11-13 09:30:00+00:00,5.0054603569000005
2020-11-13 09:45:00+00:00,5.2343267779
2020-11-13 10:00:00+00:00,5.4811878506000005
2020-11-13 10:15:00+00:00,5.7058005454
2020-11-13 10:30:00+00:00,5.8586962196000005
2020-11-13 10:45:00+00:00,6.0985190581
2020-11-13 11:00:00+00:00,6.2746412471
2020-11-13 11:15:00+00:00,6.5211194229
2020-11-13 11:30:00+00:00,6.7092154831
2020-11-13 11:45:00+00:00,6.8645286971
2020-11-13 12:00:00+00:00,7.0260916688
2020-11-13 12:15:00+00:00,7.1662086569
2020-11-13 12:30:00+00:00,7.297579825700001
2020-11-13 12:45:00+00:00,7.3946706503
2020-11-13 13:00:00+00:00,7.4750542366
2020-11-13 13:15:00+00:00,7.541326375000001
2020-11-13 13:30:00+00:00,7.6192233765
2020-11-13 13:45:00+00:00,7.662677046200001
2020-11-13 14:00:00+00:00,7.67605014
2020-11-13 14:15:00+00:00,7.6844152050000005
2020-11-13 14:30:00+00:00,7.6886
2020-11-13 14:45:00+00:00,7.6912891027
2020-11-13 15:00:00+00:00,7.6925
2020-11-13 15:15:00+00:00,7.6925
2020-11-13 15:30:00+00:00,7.6925
2020-11-13 15:45:00+00:00,7.6925
2020-11-13 16:00:00+00:00,7.6925
2020-11-13 16:15:00+00:00,7.6925
2020-11-13 16:30:00+00:00,7.6925
2020-11-13 16:45:00+00:00,7.6925
2020-11-13 17:00:00+00:00,7.6925
2020-11-13 17:15:00+00:00,7.6925
2020-11-13 17:30:00+00:00,7.6925
2020-11-13 17:45:00+00:00,7.6925
2020-11-13 18:00:00+00:00,7.6925
2020-11-13 18:15:00+00:00,7.6925
2020-11-13 18:30:00+00:00,7.6925
2020-11-13 18:45:00+00:00,7.6925
2020-11-13 19:00:00+00:00,7.6925
2020-11-13 19:15:00+00:00,7.6925
2020-11-13 19:30:00+00:00,7.6925
2020-11-13 19:45:00+00:00,7.6925
2020-11-13 20:00:00+00:00,7.6925
2020-11-13 20:15:00+00:00,7.6925
2020-11-13 20:30:00+00:00,7.6925
2020-11-13 20:45:00+00:00,7.6925
2020-11-13 21:00:00+00:00,7.6925
2020-11-13 21:15:00+00:00,7.6925
2020-11-13 21:30:00+00:00,7.6925
2020-11-13 21:45:00+00:00,7.6925
2020-11-13 22:00:00+00:00,7.6925
2020-11-13 22:15:00+00:00,7.6925
2020-11-13 22:30:00+00:00,7.6925
2020-11-13 22:45:00+00:00,7.6925
2020-11-13 23:00:00+00:00,7.6925
2020-11-13 23:15:00+00:00,7.6925
2020-11-13 23:30:00+00:00,7.6925
2020-11-13 23:45:00+00:00,7.6925
2020-11-14 00:00:00+00:00,7.6925
2020-11-14 00:15:00+00:00,7.6925
2020-11-14 00:30:00+00:00,7.6925
2020-11-14 00:45:00+00:00,7.6925
2020-11-14 01:00:00+00:00,7.6925
2020-11-14 01:15:00+00:00,7.6925
2020-11-14 01:30:00+00:00,7.6925
2020-11-14 01:45:00+00:00,7.6925
2020-11-14 02:00:00+00:00,7.6925
2020-11-14 02:15:00+00:00,7.6925
2020-11-14 02:30:00+00:00,7.6925
2020-11-14 02:45:00+00:00,7.6925
2020-11-14 03:00:00+00:00,7.6925
2020-11-14 03:15:00+00:00,7.6925
2020-11-14 03:30:00+00:00,7.6925
2020-11-14 03:45:00+00:00,7.6925
