ts,value
2022-04-20 00:12:31+00:00,711.15
2022-04-20 00:27:31+00:00,711.15
2022-04-20 00:42:31+00:00,711.15
2022-04-20 00:57:31+00:00,711.15
2022-04-20 01:12:31+00:00,711.15
2022-04-20 01:27:31+00:00,711.15
2022-04-20 01:42:31+00:00,711.15
2022-04-20 01:57:31+00:00,711.15
2022-04-20 02:12:31+00:00,711.15
2022-04-20 02:27:31+00:00,711.15
2022-04-20 02:42:31+00:00,711.15
2022-04-20 02:57:31+00:00,711.15
2022-04-20 03:12:31+00:00,711.15
2022-04-20 03:27:31+00:00,711.15
2022-04-20 03:42:30+00:00,711.15
2022-04-20 03:57:30+00:00,711.15
2022-04-20 04:12:30+00:00,711.16
2022-04-20 04:27:30+00:00,711.18
2022-04-20 04:42:30+00:00,711.2
2022-04-20 04:57:30+00:00,711.22
2022-04-20 05:12:30+00:00,711.23
2022-04-20 05:27:30+00:00,711.26
2022-04-20 05:42:30+00:00,711.27
2022-04-20 05:57:30+00:00,711.28
2022-04-20 06:12:30+00:00,711.34
2022-04-20 06:27:30+00:00,711.38
2022-04-20 06:42:30+00:00,711.43
2022-04-20 06:57:30+00:00,711.45
2022-04-20 07:12:30+00:00,711.48
2022-04-20 07:27:30+00:00,711.49
2022-04-20 07:42:30+00:00,711.52
2022-04-20 07:57:30+00:00,711.61
2022-04-20 08:12:30+00:00,711.69
2022-04-20 08:27:30+00:00,711.8
2022-04-20 08:42:29+00:00,711.83
2022-04-20 08:57:29+00:00,711.89
2022-04-20 09:12:29+00:00,711.93
2022-04-20 09:27:29+00:00,711.99
2022-04-20 09:42:29+00:00,712.05
2022-04-20 09:57:29+00:00,712.09
2022-04-20 10:12:29+00:00,712.22
2022-04-20 10:27:29+00:00,712.27
2022-04-20 10:42:29+00:00,712.31
2022-04-20 10:57:29+00:00,712.38
2022-04-20 11:12:29+00:00,712.43
2022-04-20 11:27:29+00:00,712.49
2022-04-20 11:42:29+00:00,712.57
2022-04-20 11:57:29+00:00,712.66
2022-04-20 12:12:29+00:00,712.71
2022-04-20 12:27:29+00:00,712.8
2022-04-20 12:42:29+00:00,712.84
2022-04-20 12:57:29+00:00,712.89
2022-04-20 13:12:29+00:00,712.91
2022-04-20 13:27:28+00:00,712.95
2022-04-20 13:42:28+00:00,712.99
2022-04-20 13:57:28+00:00,713.0
2022-04-20 14:12:28+00:00,713.02
2022-04-20 14:27:28+00:00,713.05
2022-04-20 14:42:28+00:00,713.08
2022-04-20 14:57:28+00:00,713.09
2022-04-20 15:12:28+00:00,713.12
2022-04-20 15:27:28+00:00,713.15
2022-04-20 15:42:28+00:00,713.19
2022-04-20 15:57:28+00:00,713.24
2022-04-20 16:12:28+00:00,713.26
2022-04-20 16:27:28+00:00,713.29
2022-04-20 16:42:28+00:00,713.32
2022-04-20 16:57:28+00:00,713.33
2022-04-20 17:12:28+00:00,713.36
2022-04-20 17:27:28+00:00,713.39
2022-04-20 17:42:28+00:00,713.41
2022-04-20 17:57:28+00:00,713.42
2022-04-20 18:12:27+00:00,713.42
2022-04-20 18:27:27+00:00,713.42
2022-04-20 18:42:27+00:00,713.42
2022-04-20 18:57:27+00:00,713.44
2022-04-20 19:12:27+00:00,713.46
2022-04-20 19:27:27+00:00,713.48
2022-04-20 19:42:27+00:00,713.49
2022-04-20 19:57:27+00:00,713.51
2022-04-20 20:12:27+00:00,713.53
2022-04-20 20:27:27+00:00,713.53
