ts,value
2022-04-20 00:02:43+00:00,7.97
2022-04-20 00:07:43+00:00,7.97
2022-04-20 00:12:43+00:00,7.97
2022-04-20 00:17:43+00:00,7.97
2022-04-20 00:22:43+00:00,7.97
2022-04-20 00:27:43+00:00,7.97
2022-04-20 00:32:43+00:00,7.975
2022-04-20 00:37:43+00:00,7.975
2022-04-20 00:42:43+00:00,7.975
2022-04-20 00:47:43+00:00,7.975
2022-04-20 00:52:43+00:00,7.975
2022-04-20 00:57:43+00:00,7.975
2022-04-20 01:02:43+00:00,7.975
2022-04-20 01:07:43+00:00,7.975
2022-04-20 01:12:43+00:00,7.975
2022-04-20 01:17:42+00:00,7.975
2022-04-20 01:22:43+00:00,7.975
2022-04-20 01:27:42+00:00,7.975
2022-04-20 01:32:42+00:00,7.975
2022-04-20 01:37:42+00:00,7.975
2022-04-20 01:42:42+00:00,7.975
2022-04-20 01:47:42+00:00,7.975
2022-04-20 01:52:42+00:00,7.975
2022-04-20 01:57:42+00:00,7.975
2022-04-20 02:02:42+00:00,7.975
2022-04-20 02:07:42+00:00,7.975
2022-04-20 02:12:42+00:00,7.975
2022-04-20 02:17:42+00:00,7.975
2022-04-20 02:22:42+00:00,7.975
2022-04-20 02:27:42+00:00,7.975
2022-04-20 02:32:42+00:00,7.975
2022-04-20 02:37:42+00:00,7.975
2022-04-20 02:42:42+00:00,7.975
2022-04-20 02:47:42+00:00,7.975
2022-04-20 02:52:42+00:00,7.975
2022-04-20 02:57:42+00:00,7.975
2022-04-20 03:02:42+00:00,7.975
2022-04-20 03:07:42+00:00,7.975
2022-04-20 03:12:42+00:00,7.975
2022-04-20 03:17:42+00:00,7.975
2022-04-20 03:22:42+00:00,7.975
2022-04-20 03:27:42+00:00,7.975
2022-04-20 03:32:42+00:00,7.975
2022-04-20 03:37:42+00:00,7.975
2022-04-20 03:42:42+00:00,7.975
2022-04-20 03:47:42+00:00,7.975
2022-04-20 03:52:42+00:00,7.975
2022-04-20 03:57:42+00:00,7.975
2022-04-20 04:02:42+00:00,7.975
2022-04-20 04:07:42+00:00,7.975
2022-04-20 04:12:42+00:00,7.975
2022-04-20 04:17:42+00:00,7.975
2022-04-20 04:22:42+00:00,7.975
2022-04-20 04:27:42+00:00,7.975
2022-04-20 04:32:42+00:00,7.975
2022-04-20 04:37:42+00:00,7.975
2022-04-20 04:42:42+00:00,7.975
2022-04-20 04:47:42+00:00,7.975
2022-04-20 04:52:42+00:00,7.975
2022-04-20 04:57:42+00:00,7.975
2022-04-20 05:02:42+00:00,7.975
2022-04-20 05:07:42+00:00,7.975
2022-04-20 05:12:42+00:00,7.975
2022-04-20 05:17:42+00:00,7.975
2022-04-20 05:22:42+00:00,7.975
2022-04-20 05:27:42+00:00,7.975
2022-04-20 05:32:42+00:00,7.975
2022-04-20 05:37:42+00:00,7.975
2022-04-20 05:42:42+00:00,7.975
2022-04-20 05:47:42+00:00,7.975
2022-04-20 05:52:42+00:00,7.975
2022-04-20 05:57:42+00:00,7.975
2022-04-20 06:02:42+00:00,7.975
2022-04-20 06:07:42+00:00,7.975
2022-04-20 06:12:42+00:00,7.975
2022-04-20 06:17:42+00:00,7.975
2022-04-20 06:22:42+00:00,7.975
2022-04-20 06:27:42+00:00,7.975
2022-04-20 06:32:42+00:00,7.975
2022-04-20 06:37:42+00:00,7.975
2022-04-20 06:42:42+00:00,7.975
2022-04-20 06:47:41+00:00,7.975
2022-04-20 06:52:41+00:00,7.975
2022-04-20 06:57:41+00:00,7.975
2022-04-20 07:02:41+00:00,7.975
2022-04-20 07:07:41+00:00,7.975
2022-04-20 07:12:41+00:00,7.975
2022-04-20 07:17:41+00:00,7.975
2022-04-20 07:22:41+00:00,7.975
2022-04-20 07:27:41+00:00,7.975
2022-04-20 07:32:41+00:00,7.975
2022-04-20 07:37:41+00:00,7.975
2022-04-20 07:42:41+00:00,7.975
2022-04-20 07:47:41+00:00,7.975
2022-04-20 07:52:41+00:00,7.975
2022-04-20 07:57:41+00:00,7.975
2022-04-20 08:02:41+00:00,7.975
2022-04-20 08:07:41+00:00,7.975
2022-04-20 08:12:41+00:00,7.975
2022-04-20 08:17:41+00:00,7.975
2022-04-20 08:22:41+00:00,7.975
2022-04-20 08:27:41+00:00,7.975
2022-04-20 08:32:41+00:00,7.975
2022-04-20 08:37:41+00:00,7.975
2022-04-20 08:42:41+00:00,7.975
2022-04-20 08:47:41+00:00,7.975
2022-04-20 08:52:41+00:00,7.975
2022-04-20 08:57:41+00:00,7.975
2022-04-20 09:02:41+00:00,7.975
2022-04-20 09:07:41+00:00,7.975
2022-04-20 09:12:41+00:00,7.975
2022-04-20 09:17:41+00:00,7.975
2022-04-20 09:22:41+00:00,7.975
2022-04-20 09:27:41+00:00,7.975
2022-04-20 09:32:41+00:00,7.975
2022-04-20 09:37:41+00:00,7.975
2022-04-20 09:42:41+00:00,7.975
2022-04-20 09:47:41+00:00,7.975
2022-04-20 09:52:41+00:00,7.975
2022-04-20 09:57:41+00:00,7.975
2022-04-20 10:02:41+00:00,7.975
2022-04-20 10:07:41+00:00,7.975
2022-04-20 10:12:41+00:00,7.975
2022-04-20 10:17:41+00:00,7.975
2022-04-20 10:22:41+00:00,7.975
2022-04-20 10:27:41+00:00,7.975
2022-04-20 10:32:41+00:00,7.975
2022-04-20 10:37:41+00:00,7.975
2022-04-20 10:42:41+00:00,7.975
2022-04-20 10:47:41+00:00,7.975
2022-04-20 10:52:41+00:00,7.975
2022-04-20 10:57:41+00:00,7.975
2022-04-20 11:02:41+00:00,7.975
2022-04-20 11:07:41+00:00,7.975
2022-04-20 11:12:41+00:00,7.975
2022-04-20 11:17:41+00:00,7.975
2022-04-20 11:22:41+00:00,7.975
2022-04-20 11:27:41+00:00,7.975
2022-04-20 11:32:41+00:00,7.975
2022-04-20 11:37:41+00:00,7.975
2022-04-20 11:42:41+00:00,7.975
2022-04-20 11:47:41+00:00,7.975
2022-04-20 11:52:41+00:00,7.975
2022-04-20 11:57:41+00:00,7.975
2022-04-20 12:02:41+00:00,7.975
2022-04-20 12:07:40+00:00,7.975
2022-04-20 12:12:40+00:00,7.975
2022-04-20 12:17:40+00:00,7.975
2022-04-20 12:22:40+00:00,7.975
2022-04-20 12:27:40+00:00,7.975
2022-04-20 12:32:40+00:00,7.975
2022-04-20 12:37:40+00:00,7.975
2022-04-20 12:42:40+00:00,7.975
2022-04-20 12:47:40+00:00,7.975
2022-04-20 12:52:40+00:00,7.975
2022-04-20 12:57:40+00:00,7.975
2022-04-20 13:02:40+00:00,7.975
2022-04-20 13:07:40+00:00,7.975
2022-04-20 13:12:40+00:00,7.975
2022-04-20 13:17:40+00:00,7.975
2022-04-20 13:22:40+00:00,7.975
2022-04-20 13:27:40+00:00,7.975
2022-04-20 13:32:40+00:00,7.975
2022-04-20 13:37:40+00:00,7.975
2022-04-20 13:42:40+00:00,7.975
2022-04-20 13:47:40+00:00,7.975
2022-04-20 13:52:40+00:00,7.975
2022-04-20 13:57:40+00:00,7.975
2022-04-20 14:02:40+00:00,7.975
2022-04-20 14:07:40+00:00,7.975
2022-04-20 14:12:40+00:00,7.975
2022-04-20 14:17:40+00:00,7.975
2022-04-20 14:22:40+00:00,7.975
2022-04-20 14:27:40+00:00,7.975
2022-04-20 14:32:40+00:00,7.975
2022-04-20 14:37:40+00:00,7.975
2022-04-20 14:42:40+00:00,7.975
2022-04-20 14:52:40+00:00,7.975
2022-04-20 14:57:40+00:00,7.975
2022-04-20 15:02:40+00:00,7.975
2022-04-20 15:07:40+00:00,7.975
2022-04-20 15:12:40+00:00,7.975
2022-04-20 15:17:40+00:00,7.975
2022-04-20 15:22:40+00:00,7.975
2022-04-20 15:27:40+00:00,7.975
2022-04-20 15:32:40+00:00,7.975
2022-04-20 15:37:40+00:00,7.975
2022-04-20 15:42:40+00:00,7.975
2022-04-20 15:47:40+00:00,7.975
2022-04-20 15:52:40+00:00,7.975
2022-04-20 15:57:40+00:00,7.975
2022-04-20 16:02:40+00:00,7.975
2022-04-20 16:07:40+00:00,7.975
2022-04-20 16:12:40+00:00,7.975
2022-04-20 16:17:40+00:00,7.975
2022-04-20 16:22:40+00:00,7.975
2022-04-20 16:27:40+00:00,7.975
2022-04-20 16:32:40+00:00,7.975
2022-04-20 16:37:40+00:00,7.975
2022-04-20 16:42:40+00:00,7.975
2022-04-20 16:47:40+00:00,7.975
2022-04-20 16:52:40+00:00,7.975
2022-04-20 16:57:40+00:00,7.975
2022-04-20 17:02:40+00:00,7.975
2022-04-20 17:07:40+00:00,7.975
2022-04-20 17:12:40+00:00,7.975
2022-04-20 17:17:40+00:00,7.975
2022-04-20 17:22:40+00:00,7.975
2022-04-20 17:27:40+00:00,7.975
2022-04-20 17:32:39+00:00,7.975
2022-04-20 17:37:39+00:00,7.975
2022-04-20 17:42:39+00:00,7.975
2022-04-20 17:47:39+00:00,7.975
2022-04-20 17:52:39+00:00,7.975
2022-04-20 17:57:39+00:00,7.975
2022-04-20 18:02:39+00:00,7.975
2022-04-20 18:07:39+00:00,7.975
2022-04-20 18:12:39+00:00,7.975
2022-04-20 18:17:39+00:00,7.975
2022-04-20 18:22:39+00:00,7.975
2022-04-20 18:27:39+00:00,7.975
2022-04-20 18:32:39+00:00,7.98
2022-04-20 18:37:39+00:00,7.98
2022-04-20 18:47:39+00:00,7.98
2022-04-20 18:52:39+00:00,7.98
2022-04-20 18:57:39+00:00,7.98
2022-04-20 19:02:39+00:00,7.98
2022-04-20 19:07:39+00:00,7.98
2022-04-20 19:12:39+00:00,7.98
2022-04-20 19:17:39+00:00,7.98
2022-04-20 19:22:39+00:00,7.98
2022-04-20 19:27:39+00:00,7.98
2022-04-20 19:32:39+00:00,7.98
2022-04-20 19:37:39+00:00,7.98
2022-04-20 19:42:39+00:00,7.98
2022-04-20 19:47:39+00:00,7.98
2022-04-20 19:52:39+00:00,7.98
2022-04-20 19:57:39+00:00,7.98
2022-04-20 20:02:39+00:00,7.98
2022-04-20 20:07:39+00:00,7.98
2022-04-20 20:12:39+00:00,7.98
2022-04-20 20:17:39+00:00,7.98
2022-04-20 20:22:39+00:00,7.98
2022-04-20 20:27:39+00:00,7.98
2022-04-20 20:32:39+00:00,7.98
2022-04-20 20:37:39+00:00,7.98
2022-04-20 20:42:39+00:00,7.98
2022-04-20 20:47:39+00:00,7.98
2022-04-20 20:52:39+00:00,7.98
2022-04-20 20:57:39+00:00,7.98
2022-04-20 21:02:39+00:00,7.98
2022-04-20 21:07:39+00:00,7.98
2022-04-20 21:12:39+00:00,7.98
2022-04-20 21:17:39+00:00,7.98
2022-04-20 21:22:39+00:00,7.98
2022-04-20 21:27:39+00:00,7.98
2022-04-20 21:32:39+00:00,7.984999999999999
2022-04-20 21:37:39+00:00,7.984999999999999
2022-04-20 21:42:39+00:00,7.984999999999999
2022-04-20 21:47:39+00:00,7.984999999999999
2022-04-20 21:52:39+00:00,7.984999999999999
2022-04-20 21:57:39+00:00,7.984999999999999
2022-04-20 22:02:39+00:00,7.984999999999999
2022-04-20 22:07:39+00:00,7.984999999999999
2022-04-20 22:12:39+00:00,7.984999999999999
2022-04-20 22:17:39+00:00,7.984999999999999
2022-04-20 22:22:39+00:00,7.984999999999999
2022-04-20 22:27:39+00:00,7.984999999999999
