ts,value
2022-09-08 12:11:36+00:00,19561.875
2022-09-08 12:26:42+00:00,19562.260000000002
2022-09-08 13:26:28+00:00,19564.43
2022-09-08 13:56:32+00:00,19567.440000000002
2022-09-08 14:56:38+00:00,19569.835
2022-09-08 16:11:37+00:00,19571.42
2022-09-08 16:41:18+00:00,19572.255
2022-09-08 16:56:30+00:00,19572.620000000003
2022-09-08 17:11:25+00:00,19573.065000000002
2022-09-08 17:56:38+00:00,19574.350000000002
2022-09-08 18:41:33+00:00,19575.575
2022-09-08 19:11:34+00:00,19576.435
2022-09-08 19:41:38+00:00,19577.375
2022-09-08 20:11:42+00:00,19578.345
2022-09-08 20:56:18+00:00,19580.75
2022-09-08 21:56:43+00:00,19584.11
2022-09-08 22:56:33+00:00,19587.365
2022-09-08 23:41:46+00:00,19588.965
2022-09-09 00:56:43+00:00,19591.595
2022-09-09 01:26:27+00:00,19592.605000000003
2022-09-09 01:41:19+00:00,19593.105
2022-09-09 02:41:24+00:00,19595.085
2022-09-09 06:11:23+00:00,19606.49
2022-09-09 07:11:23+00:00,19611.705
2022-09-09 08:56:22+00:00,19623.045
2022-09-09 09:11:48+00:00,19624.485
2022-09-09 10:11:37+00:00,19627.24
2022-09-09 10:26:48+00:00,19627.91
2022-09-09 10:41:34+00:00,19629.845
2022-09-09 10:56:31+00:00,19631.715
2022-09-09 11:11:29+00:00,19632.575
2022-09-09 11:41:31+00:00,19633.670000000002
2022-09-09 11:56:25+00:00,19633.850000000002
2022-09-09 12:11:35+00:00,19634.085
2022-09-09 12:26:45+00:00,19634.455
2022-09-09 12:41:26+00:00,19635.010000000002
2022-09-09 12:56:24+00:00,19635.345
2022-09-09 17:11:46+00:00,19661.165
2022-09-09 18:26:52+00:00,19670.02
2022-09-09 19:26:36+00:00,19676.53
2022-09-09 19:41:26+00:00,19677.965
2022-09-09 20:41:33+00:00,19680.98
2022-09-09 22:11:42+00:00,19686.765
2022-09-10 00:56:44+00:00,19691.355
2022-09-10 01:11:37+00:00,19691.765
2022-09-10 02:41:29+00:00,19694.305
2022-09-10 03:11:31+00:00,19695.235
2022-09-10 06:11:49+00:00,19700.61
2022-09-10 12:11:38+00:00,19705.68
2022-09-10 12:41:45+00:00,19706.125
2022-09-10 12:56:34+00:00,19706.255
2022-09-10 13:11:37+00:00,19706.465
2022-09-10 13:26:42+00:00,19706.515
2022-09-10 13:41:46+00:00,19706.86
2022-09-10 13:56:49+00:00,19706.985
2022-09-10 14:11:51+00:00,19707.07
2022-09-10 14:26:43+00:00,19707.315000000002
2022-09-10 14:41:43+00:00,19707.375
2022-09-10 14:56:55+00:00,19707.480000000003
2022-09-10 15:11:33+00:00,19707.620000000003
2022-09-10 15:56:30+00:00,19707.89
2022-09-10 16:11:53+00:00,19708.145
2022-09-10 16:26:57+00:00,19708.420000000002
2022-09-10 16:56:34+00:00,19708.92
2022-09-10 17:11:46+00:00,19709.21
2022-09-10 17:26:30+00:00,19709.505
2022-09-10 17:41:43+00:00,19709.79
2022-09-10 17:56:50+00:00,19710.09
2022-09-10 18:11:51+00:00,19710.45
2022-09-10 18:26:45+00:00,19710.82
2022-09-10 18:41:52+00:00,19711.16
2022-09-10 19:11:31+00:00,19711.875
2022-09-10 19:26:55+00:00,19712.155
2022-09-10 19:41:58+00:00,19712.455
2022-09-10 20:11:45+00:00,19713.11
2022-09-10 20:26:37+00:00,19713.440000000002
2022-09-10 20:41:34+00:00,19713.75
2022-09-10 20:56:43+00:00,19714.125
2022-09-10 21:11:43+00:00,19714.41
2022-09-10 21:26:33+00:00,19714.715
2022-09-10 21:41:42+00:00,19714.995000000003
2022-09-10 21:56:54+00:00,19715.370000000003
2022-09-10 22:11:54+00:00,19715.74
2022-09-10 22:26:32+00:00,19716.120000000003
2022-09-10 22:41:55+00:00,19716.465
2022-09-10 22:56:39+00:00,19716.745000000003
2022-09-10 23:11:38+00:00,19717.03
2022-09-10 23:26:46+00:00,19717.345
2022-09-11 01:41:32+00:00,19720.555
2022-09-11 02:56:53+00:00,19722.120000000003
2022-09-11 05:11:36+00:00,19725.6
2022-09-11 05:41:41+00:00,19726.315000000002
2022-09-11 06:26:59+00:00,19727.295000000002
