ts,value
2021-05-04 07:49:30+00:00,33.7782
2021-05-04 08:04:32+00:00,33.7864
2021-05-04 08:19:31+00:00,33.7864
2021-05-04 08:34:31+00:00,33.7864
2021-05-04 08:49:32+00:00,33.7864
2021-05-04 09:04:34+00:00,33.7864
2021-05-04 09:19:32+00:00,33.7864
2021-05-04 09:34:32+00:00,33.7864
2021-05-04 09:49:34+00:00,33.7976
2021-05-04 10:04:35+00:00,33.8081
2021-05-04 10:19:36+00:00,33.8081
2021-05-04 10:34:37+00:00,33.8081
2021-05-04 10:49:37+00:00,33.8081
2021-05-04 11:04:37+00:00,33.8081
2021-05-04 11:19:38+00:00,33.8081
2021-05-04 11:34:38+00:00,33.8081
2021-05-04 11:49:39+00:00,33.8081
2021-05-04 12:04:40+00:00,33.8081
2021-05-04 12:19:41+00:00,33.8081
2021-05-04 12:34:42+00:00,33.8081
2021-05-04 12:49:42+00:00,33.8081
2021-05-04 13:19:42+00:00,33.8121
2021-05-04 13:34:42+00:00,33.8121
2021-05-04 13:49:43+00:00,33.8121
2021-05-04 14:04:44+00:00,33.8121
2021-05-04 14:19:45+00:00,33.8121
2021-05-04 14:34:45+00:00,33.8121
2021-05-04 14:49:45+00:00,33.8121
2021-05-04 15:04:46+00:00,33.8121
2021-05-04 15:19:47+00:00,33.8121
2021-05-04 15:49:49+00:00,33.8151
2021-05-04 16:04:50+00:00,33.8202
2021-05-04 16:19:48+00:00,33.8202
2021-05-04 16:34:50+00:00,33.8202
2021-05-04 16:49:51+00:00,33.8202
2021-05-04 17:04:52+00:00,33.8202
2021-05-04 17:19:53+00:00,33.8202
2021-05-04 17:34:52+00:00,33.8202
2021-05-04 17:49:53+00:00,33.8202
2021-05-04 18:04:54+00:00,33.8202
2021-05-04 18:19:55+00:00,33.8202
2021-05-04 18:34:56+00:00,33.8202
2021-05-04 18:49:57+00:00,33.8202
2021-05-04 19:04:58+00:00,33.8202
2021-05-04 19:20:00+00:00,33.8216
2021-05-04 19:34:59+00:00,33.8239
2021-05-04 19:50:00+00:00,33.8262
