ts,value
2023-01-08 05:15:00+00:00,230216.9825734778
2023-01-08 05:30:00+00:00,230217.44550923601
2023-01-08 05:45:00+00:00,230217.908405288
2023-01-08 06:00:00+00:00,230218.3709203817
2023-01-08 06:15:00+00:00,230218.8341526106
2023-01-08 06:30:00+00:00,230219.29736498042
2023-01-08 06:45:00+00:00,230219.76054089732
2023-01-08 07:00:00+00:00,230220.223774502
2023-01-08 07:15:00+00:00,230220.68794235712
2023-01-08 07:30:00+00:00,230221.151332286
2023-01-08 07:45:00+00:00,230221.6148564768
2023-01-08 08:00:00+00:00,230222.0780115739
2023-01-08 08:15:00+00:00,230222.542213025
2023-01-08 08:30:00+00:00,230222.6430056244
2023-01-08 08:45:00+00:00,230222.7241910645
2023-01-08 09:00:00+00:00,230222.80522176382
2023-01-08 09:15:00+00:00,230222.88652923802
2023-01-08 09:30:00+00:00,230222.96767472822
2023-01-08 09:45:00+00:00,230223.04890418
2023-01-08 10:00:00+00:00,230223.12992000242
2023-01-08 10:15:00+00:00,230223.21106747
2023-01-08 10:30:00+00:00,230223.2921211668
2023-01-08 10:45:00+00:00,230223.3732250059
2023-01-08 11:00:00+00:00,230223.454196484
2023-01-08 11:15:00+00:00,230223.535503252
2023-01-08 11:30:00+00:00,230223.61666749002
2023-01-08 11:45:00+00:00,230223.69803280281
2023-01-08 12:00:00+00:00,230223.782443959
2023-01-08 12:15:00+00:00,230223.8665839388
2023-01-08 12:30:00+00:00,230223.9511600644
2023-01-08 12:45:00+00:00,230224.03590925902
2023-01-08 13:00:00+00:00,230224.12084386701
2023-01-08 13:15:00+00:00,230224.20596675202
2023-01-08 13:30:00+00:00,230224.29132326262
2023-01-08 13:45:00+00:00,230224.37668479842
2023-01-08 14:00:00+00:00,230224.462116885
2023-01-08 14:15:00+00:00,230224.5477528776
2023-01-08 14:30:00+00:00,230224.6333271224
2023-01-08 14:45:00+00:00,230224.7189678325
2023-01-08 15:00:00+00:00,230224.8044427365
2023-01-08 15:15:00+00:00,230225.0559332608
2023-01-08 15:30:00+00:00,230225.419900428
2023-01-08 15:45:00+00:00,230225.8148577312
2023-01-08 16:00:00+00:00,230226.213502647
2023-01-08 16:15:00+00:00,230226.61155732462
2023-01-08 16:30:00+00:00,230227.009180475
2023-01-08 16:45:00+00:00,230227.4069886415
2023-01-08 17:00:00+00:00,230227.80430753922
2023-01-08 17:15:00+00:00,230228.20106514462
2023-01-08 17:30:00+00:00,230228.5977023947
2023-01-08 17:45:00+00:00,230228.9945637908
2023-01-08 18:00:00+00:00,230229.391846406
2023-01-08 18:15:00+00:00,230229.78919078942
2023-01-08 18:30:00+00:00,230230.1864530704
2023-01-08 18:45:00+00:00,230230.5839909816
2023-01-08 19:00:00+00:00,230230.98216108952
2023-01-08 19:15:00+00:00,230231.380266005
2023-01-08 19:30:00+00:00,230231.7781153179
2023-01-08 19:45:00+00:00,230232.1757897168
2023-01-08 20:00:00+00:00,230232.573370994
