ts,value
2021-05-04 07:54:38+00:00,182.4377
2021-05-04 08:09:38+00:00,182.4388
2021-05-04 08:24:41+00:00,182.4399
2021-05-04 08:39:42+00:00,182.441
2021-05-04 09:24:45+00:00,182.4443
2021-05-04 09:39:44+00:00,182.4483
2021-05-04 09:54:45+00:00,182.4494
2021-05-04 10:39:47+00:00,182.4669
2021-05-04 10:54:48+00:00,182.4694
2021-05-04 11:09:49+00:00,182.4732
2021-05-04 11:24:51+00:00,182.477
2021-05-04 11:39:50+00:00,182.4781
2021-05-04 12:24:52+00:00,182.4814
2021-05-04 12:37:58+00:00,182.4824
2021-05-04 12:38:05+00:00,182.4824
2021-05-04 12:38:13+00:00,182.4824
2021-05-04 14:06:01+00:00,182.4889
2021-05-04 14:21:01+00:00,182.4901
2021-05-04 14:36:01+00:00,182.4912
2021-05-04 14:51:02+00:00,182.4923
2021-05-04 15:06:02+00:00,182.4948
2021-05-04 15:21:02+00:00,182.4962
2021-05-04 15:51:03+00:00,182.4985
2021-05-04 16:21:04+00:00,182.5047
2021-05-04 16:36:03+00:00,182.5096
2021-05-04 16:51:04+00:00,182.5108
2021-05-04 17:06:05+00:00,182.5119
2021-05-04 17:21:05+00:00,182.5131
2021-05-04 17:36:06+00:00,182.5235
2021-05-04 17:51:07+00:00,182.5249
2021-05-04 18:06:08+00:00,182.526
2021-05-04 18:21:10+00:00,182.5271
2021-05-04 18:36:10+00:00,182.5281
2021-05-04 18:51:09+00:00,182.5299
2021-05-04 19:06:11+00:00,182.5382
2021-05-04 19:21:12+00:00,182.5674
2021-05-04 21:06:15+00:00,182.7147
2021-05-04 22:51:20+00:00,182.8238
2021-05-04 23:06:21+00:00,182.8395
2021-05-04 23:21:22+00:00,182.8552
2021-05-04 23:36:23+00:00,182.8709
2021-05-04 23:51:24+00:00,182.8868
2021-05-05 00:06:25+00:00,182.9025
2021-05-05 00:21:27+00:00,182.9182
2021-05-05 00:36:26+00:00,182.9339
2021-05-05 00:51:27+00:00,182.9497
2021-05-05 01:06:28+00:00,182.9655
2021-05-05 01:21:30+00:00,182.9812
2021-05-05 01:36:29+00:00,182.997
2021-05-05 01:51:30+00:00,183.0127
2021-05-05 02:06:32+00:00,183.0284
2021-05-05 02:21:31+00:00,183.0442
2021-05-05 02:36:32+00:00,183.0598
2021-05-05 03:06:35+00:00,183.0967
2021-05-05 03:21:35+00:00,183.1125
2021-05-05 03:36:37+00:00,183.1457
2021-05-05 03:51:37+00:00,183.1468
2021-05-05 04:06:37+00:00,183.148
2021-05-05 04:21:38+00:00,183.1491
2021-05-05 04:36:40+00:00,183.1502
2021-05-05 04:51:39+00:00,183.1558
2021-05-05 05:06:41+00:00,183.1587
2021-05-05 05:21:41+00:00,183.1598
2021-05-05 05:51:42+00:00,183.162
2021-05-05 06:06:43+00:00,183.1631
2021-05-05 06:21:44+00:00,183.1642
2021-05-05 06:36:46+00:00,183.1653
2021-05-05 06:51:45+00:00,183.1664
2021-05-05 07:06:46+00:00,183.1675
2021-05-05 07:21:48+00:00,183.1686
2021-05-05 07:36:47+00:00,183.1698
2021-05-05 07:51:49+00:00,183.1709
2021-05-05 08:06:48+00:00,183.1728
2021-05-05 08:21:50+00:00,183.174
2021-05-05 08:36:49+00:00,183.1751
2021-05-05 08:51:50+00:00,183.1762
2021-05-05 09:06:49+00:00,183.1773
2021-05-05 09:21:50+00:00,183.1784
2021-05-05 09:51:51+00:00,183.1807
2021-05-05 10:06:52+00:00,183.1818
2021-05-05 10:21:53+00:00,183.1879
2021-05-05 10:36:53+00:00,183.1954
2021-05-05 10:51:54+00:00,183.197
2021-05-05 11:06:54+00:00,183.2087
2021-05-05 11:21:55+00:00,183.2104
2021-05-05 11:36:56+00:00,183.213
2021-05-05 11:51:57+00:00,183.2169
2021-05-05 12:06:58+00:00,183.224
2021-05-05 12:21:59+00:00,183.2264
2021-05-05 12:37:01+00:00,183.2306
2021-05-05 12:52:01+00:00,183.2318
2021-05-05 13:07:00+00:00,183.233
2021-05-05 13:22:01+00:00,183.2348
2021-05-05 13:37:04+00:00,183.2359
2021-05-05 14:07:04+00:00,183.2395
2021-05-05 14:22:06+00:00,183.2413
2021-05-05 14:37:06+00:00,183.2424
2021-05-05 14:52:06+00:00,183.2435
2021-05-05 15:07:06+00:00,183.2497
2021-05-05 15:22:07+00:00,183.2508
2021-05-05 15:37:07+00:00,183.2519
2021-05-05 16:07:08+00:00,183.2542
2021-05-05 16:22:09+00:00,183.2553
2021-05-05 16:37:09+00:00,183.2565
2021-05-05 17:07:11+00:00,183.2591
2021-05-05 17:22:12+00:00,183.2602
2021-05-05 17:37:13+00:00,183.2613
2021-05-05 17:52:14+00:00,183.2625
2021-05-05 18:22:15+00:00,183.2648
2021-05-05 18:37:16+00:00,183.2659
2021-05-05 18:52:18+00:00,183.267
2021-05-05 19:07:17+00:00,183.2922
2021-05-05 19:22:16+00:00,183.2933
2021-05-05 19:37:17+00:00,183.3031
2021-05-05 19:52:18+00:00,183.3182
2021-05-05 20:07:19+00:00,183.3335
2021-05-05 20:22:20+00:00,183.3488
2021-05-05 20:37:21+00:00,183.3645
2021-05-05 20:52:21+00:00,183.3998
2021-05-05 21:07:22+00:00,183.4162
2021-05-05 21:22:22+00:00,183.4318
2021-05-05 21:37:23+00:00,183.4475
2021-05-05 21:52:23+00:00,183.463
2021-05-05 22:07:24+00:00,183.4785
2021-05-05 22:22:25+00:00,183.4941
2021-05-05 22:37:25+00:00,183.5099
2021-05-05 22:52:25+00:00,183.5256
2021-05-05 23:07:27+00:00,183.5415
2021-05-05 23:22:28+00:00,183.5572
2021-05-05 23:37:28+00:00,183.5729
2021-05-05 23:52:29+00:00,183.5887
2021-05-06 00:07:29+00:00,183.6045
2021-05-06 00:22:30+00:00,183.6204
2021-05-06 00:37:30+00:00,183.6361
2021-05-06 00:52:31+00:00,183.6519
2021-05-06 01:07:32+00:00,183.6675
2021-05-06 01:22:31+00:00,183.6831
2021-05-06 01:37:33+00:00,183.6986
2021-05-06 01:52:34+00:00,183.7142
2021-05-06 02:07:32+00:00,183.7297
2021-05-06 02:22:34+00:00,183.7454
2021-05-06 02:37:35+00:00,183.7611
2021-05-06 02:52:36+00:00,183.7767
2021-05-06 03:07:37+00:00,183.7922
2021-05-06 03:22:37+00:00,183.8077
2021-05-06 03:37:39+00:00,183.8432
2021-05-06 03:52:39+00:00,183.8487
2021-05-06 04:07:39+00:00,183.8499
2021-05-06 04:22:40+00:00,183.851
2021-05-06 04:37:41+00:00,183.8521
2021-05-06 04:52:42+00:00,183.8532
2021-05-06 05:07:43+00:00,183.8543
2021-05-06 05:22:42+00:00,183.8554
2021-05-06 05:37:42+00:00,183.8565
2021-05-06 05:52:43+00:00,183.8576
2021-05-06 06:07:43+00:00,183.8588
2021-05-06 06:22:43+00:00,183.8599
2021-05-06 06:37:43+00:00,183.8624
2021-05-06 06:52:43+00:00,183.8635
2021-05-06 07:07:45+00:00,183.8646
2021-05-06 07:22:45+00:00,183.8716
2021-05-06 07:37:44+00:00,183.8727
2021-05-06 07:52:46+00:00,183.8745
2021-05-06 08:07:47+00:00,183.8763
2021-05-06 08:22:48+00:00,183.8788
2021-05-06 08:37:49+00:00,183.8799
2021-05-06 08:52:49+00:00,183.8869
2021-05-06 09:07:49+00:00,183.8922
2021-05-06 09:22:51+00:00,183.8933
2021-05-06 09:37:51+00:00,183.8944
2021-05-06 09:52:52+00:00,183.8969
2021-05-06 10:07:52+00:00,183.8987
2021-05-06 10:22:52+00:00,183.9011
2021-05-06 10:37:52+00:00,183.9022
2021-05-06 10:52:53+00:00,183.9044
2021-05-06 11:07:53+00:00,183.9083
2021-05-06 11:22:54+00:00,183.9094
2021-05-06 11:37:55+00:00,183.9105
2021-05-06 11:52:56+00:00,183.912
2021-05-06 12:07:56+00:00,183.9131
2021-05-06 12:22:57+00:00,183.9143
