ts,value
2021-02-24 18:00:00+00:00,0.4
2021-02-24 18:15:00+00:00,0.85
2021-02-24 18:30:00+00:00,0.5
2021-02-24 18:45:00+00:00,0.5
2021-02-24 19:00:00+00:00,0.3
2021-02-24 19:15:00+00:00,0.3
2021-02-24 19:30:00+00:00,0.4
2021-02-24 19:45:00+00:00,0.4
2021-02-24 20:00:00+00:00,0.4
2021-02-24 20:15:00+00:00,0.35
2021-02-24 20:30:00+00:00,0.35
2021-02-24 20:45:00+00:00,0.3
2021-02-24 21:00:00+00:00,0.3
2021-02-24 21:15:00+00:00,0.3
2021-02-24 21:30:00+00:00,0.35
2021-02-24 21:45:00+00:00,0.4
2021-02-24 22:00:00+00:00,0.3
2021-02-24 22:15:00+00:00,0.3
2021-02-24 22:30:00+00:00,0.5
2021-02-24 22:45:00+00:00,0.25
2021-02-24 23:00:00+00:00,0.3
2021-02-25 18:00:00+00:00,1.05
2021-02-25 18:15:00+00:00,0.75
2021-02-25 18:30:00+00:00,0.7
2021-02-25 18:45:00+00:00,0.7
2021-02-25 19:00:00+00:00,0.65
2021-02-25 19:15:00+00:00,0.75
2021-02-25 19:30:00+00:00,0.75
2021-02-25 19:45:00+00:00,0.7
2021-02-25 20:00:00+00:00,0.9
2021-02-25 20:15:00+00:00,0.65
2021-02-25 20:30:00+00:00,0.65
2021-02-25 20:45:00+00:00,0.7
2021-02-25 21:00:00+00:00,0.65
2021-02-25 21:15:00+00:00,0.6
2021-02-25 21:30:00+00:00,0.65
2021-02-25 21:45:00+00:00,0.6
2021-02-25 22:00:00+00:00,0.65
2021-02-25 22:15:00+00:00,0.65
2021-02-25 22:30:00+00:00,0.6
2021-02-25 22:45:00+00:00,0.65
2021-02-25 23:00:00+00:00,0.6
2021-02-25 23:15:00+00:00,0.65
2021-02-25 23:30:00+00:00,0.6
2021-02-25 23:45:00+00:00,0.7
2021-02-26 00:00:00+00:00,0.6
2021-02-26 00:15:00+00:00,0.85
2021-02-26 00:30:00+00:00,0.65
2021-02-26 00:45:00+00:00,0.6
2021-02-26 01:00:00+00:00,0.7
2021-02-26 01:15:00+00:00,0.65
2021-02-26 01:30:00+00:00,0.7
2021-02-26 01:45:00+00:00,0.65
2021-02-26 02:00:00+00:00,0.6
2021-02-26 02:15:00+00:00,0.6
2021-02-26 02:30:00+00:00,0.65
2021-02-26 02:45:00+00:00,0.6
2021-02-26 03:00:00+00:00,0.65
2021-02-26 03:15:00+00:00,0.6
2021-02-26 03:30:00+00:00,0.65
2021-02-26 03:45:00+00:00,0.75
2021-02-26 04:00:00+00:00,0.6
2021-02-26 04:15:00+00:00,0.65
2021-02-26 04:30:00+00:00,0.7
2021-02-26 04:45:00+00:00,0.85
2021-02-26 05:00:00+00:00,0.65
2021-02-26 05:15:00+00:00,0.6
2021-02-26 05:30:00+00:00,0.65
2021-02-26 05:45:00+00:00,0.85
2021-02-26 06:00:00+00:00,0.65
2021-02-26 06:15:00+00:00,0.6
2021-02-26 06:30:00+00:00,0.95
2021-02-26 06:45:00+00:00,0.8
2021-02-26 07:00:00+00:00,2.6
2021-02-26 07:15:00+00:00,2.9
2021-02-26 07:30:00+00:00,2.95
2021-02-26 07:45:00+00:00,2.95
2021-02-26 08:00:00+00:00,3.25
2021-02-26 08:15:00+00:00,3.5
2021-02-26 08:30:00+00:00,3.5
2021-02-26 08:45:00+00:00,3.35
2021-02-26 09:00:00+00:00,3.35
2021-02-26 09:15:00+00:00,3.6
2021-02-26 09:30:00+00:00,3.4
2021-02-26 09:45:00+00:00,3.35
2021-02-26 10:00:00+00:00,3.45
2021-02-26 10:15:00+00:00,3.45
2021-02-26 10:30:00+00:00,3.35
2021-02-26 10:45:00+00:00,3.35
2021-02-26 11:00:00+00:00,3.45
2021-02-26 11:15:00+00:00,3.3
2021-02-26 11:30:00+00:00,3.3
2021-02-26 11:45:00+00:00,3.2
2021-02-26 12:00:00+00:00,2.85
2021-02-26 12:15:00+00:00,2.8
2021-02-26 12:30:00+00:00,2.9
2021-02-26 12:45:00+00:00,2.85
2021-02-26 13:00:00+00:00,2.85
2021-02-26 13:15:00+00:00,2.85
2021-02-26 13:30:00+00:00,3.05
2021-02-26 13:45:00+00:00,2.85
2021-02-26 14:00:00+00:00,2.85
2021-02-26 14:15:00+00:00,2.85
2021-02-26 14:30:00+00:00,2.85
2021-02-26 14:45:00+00:00,2.85
2021-02-26 15:00:00+00:00,2.85
2021-02-26 15:15:00+00:00,2.85
2021-02-26 15:30:00+00:00,2.1
2021-02-26 15:45:00+00:00,0.6
2021-02-26 16:00:00+00:00,0.65
2021-02-26 16:15:00+00:00,0.6
2021-02-26 16:30:00+00:00,0.65
2021-02-26 16:45:00+00:00,0.6
2021-02-26 17:00:00+00:00,0.65
2021-02-26 17:15:00+00:00,0.8
2021-02-26 17:30:00+00:00,0.8
2021-02-26 17:45:00+00:00,1.0
2021-02-26 18:00:00+00:00,0.8
2021-02-26 18:15:00+00:00,0.75
2021-02-26 18:30:00+00:00,0.65
2021-02-26 18:45:00+00:00,0.65
2021-02-26 19:00:00+00:00,0.75
2021-02-26 19:15:00+00:00,0.75
2021-02-26 19:30:00+00:00,0.7
2021-02-26 19:45:00+00:00,0.75
2021-02-26 20:00:00+00:00,0.6
2021-02-26 20:15:00+00:00,0.6
2021-02-26 20:30:00+00:00,0.75
2021-02-26 20:45:00+00:00,0.65
2021-02-26 21:00:00+00:00,0.6
2021-02-26 21:15:00+00:00,0.65
2021-02-26 21:30:00+00:00,0.6
2021-02-26 21:45:00+00:00,0.6
2021-02-26 22:00:00+00:00,0.85
2021-02-26 22:15:00+00:00,0.6
2021-02-26 22:30:00+00:00,0.65
2021-02-26 22:45:00+00:00,0.6
2021-02-26 23:00:00+00:00,0.7
2021-02-27 18:00:00+00:00,0.7
2021-02-27 18:15:00+00:00,0.7
2021-02-27 18:30:00+00:00,0.85
2021-02-27 18:45:00+00:00,0.75
2021-02-27 19:00:00+00:00,0.6
2021-02-27 19:15:00+00:00,0.7
2021-02-27 19:30:00+00:00,0.7
2021-02-27 19:45:00+00:00,0.75
2021-02-27 20:00:00+00:00,0.6
2021-02-27 20:15:00+00:00,0.7
2021-02-27 20:30:00+00:00,0.65
2021-02-27 20:45:00+00:00,0.6
2021-02-27 21:00:00+00:00,0.65
2021-02-27 21:15:00+00:00,0.6
2021-02-27 21:30:00+00:00,0.6
2021-02-27 21:45:00+00:00,0.65
2021-02-27 22:00:00+00:00,0.6
2021-02-27 22:15:00+00:00,0.7
2021-02-27 22:30:00+00:00,0.65
2021-02-27 22:45:00+00:00,0.85
2021-02-27 23:00:00+00:00,0.65
2021-02-28 18:00:00+00:00,0.7
2021-02-28 18:15:00+00:00,0.75
2021-02-28 18:30:00+00:00,0.75
2021-02-28 18:45:00+00:00,0.75
2021-02-28 19:00:00+00:00,0.65
2021-02-28 19:15:00+00:00,0.75
2021-02-28 19:30:00+00:00,0.75
2021-02-28 19:45:00+00:00,0.6
2021-02-28 20:00:00+00:00,0.65
2021-02-28 20:15:00+00:00,0.65
2021-02-28 20:30:00+00:00,0.85
2021-02-28 20:45:00+00:00,0.75
2021-02-28 21:00:00+00:00,0.7
2021-02-28 21:15:00+00:00,0.65
2021-02-28 21:30:00+00:00,0.6
