ts,value
2022-04-20 00:14:35+00:00,19.0
2022-04-20 00:29:36+00:00,19.0
2022-04-20 00:44:35+00:00,19.0
2022-04-20 00:59:35+00:00,19.0
2022-04-20 01:14:34+00:00,19.0
2022-04-20 01:29:34+00:00,19.0
2022-04-20 01:44:34+00:00,19.0
2022-04-20 01:59:34+00:00,19.0
2022-04-20 02:14:34+00:00,19.0
2022-04-20 02:29:34+00:00,19.0
2022-04-20 02:44:34+00:00,19.0
2022-04-20 02:59:34+00:00,19.0
2022-04-20 03:14:34+00:00,19.0
2022-04-20 03:29:34+00:00,19.0
2022-04-20 03:44:34+00:00,19.0
2022-04-20 03:59:34+00:00,19.0
2022-04-20 04:14:33+00:00,19.0
2022-04-20 04:29:33+00:00,19.0
2022-04-20 04:44:33+00:00,19.0
2022-04-20 04:59:33+00:00,19.0
2022-04-20 05:14:33+00:00,19.0
2022-04-20 05:44:33+00:00,19.0
2022-04-20 05:59:33+00:00,19.0
2022-04-20 06:14:33+00:00,19.0
2022-04-20 06:29:33+00:00,19.0
2022-04-20 06:44:33+00:00,19.0
2022-04-20 06:59:32+00:00,19.0
2022-04-20 07:14:32+00:00,19.0
2022-04-20 07:29:32+00:00,19.0
2022-04-20 07:44:32+00:00,19.0
2022-04-20 07:59:32+00:00,19.0
2022-04-20 08:14:32+00:00,19.0
2022-04-20 08:29:32+00:00,19.0
2022-04-20 08:44:32+00:00,19.0
2022-04-20 08:59:32+00:00,19.0
2022-04-20 09:14:32+00:00,19.0
2022-04-20 09:29:32+00:00,19.0
2022-04-20 09:44:32+00:00,19.0
2022-04-20 09:59:31+00:00,19.0
2022-04-20 10:14:31+00:00,19.0
2022-04-20 10:29:31+00:00,19.0
2022-04-20 10:44:31+00:00,19.0
2022-04-20 10:59:31+00:00,19.0
2022-04-20 11:14:31+00:00,19.0
2022-04-20 11:29:31+00:00,19.0
2022-04-20 11:44:31+00:00,19.0
2022-04-20 11:59:31+00:00,19.0
2022-04-20 12:14:31+00:00,19.0
2022-04-20 12:29:31+00:00,19.0
2022-04-20 12:59:30+00:00,19.0
2022-04-20 13:14:30+00:00,19.0
2022-04-20 13:29:30+00:00,19.0
2022-04-20 13:44:30+00:00,19.0
2022-04-20 13:59:30+00:00,19.0
2022-04-20 14:14:30+00:00,19.0
2022-04-20 14:29:30+00:00,19.0
2022-04-20 14:44:30+00:00,19.0
2022-04-20 14:59:30+00:00,19.0
2022-04-20 15:14:30+00:00,19.0
2022-04-20 15:29:29+00:00,19.0
2022-04-20 15:44:29+00:00,19.0
2022-04-20 15:59:29+00:00,19.0
2022-04-20 16:14:36+00:00,19.0
2022-04-20 16:29:29+00:00,19.0
2022-04-20 16:44:29+00:00,19.0
2022-04-20 16:59:29+00:00,19.0
2022-04-20 17:14:29+00:00,19.0
2022-04-20 17:29:29+00:00,19.0
2022-04-20 17:44:29+00:00,19.0
2022-04-20 17:59:29+00:00,19.0
2022-04-20 18:14:29+00:00,19.0
2022-04-20 18:29:28+00:00,19.0
2022-04-20 18:44:28+00:00,19.0
2022-04-20 18:59:28+00:00,19.0
2022-04-20 19:14:28+00:00,19.0
2022-04-20 19:29:28+00:00,19.0
2022-04-20 19:44:28+00:00,19.0
2022-04-20 19:59:27+00:00,19.0
2022-04-20 20:14:27+00:00,19.0
2022-04-20 20:29:27+00:00,19.0
2022-04-20 20:44:27+00:00,19.0
2022-04-20 20:59:27+00:00,19.0
2022-04-20 21:14:26+00:00,19.0
2022-04-20 21:29:26+00:00,19.0
2022-04-20 21:44:26+00:00,19.0
2022-04-20 21:59:26+00:00,19.0
2022-04-20 22:14:26+00:00,19.0
2022-04-20 22:29:26+00:00,19.0
2022-04-20 22:44:26+00:00,19.0
2022-04-20 22:59:26+00:00,19.0
2022-04-20 23:14:27+00:00,19.0
2022-04-20 23:29:26+00:00,19.0
2022-04-20 23:44:26+00:00,19.0
2022-04-20 23:59:25+00:00,19.0
2022-04-21 00:14:25+00:00,19.0
2022-04-21 00:29:25+00:00,19.0
