ts,value
2022-04-20 00:12:55+00:00,2.79
2022-04-20 00:27:55+00:00,2.79
2022-04-20 00:42:55+00:00,2.79
2022-04-20 00:57:55+00:00,2.79
2022-04-20 01:12:54+00:00,2.79
2022-04-20 01:27:54+00:00,2.79
2022-04-20 01:42:54+00:00,2.79
2022-04-20 01:57:54+00:00,2.79
2022-04-20 02:12:54+00:00,2.79
2022-04-20 02:27:54+00:00,2.79
2022-04-20 02:42:54+00:00,2.79
2022-04-20 02:57:54+00:00,2.79
2022-04-20 03:12:54+00:00,2.79
2022-04-20 03:27:54+00:00,2.79
2022-04-20 03:42:54+00:00,2.79
2022-04-20 03:57:54+00:00,2.79
2022-04-20 04:12:54+00:00,2.79
2022-04-20 04:27:54+00:00,2.79
2022-04-20 04:42:54+00:00,2.79
2022-04-20 04:57:54+00:00,2.79
2022-04-20 05:12:54+00:00,2.79
2022-04-20 05:27:54+00:00,2.79
2022-04-20 05:42:54+00:00,2.79
2022-04-20 05:57:54+00:00,2.79
2022-04-20 06:12:54+00:00,2.79
2022-04-20 06:27:54+00:00,2.79
2022-04-20 06:42:53+00:00,2.79
2022-04-20 06:57:53+00:00,2.79
2022-04-20 07:12:53+00:00,2.79
2022-04-20 07:27:53+00:00,2.79
2022-04-20 07:42:53+00:00,2.79
2022-04-20 07:57:53+00:00,2.79
2022-04-20 08:12:53+00:00,2.79
2022-04-20 08:27:53+00:00,2.79
2022-04-20 08:42:53+00:00,2.79
2022-04-20 08:57:53+00:00,2.79
2022-04-20 09:12:53+00:00,2.79
2022-04-20 09:27:53+00:00,2.79
2022-04-20 09:42:53+00:00,2.79
2022-04-20 09:57:53+00:00,2.79
2022-04-20 10:12:53+00:00,2.79
2022-04-20 10:27:53+00:00,2.79
2022-04-20 10:42:53+00:00,2.79
2022-04-20 11:12:53+00:00,2.79
2022-04-20 11:27:53+00:00,2.79
2022-04-20 11:42:53+00:00,2.79
2022-04-20 11:57:52+00:00,2.8
2022-04-20 12:12:52+00:00,2.8
2022-04-20 12:27:52+00:00,2.8
2022-04-20 12:42:52+00:00,2.8
2022-04-20 12:57:52+00:00,2.8
2022-04-20 13:12:52+00:00,2.8
2022-04-20 13:27:52+00:00,2.8
2022-04-20 13:42:52+00:00,2.8
2022-04-20 14:12:52+00:00,2.8
2022-04-20 14:27:52+00:00,2.8
2022-04-20 14:42:52+00:00,2.8
2022-04-20 14:57:52+00:00,2.8
2022-04-20 15:12:52+00:00,2.8
2022-04-20 15:27:52+00:00,2.8
2022-04-20 15:42:52+00:00,2.8
2022-04-20 15:57:52+00:00,2.8
2022-04-20 16:12:52+00:00,2.8
2022-04-20 16:27:52+00:00,2.8
2022-04-20 16:42:52+00:00,2.8
2022-04-20 16:57:52+00:00,2.8
2022-04-20 17:12:52+00:00,2.8
2022-04-20 17:27:51+00:00,2.8
2022-04-20 17:42:51+00:00,2.8
2022-04-20 17:57:51+00:00,2.8
2022-04-20 18:12:51+00:00,2.8
2022-04-20 18:27:51+00:00,2.8
2022-04-20 18:42:51+00:00,2.8
2022-04-20 18:57:51+00:00,2.8
2022-04-20 19:12:51+00:00,2.8
2022-04-20 19:27:51+00:00,2.8
2022-04-20 19:42:51+00:00,2.8
2022-04-20 19:57:51+00:00,2.8
2022-04-20 20:12:51+00:00,2.8
2022-04-20 20:27:51+00:00,2.8
2022-04-20 20:42:51+00:00,2.8
2022-04-20 20:57:51+00:00,2.8
2022-04-20 21:12:51+00:00,2.8
2022-04-20 21:27:51+00:00,2.8
2022-04-20 21:42:51+00:00,2.8
2022-04-20 21:57:51+00:00,2.8
2022-04-20 22:12:51+00:00,2.8
2022-04-20 22:27:51+00:00,2.8
2022-04-20 22:42:50+00:00,2.8
2022-04-20 22:57:50+00:00,2.8
2022-04-20 23:12:50+00:00,2.8
2022-04-20 23:27:50+00:00,2.8
2022-04-20 23:42:50+00:00,2.8
2022-04-20 23:57:50+00:00,2.8
2022-04-21 00:12:50+00:00,2.8
2022-04-21 00:27:50+00:00,2.8
2022-04-21 00:42:50+00:00,2.8
2022-04-21 00:57:50+00:00,2.8
2022-04-21 01:12:50+00:00,2.8
2022-04-21 01:27:50+00:00,2.8
2022-04-21 01:57:50+00:00,2.8
2022-04-21 02:12:50+00:00,2.8
2022-04-21 02:27:50+00:00,2.8
2022-04-21 02:42:50+00:00,2.8
2022-04-21 02:57:50+00:00,2.8
2022-04-21 03:12:50+00:00,2.8
2022-04-21 03:27:50+00:00,2.8
2022-04-21 03:42:50+00:00,2.8
2022-04-21 03:57:50+00:00,2.8
2022-04-21 04:12:49+00:00,2.8
2022-04-21 04:27:49+00:00,2.8
2022-04-21 04:42:49+00:00,2.8
2022-04-21 04:57:49+00:00,2.8
2022-04-21 05:12:49+00:00,2.8
2022-04-21 05:27:49+00:00,2.8
2022-04-21 05:42:49+00:00,2.8
2022-04-21 05:57:49+00:00,2.8
2022-04-21 06:12:49+00:00,2.8
2022-04-21 06:27:49+00:00,2.8
2022-04-21 06:42:49+00:00,2.8
2022-04-21 06:57:49+00:00,2.8
2022-04-21 07:12:49+00:00,2.8
2022-04-21 07:27:49+00:00,2.8
2022-04-21 07:42:49+00:00,2.8
2022-04-21 07:57:49+00:00,2.8
2022-04-21 08:12:49+00:00,2.8
2022-04-21 08:27:49+00:00,2.8
2022-04-21 08:42:49+00:00,2.8
2022-04-21 08:57:49+00:00,2.8
2022-04-21 09:12:49+00:00,2.8
2022-04-21 09:27:49+00:00,2.8
2022-04-21 09:42:48+00:00,2.8
2022-04-21 09:57:48+00:00,2.8
2022-04-21 10:12:48+00:00,2.8
2022-04-21 10:27:48+00:00,2.8
2022-04-21 10:42:48+00:00,2.8
2022-04-21 10:57:48+00:00,2.8
2022-04-21 11:12:48+00:00,2.8
2022-04-21 11:27:48+00:00,2.8
2022-04-21 11:42:48+00:00,2.8
2022-04-21 11:57:48+00:00,2.8
2022-04-21 12:12:48+00:00,2.8
2022-04-21 12:27:48+00:00,2.8
2022-04-21 12:42:48+00:00,2.8
2022-04-21 12:57:48+00:00,2.8
2022-04-21 13:12:48+00:00,2.8
2022-04-21 13:27:48+00:00,2.8
2022-04-21 13:42:48+00:00,2.8
2022-04-21 13:57:48+00:00,2.8
2022-04-21 14:12:48+00:00,2.8
2022-04-21 14:27:48+00:00,2.8
2022-04-21 14:42:48+00:00,2.8
2022-04-21 14:57:47+00:00,2.8
2022-04-21 15:12:47+00:00,2.8
2022-04-21 15:27:47+00:00,2.8
2022-04-21 15:42:47+00:00,2.8
2022-04-21 15:57:47+00:00,2.8
2022-04-21 16:12:47+00:00,2.8
2022-04-21 16:27:47+00:00,2.8
2022-04-21 16:42:47+00:00,2.8
2022-04-21 16:57:47+00:00,2.8
2022-04-21 17:12:47+00:00,2.8
2022-04-21 17:27:47+00:00,2.8
2022-04-21 17:42:47+00:00,2.8
2022-04-21 17:57:47+00:00,2.8
2022-04-21 18:12:47+00:00,2.8
2022-04-21 18:27:47+00:00,2.8
2022-04-21 18:42:47+00:00,2.8
2022-04-21 18:57:47+00:00,2.8
2022-04-21 19:12:47+00:00,2.8
2022-04-21 19:27:47+00:00,2.8
2022-04-21 19:42:47+00:00,2.8
2022-04-21 19:57:47+00:00,2.8
2022-04-21 20:12:47+00:00,2.8
2022-04-21 20:27:46+00:00,2.8
2022-04-21 20:42:46+00:00,2.8
2022-04-21 20:57:46+00:00,2.8
2022-04-21 21:12:46+00:00,2.8
2022-04-21 21:27:46+00:00,2.8
2022-04-21 21:42:46+00:00,2.8
2022-04-21 21:57:46+00:00,2.8
2022-04-21 22:12:46+00:00,2.8
2022-04-21 22:27:46+00:00,2.8
2022-04-21 22:42:46+00:00,2.8
2022-04-21 22:57:46+00:00,2.8
2022-04-21 23:12:46+00:00,2.8
2022-04-21 23:27:46+00:00,2.8
2022-04-21 23:42:46+00:00,2.8
2022-04-21 23:57:46+00:00,2.8
2022-04-22 00:12:46+00:00,2.8
2022-04-22 00:27:46+00:00,2.8
2022-04-22 00:42:46+00:00,2.8
2022-04-22 00:57:46+00:00,2.8
2022-04-22 01:12:46+00:00,2.8
2022-04-22 01:27:46+00:00,2.8
2022-04-22 01:42:45+00:00,2.8
2022-04-22 01:57:45+00:00,2.8
2022-04-22 02:12:45+00:00,2.8
2022-04-22 02:27:45+00:00,2.8
2022-04-22 02:42:45+00:00,2.8
2022-04-22 02:57:45+00:00,2.8
2022-04-22 03:12:45+00:00,2.8
2022-04-22 03:27:45+00:00,2.8
2022-04-22 03:42:45+00:00,2.8
2022-04-22 03:57:45+00:00,2.8
2022-04-22 04:12:45+00:00,2.8
2022-04-22 04:27:45+00:00,2.8
2022-04-22 04:42:45+00:00,2.8
2022-04-22 04:57:45+00:00,2.8
2022-04-22 05:12:45+00:00,2.8
2022-04-22 05:27:45+00:00,2.8
2022-04-22 05:42:45+00:00,2.8
2022-04-22 05:57:45+00:00,2.8
2022-04-22 06:12:45+00:00,2.8
2022-04-22 06:27:45+00:00,2.8
2022-04-22 06:42:45+00:00,2.8
2022-04-22 06:57:45+00:00,2.8
2022-04-22 07:27:44+00:00,2.8
2022-04-22 07:42:44+00:00,2.8
2022-04-22 07:57:44+00:00,2.8
2022-04-22 08:12:44+00:00,2.8
2022-04-22 08:27:44+00:00,2.8
2022-04-22 08:42:44+00:00,2.8
2022-04-22 08:57:44+00:00,2.8
2022-04-22 09:12:44+00:00,2.8
2022-04-23 00:12:41+00:00,2.8
2022-04-23 00:27:41+00:00,2.8
2022-04-23 00:42:41+00:00,2.8
2022-04-23 00:57:41+00:00,2.8
2022-04-23 01:12:41+00:00,2.8
2022-04-23 01:27:41+00:00,2.8
2022-04-23 01:42:41+00:00,2.8
2022-04-23 01:57:41+00:00,2.8
2022-04-23 02:12:41+00:00,2.8
2022-04-23 02:27:41+00:00,2.8
2022-04-23 02:42:41+00:00,2.8
2022-04-23 02:57:41+00:00,2.8
2022-04-23 03:12:41+00:00,2.8
2022-04-23 03:27:41+00:00,2.8
2022-04-23 03:42:41+00:00,2.8
2022-04-23 03:57:41+00:00,2.8
2022-04-23 04:12:41+00:00,2.8
2022-04-23 04:27:41+00:00,2.8
2022-04-23 04:42:40+00:00,2.8
2022-04-23 04:57:40+00:00,2.8
2022-04-23 05:12:40+00:00,2.8
2022-04-23 05:27:40+00:00,2.8
2022-04-23 05:42:40+00:00,2.8
2022-04-23 05:57:40+00:00,2.8
2022-04-23 06:12:40+00:00,2.8
2022-04-23 06:27:40+00:00,2.8
2022-04-23 06:42:40+00:00,2.8
2022-04-23 06:57:40+00:00,2.8
2022-04-23 07:12:40+00:00,2.8
2022-04-23 07:27:40+00:00,2.8
2022-04-23 07:42:40+00:00,2.8
2022-04-23 07:57:40+00:00,2.8
2022-04-23 08:12:40+00:00,2.8
2022-04-23 08:27:40+00:00,2.8
2022-04-23 08:42:40+00:00,2.8
2022-04-23 08:57:40+00:00,2.8
2022-04-23 09:12:40+00:00,2.8
2022-04-23 09:27:40+00:00,2.8
2022-04-23 09:42:40+00:00,2.8
2022-04-23 09:57:40+00:00,2.8
2022-04-23 10:12:39+00:00,2.8
2022-04-23 10:27:39+00:00,2.8
2022-04-23 10:42:39+00:00,2.8
2022-04-23 10:57:39+00:00,2.8
2022-04-23 11:12:39+00:00,2.8
2022-04-23 11:27:39+00:00,2.8
2022-04-23 11:42:39+00:00,2.8
2022-04-23 11:57:39+00:00,2.8
2022-04-23 12:12:39+00:00,2.8
2022-04-23 12:27:39+00:00,2.8
2022-04-23 12:42:39+00:00,2.8
2022-04-23 12:57:39+00:00,2.8
2022-04-23 13:12:39+00:00,2.8
2022-04-23 13:27:39+00:00,2.8
2022-04-23 13:42:39+00:00,2.8
2022-04-23 13:57:39+00:00,2.8
2022-04-23 14:12:39+00:00,2.8
2022-04-23 14:27:39+00:00,2.8
2022-04-23 14:42:39+00:00,2.8
