ts,value
2022-04-20 00:11:21+00:00,565.69
2022-04-20 00:25:53+00:00,565.69
2022-04-20 00:41:06+00:00,565.69
2022-04-20 00:56:23+00:00,565.7
2022-04-20 01:10:55+00:00,565.7
2022-04-20 01:26:02+00:00,565.7
2022-04-20 01:40:45+00:00,565.71
2022-04-20 01:56:12+00:00,565.71
2022-04-20 02:10:51+00:00,565.71
2022-04-20 02:26:21+00:00,565.72
2022-04-20 02:41:12+00:00,565.73
2022-04-20 02:55:52+00:00,565.73
2022-04-20 03:11:21+00:00,565.74
2022-04-20 03:26:42+00:00,565.77
2022-04-20 03:41:22+00:00,565.79
2022-04-20 03:56:32+00:00,565.8000000000001
2022-04-20 04:11:59+00:00,565.8100000000001
2022-04-20 04:27:08+00:00,565.82
2022-04-20 04:42:27+00:00,565.83
2022-04-20 04:57:41+00:00,565.84
2022-04-20 05:12:31+00:00,565.85
2022-04-20 05:27:41+00:00,565.86
2022-04-20 05:42:45+00:00,565.87
2022-04-20 05:58:05+00:00,565.88
2022-04-20 06:13:26+00:00,565.88
2022-04-20 06:28:01+00:00,565.89
2022-04-20 06:42:39+00:00,565.89
2022-04-20 06:57:11+00:00,565.9
2022-04-20 07:27:37+00:00,565.92
2022-04-20 07:57:16+00:00,565.92
2022-04-20 08:12:03+00:00,565.9300000000001
2022-04-20 08:26:59+00:00,565.9300000000001
2022-04-20 08:41:47+00:00,565.94
2022-04-20 08:56:47+00:00,565.94
2022-04-20 09:11:43+00:00,565.94
2022-04-20 09:42:13+00:00,565.95
2022-04-20 09:57:37+00:00,565.95
2022-04-20 10:12:53+00:00,565.96
2022-04-20 10:27:59+00:00,565.96
2022-04-20 10:42:39+00:00,565.96
2022-04-20 10:57:14+00:00,565.97
2022-04-20 11:11:55+00:00,565.97
2022-04-20 11:41:24+00:00,565.97
2022-04-20 11:56:41+00:00,565.97
2022-04-20 12:26:26+00:00,565.98
2022-04-20 12:41:23+00:00,565.98
2022-04-20 12:56:40+00:00,565.98
2022-04-20 13:11:15+00:00,565.98
2022-04-20 13:25:59+00:00,565.99
2022-04-20 13:40:33+00:00,565.99
