ts,value
2022-04-20 00:13:48+00:00,435.37
2022-04-20 00:28:31+00:00,435.42
2022-04-20 00:43:55+00:00,435.47
2022-04-20 00:59:10+00:00,435.52
2022-04-20 01:14:24+00:00,435.57
2022-04-20 01:29:17+00:00,435.61
2022-04-20 01:44:37+00:00,435.66
2022-04-20 02:15:34+00:00,435.75
2022-04-20 02:30:42+00:00,435.81
2022-04-20 02:46:11+00:00,435.87
2022-04-20 03:00:57+00:00,435.92
2022-04-20 03:16:22+00:00,435.98
2022-04-20 03:31:31+00:00,436.06
2022-04-20 03:46:55+00:00,436.13
2022-04-20 04:01:39+00:00,436.19
2022-04-20 04:17:02+00:00,436.26
2022-04-20 04:32:03+00:00,436.33
2022-04-20 04:47:15+00:00,436.41
2022-04-20 05:02:34+00:00,436.49
2022-04-20 05:17:34+00:00,436.55
2022-04-20 05:32:17+00:00,436.61
2022-04-20 05:46:56+00:00,436.68
2022-04-20 06:02:17+00:00,436.73
2022-04-20 06:17:41+00:00,436.79
2022-04-20 06:32:22+00:00,436.84000000000003
2022-04-20 06:46:57+00:00,436.90000000000003
2022-04-20 07:01:51+00:00,436.95
2022-04-20 07:17:19+00:00,436.99
2022-04-20 07:47:29+00:00,437.05
2022-04-20 08:02:04+00:00,437.07
2022-04-20 08:32:34+00:00,437.12
2022-04-20 08:47:19+00:00,437.15000000000003
2022-04-20 09:02:04+00:00,437.17
2022-04-20 09:17:14+00:00,437.19
2022-04-20 09:32:41+00:00,437.22
2022-04-20 09:47:58+00:00,437.25
2022-04-20 10:02:54+00:00,437.29
2022-04-20 10:18:20+00:00,437.34000000000003
2022-04-20 10:32:56+00:00,437.39
2022-04-20 10:47:47+00:00,437.42
2022-04-20 11:02:32+00:00,437.44
2022-04-20 11:32:01+00:00,437.48
2022-04-20 12:01:53+00:00,437.52
2022-04-20 12:16:36+00:00,437.54
2022-04-20 12:31:30+00:00,437.56
2022-04-20 12:46:06+00:00,437.59000000000003
2022-04-20 13:01:34+00:00,437.61
2022-04-20 13:16:44+00:00,437.63
2022-04-20 13:31:46+00:00,437.65000000000003
2022-04-20 13:46:41+00:00,437.67
2022-04-20 14:02:01+00:00,437.69
2022-04-20 14:16:35+00:00,437.71000000000004
2022-04-20 14:31:15+00:00,437.73
2022-04-20 14:46:07+00:00,437.74
2022-04-20 15:01:01+00:00,437.76
2022-04-20 15:15:47+00:00,437.76
2022-04-20 15:30:41+00:00,437.77
