ts,value
2020-10-05 00:00:00+00:00,1699.921343209
2020-10-05 00:15:00+00:00,1699.941045214
2020-10-05 00:30:00+00:00,1699.966290668
2020-10-05 00:45:00+00:00,1699.9903296100001
2020-10-05 01:00:00+00:00,1700.0098109192002
2020-10-05 01:15:00+00:00,1700.032971006
2020-10-05 01:30:00+00:00,1700.062665244
2020-10-05 01:45:00+00:00,1700.0921718260001
2020-10-05 02:00:00+00:00,1700.1207552425
2020-10-05 02:15:00+00:00,1700.1422937989
2020-10-05 02:30:00+00:00,1700.1618217344
2020-10-05 02:45:00+00:00,1700.1842750375001
2020-10-05 03:00:00+00:00,1700.2109856856
2020-10-05 03:15:00+00:00,1700.2303967049002
2020-10-05 03:30:00+00:00,1700.2510189096001
2020-10-05 03:45:00+00:00,1700.2806966966
2020-10-05 04:00:00+00:00,1700.3101571913
2020-10-05 04:15:00+00:00,1700.3389545992
2020-10-05 04:30:00+00:00,1700.3621773283
2020-10-05 04:45:00+00:00,1700.381666366
2020-10-05 05:00:00+00:00,1700.40235708
2020-10-05 05:15:00+00:00,1700.4301326214002
2020-10-05 05:30:00+00:00,1700.4493985664
2020-10-05 05:45:00+00:00,1700.4712389625001
2020-10-05 06:00:00+00:00,1700.4990991045001
2020-10-05 06:15:00+00:00,1700.527778844
2020-10-05 06:30:00+00:00,1700.5561857936
2020-10-05 06:45:00+00:00,1700.5809471458
2020-10-05 07:00:00+00:00,1700.5997435612
2020-10-05 07:15:00+00:00,1700.6186769208
2020-10-05 07:30:00+00:00,1700.6451341264
2020-10-05 07:45:00+00:00,1700.6665090655001
2020-10-05 08:00:00+00:00,1700.6853086266
2020-10-05 08:15:00+00:00,1700.710670982
2020-10-05 08:30:00+00:00,1700.7397752992001
2020-10-05 08:45:00+00:00,1700.7685800501001
2020-10-05 09:00:00+00:00,1700.7958463015
2020-10-05 09:15:00+00:00,1700.8147254475
2020-10-05 09:30:00+00:00,1700.8337000592
2020-10-05 09:45:00+00:00,1700.8575079707
2020-10-05 10:00:00+00:00,1700.8812645941
2020-10-05 10:15:00+00:00,1700.9000619417
2020-10-05 10:30:00+00:00,1700.9224840957002
2020-10-05 10:45:00+00:00,1700.951185368
2020-10-05 11:00:00+00:00,1700.9797009396
2020-10-05 11:15:00+00:00,1701.0074056273002
2020-10-05 11:30:00+00:00,1701.028011262
2020-10-05 11:45:00+00:00,1701.0469984793
2020-10-05 12:00:00+00:00,1701.0697518545
2020-10-05 12:15:00+00:00,1701.09486634
2020-10-05 12:30:00+00:00,1701.114015092
2020-10-05 12:45:00+00:00,1701.1335679307
2020-10-05 13:00:00+00:00,1701.1627425843
2020-10-05 13:15:00+00:00,1701.1916962053
2020-10-05 13:30:00+00:00,1701.2202026483
2020-10-05 13:45:00+00:00,1701.2438101104
2020-10-05 14:00:00+00:00,1701.2622131867001
2020-10-05 14:15:00+00:00,1701.2804846718
2020-10-05 14:30:00+00:00,1701.3067340300001
2020-10-05 14:45:00+00:00,1701.3270397168
2020-10-05 15:00:00+00:00,1701.3453451392002
2020-10-05 15:15:00+00:00,1701.371515406
2020-10-05 15:30:00+00:00,1701.3999111965002
2020-10-05 15:45:00+00:00,1701.4280774146
2020-10-05 16:00:00+00:00,1701.4531896689
2020-10-05 16:15:00+00:00,1701.4714734475
2020-10-05 16:30:00+00:00,1701.4897865438002
2020-10-05 16:45:00+00:00,1701.5178980536
2020-10-05 17:00:00+00:00,1701.5397075321
2020-10-05 17:15:00+00:00,1701.557791544
2020-10-05 17:30:00+00:00,1701.5818086681002
2020-10-05 17:45:00+00:00,1701.6107455211002
2020-10-05 18:00:00+00:00,1701.6395740540001
2020-10-05 18:15:00+00:00,1701.6672458881
2020-10-05 18:30:00+00:00,1701.6862804541001
2020-10-05 18:45:00+00:00,1701.7052065104
2020-10-05 19:00:00+00:00,1701.7294374888002
2020-10-05 19:15:00+00:00,1701.7524148323
2020-10-05 19:30:00+00:00,1701.7712249267001
2020-10-05 19:45:00+00:00,1701.7915267079002
2020-10-05 20:00:00+00:00,1701.820572506
2020-10-05 20:15:00+00:00,1701.8494684633001
2020-10-05 20:30:00+00:00,1701.8777224140001
2020-10-05 20:45:00+00:00,1701.9005121928
2020-10-05 21:00:00+00:00,1701.9196402939
2020-10-05 21:15:00+00:00,1701.9397435601002
2020-10-05 21:30:00+00:00,1701.9672237433
2020-10-05 21:45:00+00:00,1701.986295009
2020-10-05 22:00:00+00:00,1702.0052205270001
2020-10-05 22:15:00+00:00,1702.03308479
2020-10-05 22:30:00+00:00,1702.0621194582
2020-10-05 22:45:00+00:00,1702.0907718164
2020-10-05 23:00:00+00:00,1702.1163235124
2020-10-05 23:15:00+00:00,1702.1354420788
2020-10-05 23:30:00+00:00,1702.1545052455
2020-10-05 23:45:00+00:00,1702.1794967057
2020-10-06 00:00:00+00:00,1702.202227515
2020-10-06 00:15:00+00:00,1702.2211122264
2020-10-06 00:30:00+00:00,1702.2457399748
2020-10-06 00:45:00+00:00,1702.2747615806002
2020-10-06 01:00:00+00:00,1702.30372268
2020-10-06 01:15:00+00:00,1702.3313732182
2020-10-06 01:30:00+00:00,1702.3507731865
2020-10-06 01:45:00+00:00,1702.3698928177
2020-10-06 02:00:00+00:00,1702.3931347195
2020-10-06 02:15:00+00:00,1702.4175598020001
2020-10-06 02:30:00+00:00,1702.4365038348
2020-10-06 02:45:00+00:00,1702.4572319975
2020-10-06 03:00:00+00:00,1702.48630376
2020-10-06 03:15:00+00:00,1702.5151558768
2020-10-06 03:30:00+00:00,1702.5432997704002
2020-10-06 03:45:00+00:00,1702.565520377
2020-10-06 04:00:00+00:00,1702.5845097461001
2020-10-06 04:15:00+00:00,1702.6045974987
2020-10-06 04:30:00+00:00,1702.6319273371
2020-10-06 04:45:00+00:00,1702.6508330384002
2020-10-06 05:00:00+00:00,1702.6695703950002
2020-10-06 05:15:00+00:00,1702.6957924651
2020-10-06 05:30:00+00:00,1702.7242452908001
2020-10-06 05:45:00+00:00,1702.7557081243
2020-10-06 06:00:00+00:00,1702.7815510832002
2020-10-06 06:15:00+00:00,1702.801602838
2020-10-06 06:30:00+00:00,1702.8215942704
2020-10-06 06:45:00+00:00,1702.8484121430001
2020-10-06 07:00:00+00:00,1702.871338757
2020-10-06 07:15:00+00:00,1702.8908101670002
2020-10-06 07:30:00+00:00,1702.9129997459002
2020-10-06 07:45:00+00:00,1702.9416503285001
2020-10-06 08:00:00+00:00,1702.9700283658
2020-10-06 08:15:00+00:00,1702.9975225367
2020-10-06 08:30:00+00:00,1703.017791196
2020-10-06 08:45:00+00:00,1703.0362707196
2020-10-06 09:00:00+00:00,1703.058153504
2020-10-06 09:15:00+00:00,1703.0827405891
2020-10-06 09:30:00+00:00,1703.101265685
2020-10-06 09:45:00+00:00,1703.1196715372
2020-10-06 10:00:00+00:00,1703.1481232464
2020-10-06 10:15:00+00:00,1703.1762946438
2020-10-06 10:30:00+00:00,1703.2040590721
2020-10-06 10:45:00+00:00,1703.227357379
2020-10-06 11:00:00+00:00,1703.2458867767
2020-10-06 11:15:00+00:00,1703.2658394931
2020-10-06 11:30:00+00:00,1703.296571828
2020-10-06 11:45:00+00:00,1703.3205699452
2020-10-06 12:00:00+00:00,1703.3428586353
2020-10-06 12:15:00+00:00,1703.3686651418
2020-10-06 12:30:00+00:00,1703.3971989045
2020-10-06 12:45:00+00:00,1703.4256787237
2020-10-06 13:00:00+00:00,1703.4520491213
2020-10-06 13:15:00+00:00,1703.4705936981002
2020-10-06 13:30:00+00:00,1703.4890488005
2020-10-06 13:45:00+00:00,1703.5127001272
2020-10-06 14:00:00+00:00,1703.535078689
2020-10-06 14:15:00+00:00,1703.5533843751
2020-10-06 14:30:00+00:00,1703.57453966
2020-10-06 14:45:00+00:00,1703.602893598
2020-10-06 15:00:00+00:00,1703.6311773028
2020-10-06 15:15:00+00:00,1703.6584894982
2020-10-06 15:30:00+00:00,1703.6788769255002
2020-10-06 15:45:00+00:00,1703.6970968016
2020-10-06 16:00:00+00:00,1703.7181269294001
2020-10-06 16:15:00+00:00,1703.7432394988
2020-10-06 16:30:00+00:00,1703.7614937543
2020-10-06 16:45:00+00:00,1703.78277584
2020-10-06 17:00:00+00:00,1703.8103021925
2020-10-06 17:15:00+00:00,1703.8386297805
2020-10-06 17:30:00+00:00,1703.8666978634
2020-10-06 17:45:00+00:00,1703.8908798657
2020-10-06 18:00:00+00:00,1703.909703281
2020-10-06 18:15:00+00:00,1703.9285805166
2020-10-06 18:30:00+00:00,1703.9547944964002
2020-10-06 18:45:00+00:00,1703.975453275
