ts,value
2019-01-01 06:00:00+00:00,16.519
2019-01-01 07:00:00+00:00,12.392
2019-01-01 08:00:00+00:00,6.202
2019-01-01 09:00:00+00:00,21.684
2019-01-01 10:00:00+00:00,12.392
2019-01-01 11:00:00+00:00,10.329
2019-01-01 12:00:00+00:00,13.43
2019-01-01 13:00:00+00:00,15.493
2019-01-01 14:00:00+00:00,6.202
2019-01-01 15:00:00+00:00,13.43
2019-01-01 16:00:00+00:00,18.594
2019-01-01 17:00:00+00:00,13.43
2019-01-01 18:00:00+00:00,10.329
2019-01-01 19:00:00+00:00,12.392
2019-01-01 20:00:00+00:00,12.392
2019-01-01 21:00:00+00:00,10.329
2019-01-01 22:00:00+00:00,12.392
2019-01-01 23:00:00+00:00,17.557
2019-01-02 00:00:00+00:00,13.43
2019-01-02 01:00:00+00:00,13.43
2019-01-02 02:00:00+00:00,15.493
2019-01-02 03:00:00+00:00,7.228
2019-01-02 04:00:00+00:00,12.392
2019-01-02 05:00:00+00:00,318.096
2019-01-02 06:00:00+00:00,642.382
2019-01-02 07:00:00+00:00,337.716
2019-01-02 08:00:00+00:00,259.224
2019-01-02 09:00:00+00:00,287.11
2019-01-02 10:00:00+00:00,274.717
2019-01-02 11:00:00+00:00,344.944
2019-01-02 12:00:00+00:00,321.186
2019-01-02 13:00:00+00:00,319.122
2019-01-02 14:00:00+00:00,339.78
2019-01-02 15:00:00+00:00,391.424
2019-01-02 16:00:00+00:00,356.31
2019-01-02 17:00:00+00:00,248.895
2019-01-02 18:00:00+00:00,275.755
2019-01-02 19:00:00+00:00,282.982
2019-01-02 20:00:00+00:00,264.388
2019-01-02 21:00:00+00:00,267.489
2019-01-02 22:00:00+00:00,290.21
2019-01-02 23:00:00+00:00,299.502
2019-01-03 00:00:00+00:00,281.945
2019-01-03 01:00:00+00:00,265.426
2019-01-03 02:00:00+00:00,294.337
2019-01-03 03:00:00+00:00,266.452
2019-01-03 04:00:00+00:00,292.274
2019-01-03 05:00:00+00:00,268.515
2019-01-03 06:00:00+00:00,255.097
2019-01-03 07:00:00+00:00,277.818
2019-01-03 08:00:00+00:00,384.185
2019-01-03 09:00:00+00:00,397.614
2019-01-03 10:00:00+00:00,371.792
2019-01-03 11:00:00+00:00,391.424
2019-01-03 12:00:00+00:00,200.352
2019-01-03 13:00:00+00:00,11.355
2019-01-03 14:00:00+00:00,732.23
2019-01-03 15:00:00+00:00,585.585
2019-01-03 16:00:00+00:00,381.095
2019-01-03 17:00:00+00:00,266.452
2019-01-03 18:00:00+00:00,288.147
2019-01-03 19:00:00+00:00,281.945
2019-01-03 20:00:00+00:00,308.793
2019-01-03 21:00:00+00:00,269.553
2019-01-03 22:00:00+00:00,318.096
2019-01-03 23:00:00+00:00,300.539
2019-01-04 00:00:00+00:00,261.287
2019-01-04 01:00:00+00:00,290.21
2019-01-04 02:00:00+00:00,297.438
2019-01-04 03:00:00+00:00,295.375
2019-01-04 04:00:00+00:00,288.147
2019-01-04 05:00:00+00:00,266.452
2019-01-04 06:00:00+00:00,292.274
2019-01-04 07:00:00+00:00,289.173
2019-01-04 08:00:00+00:00,223.073
2019-01-04 09:00:00+00:00,250.959
2019-01-04 10:00:00+00:00,289.173
2019-01-04 11:00:00+00:00,162.149
2019-01-04 12:00:00+00:00,12.392
2019-01-04 13:00:00+00:00,528.777
2019-01-04 14:00:00+00:00,348.045
2019-01-04 15:00:00+00:00,291.237
2019-01-04 16:00:00+00:00,272.654
2019-01-04 17:00:00+00:00,284.009
2019-01-04 18:00:00+00:00,285.046
2019-01-04 19:00:00+00:00,278.844
2019-01-04 20:00:00+00:00,284.009
2019-01-04 21:00:00+00:00,243.731
2019-01-04 22:00:00+00:00,312.932
2019-01-04 23:00:00+00:00,285.046
2019-01-05 00:00:00+00:00,271.616
2019-01-05 01:00:00+00:00,298.476
2019-01-05 02:00:00+00:00,280.908
2019-01-05 03:00:00+00:00,277.818
2019-01-05 04:00:00+00:00,268.515
2019-01-05 05:00:00+00:00,272.654
2019-01-05 06:00:00+00:00,291.237
2019-01-05 07:00:00+00:00,275.755
2019-01-05 08:00:00+00:00,260.261
2019-01-05 09:00:00+00:00,290.21
2019-01-05 10:00:00+00:00,307.767
2019-01-05 11:00:00+00:00,276.781
2019-01-05 12:00:00+00:00,285.046
2019-01-05 13:00:00+00:00,261.287
2019-01-05 14:00:00+00:00,264.388
2019-01-05 15:00:00+00:00,258.198
2019-01-05 16:00:00+00:00,256.123
2019-01-05 17:00:00+00:00,282.982
2019-01-05 18:00:00+00:00,30.986
2019-01-05 19:00:00+00:00,414.145
2019-01-05 20:00:00+00:00,574.219
2019-01-05 21:00:00+00:00,435.829
2019-01-05 22:00:00+00:00,345.982
2019-01-05 23:00:00+00:00,333.589
2019-01-06 00:00:00+00:00,353.209
2019-01-06 01:00:00+00:00,338.754
2019-01-06 02:00:00+00:00,299.502
2019-01-06 03:00:00+00:00,342.881
2019-01-06 04:00:00+00:00,324.286
2019-01-06 05:00:00+00:00,377.994
2019-01-06 06:00:00+00:00,421.373
2019-01-06 07:00:00+00:00,345.982
2019-01-06 08:00:00+00:00,359.4
2019-01-06 09:00:00+00:00,369.729
2019-01-06 10:00:00+00:00,408.981
2019-01-06 11:00:00+00:00,288.147
2019-01-06 12:00:00+00:00,271.616
2019-01-06 13:00:00+00:00,285.046
2019-01-06 14:00:00+00:00,292.274
2019-01-06 15:00:00+00:00,265.426
2019-01-06 16:00:00+00:00,271.616
2019-01-06 17:00:00+00:00,264.388
2019-01-06 18:00:00+00:00,276.781
2019-01-06 19:00:00+00:00,280.908
2019-01-06 20:00:00+00:00,271.616
2019-01-06 21:00:00+00:00,262.325
2019-01-06 22:00:00+00:00,272.654
2019-01-06 23:00:00+00:00,279.882
2019-01-07 00:00:00+00:00,274.717
2019-01-07 01:00:00+00:00,275.755
2019-01-07 02:00:00+00:00,244.768
2019-01-07 03:00:00+00:00,253.033
2019-01-07 04:00:00+00:00,227.211
2019-01-07 05:00:00+00:00,8.265
2019-01-07 06:00:00+00:00,538.068
2019-01-07 07:00:00+00:00,398.652
2019-01-07 08:00:00+00:00,313.958
2019-01-07 09:00:00+00:00,339.78
2019-01-07 10:00:00+00:00,356.31
2019-01-07 11:00:00+00:00,339.78
2019-01-07 12:00:00+00:00,337.716
2019-01-07 13:00:00+00:00,27.886
2019-01-07 14:00:00+00:00,731.203
2019-01-07 15:00:00+00:00,307.767
2019-01-07 16:00:00+00:00,261.287
2019-01-07 17:00:00+00:00,265.426
2019-01-07 18:00:00+00:00,264.388
2019-01-07 19:00:00+00:00,274.717
2019-01-07 20:00:00+00:00,259.224
2019-01-07 21:00:00+00:00,254.06
2019-01-07 22:00:00+00:00,293.311
2019-01-07 23:00:00+00:00,280.908
2019-01-08 00:00:00+00:00,250.959
2019-01-08 01:00:00+00:00,288.147
2019-01-08 02:00:00+00:00,245.794
2019-01-08 03:00:00+00:00,277.818
2019-01-08 04:00:00+00:00,257.16
2019-01-08 05:00:00+00:00,260.261
2019-01-08 06:00:00+00:00,323.26
2019-01-08 07:00:00+00:00,295.375
2019-01-08 08:00:00+00:00,354.236
2019-01-08 09:00:00+00:00,365.602
2019-01-08 10:00:00+00:00,347.008
2019-01-08 11:00:00+00:00,403.816
2019-01-08 12:00:00+00:00,214.819
2019-01-08 13:00:00+00:00,44.405
2019-01-08 14:00:00+00:00,629.99
2019-01-08 15:00:00+00:00,328.425
2019-01-08 16:00:00+00:00,269.553
2019-01-08 17:00:00+00:00,326.35
2019-01-08 18:00:00+00:00,296.401
2019-01-08 19:00:00+00:00,272.654
2019-01-08 20:00:00+00:00,295.375
2019-01-08 21:00:00+00:00,270.59
2019-01-08 22:00:00+00:00,299.502
2019-01-08 23:00:00+00:00,290.21
2019-01-09 00:00:00+00:00,305.704
2019-01-09 01:00:00+00:00,276.781
2019-01-09 02:00:00+00:00,261.287
2019-01-09 03:00:00+00:00,269.553
2019-01-09 04:00:00+00:00,284.009
2019-01-09 05:00:00+00:00,253.033
2019-01-09 06:00:00+00:00,365.602
2019-01-09 07:00:00+00:00,248.895
2019-01-09 08:00:00+00:00,339.78
2019-01-09 09:00:00+00:00,384.185
2019-01-09 10:00:00+00:00,466.815
2019-01-09 11:00:00+00:00,475.069
2019-01-09 12:00:00+00:00,251.996
2019-01-09 13:00:00+00:00,7.228
2019-01-09 14:00:00+00:00,381.095
2019-01-09 15:00:00+00:00,648.584
2019-01-09 16:00:00+00:00,342.881
2019-01-09 17:00:00+00:00,280.908
2019-01-09 18:00:00+00:00,316.032
2019-01-09 19:00:00+00:00,302.603
2019-01-09 20:00:00+00:00,280.908
2019-01-09 21:00:00+00:00,268.515
2019-01-09 22:00:00+00:00,301.565
2019-01-09 23:00:00+00:00,285.046
2019-01-10 00:00:00+00:00,264.388
2019-01-10 01:00:00+00:00,215.845
2019-01-10 02:00:00+00:00,284.009
2019-01-10 03:00:00+00:00,271.616
2019-01-10 04:00:00+00:00,257.16
2019-01-10 05:00:00+00:00,282.982
2019-01-10 06:00:00+00:00,343.907
2019-01-10 07:00:00+00:00,341.843
2019-01-10 08:00:00+00:00,333.589
2019-01-10 09:00:00+00:00,290.21
2019-01-10 10:00:00+00:00,355.273
2019-01-10 11:00:00+00:00,371.792
2019-01-10 12:00:00+00:00,318.096
2019-01-10 13:00:00+00:00,22.721
2019-01-10 14:00:00+00:00,495.727
2019-01-10 15:00:00+00:00,422.399
2019-01-10 16:00:00+00:00,348.045
2019-01-10 17:00:00+00:00,275.755
2019-01-10 18:00:00+00:00,263.351
2019-01-10 19:00:00+00:00,235.477
2019-01-10 20:00:00+00:00,261.287
2019-01-10 21:00:00+00:00,266.452
2019-01-10 22:00:00+00:00,313.958
2019-01-10 23:00:00+00:00,266.452
2019-01-11 00:00:00+00:00,227.211
2019-01-11 01:00:00+00:00,293.311
2019-01-11 02:00:00+00:00,254.06
2019-01-11 03:00:00+00:00,270.59
2019-01-11 04:00:00+00:00,291.237
2019-01-11 05:00:00+00:00,262.325
2019-01-11 06:00:00+00:00,274.717
2019-01-11 07:00:00+00:00,269.553
2019-01-11 08:00:00+00:00,284.009
2019-01-11 09:00:00+00:00,273.68
2019-01-11 10:00:00+00:00,299.502
2019-01-11 11:00:00+00:00,263.351
2019-01-11 12:00:00+00:00,194.161
2019-01-11 13:00:00+00:00,26.848
2019-01-11 14:00:00+00:00,773.545
2019-01-11 15:00:00+00:00,430.664
2019-01-11 16:00:00+00:00,304.666
2019-01-11 17:00:00+00:00,287.11
2019-01-11 18:00:00+00:00,119.796
2019-01-11 19:00:00+00:00,293.311
2019-01-11 20:00:00+00:00,367.665
2019-01-11 21:00:00+00:00,298.476
2019-01-11 22:00:00+00:00,169.377
2019-01-11 23:00:00+00:00,198.288
2019-01-12 00:00:00+00:00,147.682
2019-01-12 01:00:00+00:00,327.387
2019-01-12 02:00:00+00:00,316.032
2019-01-12 03:00:00+00:00,267.489
2019-01-12 04:00:00+00:00,393.487
2019-01-12 05:00:00+00:00,327.387
2019-01-12 06:00:00+00:00,313.958
2019-01-12 07:00:00+00:00,411.044
2019-01-12 08:00:00+00:00,289.173
2019-01-12 09:00:00+00:00,383.158
2019-01-12 10:00:00+00:00,348.045
2019-01-12 11:00:00+00:00,344.944
2019-01-12 12:00:00+00:00,371.792
2019-01-12 13:00:00+00:00,332.552
2019-01-12 14:00:00+00:00,364.564
2019-01-12 15:00:00+00:00,345.982
2019-01-12 16:00:00+00:00,288.147
2019-01-12 17:00:00+00:00,292.274
2019-01-12 18:00:00+00:00,22.721
2019-01-12 19:00:00+00:00,597.978
2019-01-12 20:00:00+00:00,343.907
2019-01-12 21:00:00+00:00,371.792
2019-01-12 22:00:00+00:00,357.336
2019-01-12 23:00:00+00:00,326.35
2019-01-13 00:00:00+00:00,277.818
2019-01-13 01:00:00+00:00,322.223
2019-01-13 02:00:00+00:00,384.185
2019-01-13 03:00:00+00:00,391.424
2019-01-13 04:00:00+00:00,341.843
2019-01-13 05:00:00+00:00,363.538
2019-01-13 06:00:00+00:00,365.602
2019-01-13 07:00:00+00:00,427.563
2019-01-13 08:00:00+00:00,308.793
2019-01-13 09:00:00+00:00,388.323
2019-01-13 10:00:00+00:00,322.223
2019-01-13 11:00:00+00:00,370.766
2019-01-13 12:00:00+00:00,366.628
2019-01-13 13:00:00+00:00,457.512
2019-01-13 14:00:00+00:00,387.285
2019-01-13 15:00:00+00:00,417.235
2019-01-13 16:00:00+00:00,278.844
2019-01-13 17:00:00+00:00,353.209
2019-01-13 18:00:00+00:00,232.376
2019-01-13 19:00:00+00:00,306.73
2019-01-13 20:00:00+00:00,302.603
2019-01-13 21:00:00+00:00,289.173
2019-01-13 22:00:00+00:00,300.539
2019-01-13 23:00:00+00:00,293.311
2019-01-14 00:00:00+00:00,303.629
2019-01-14 01:00:00+00:00,325.324
2019-01-14 02:00:00+00:00,571.118
2019-01-14 03:00:00+00:00,226.174
2019-01-14 04:00:00+00:00,13.43
2019-01-14 05:00:00+00:00,89.847
2019-01-14 06:00:00+00:00,349.071
2019-01-14 07:00:00+00:00,354.236
2019-01-14 08:00:00+00:00,286.072
2019-01-14 09:00:00+00:00,304.666
2019-01-14 10:00:00+00:00,282.982
2019-01-14 11:00:00+00:00,363.538
2019-01-14 12:00:00+00:00,330.488
2019-01-14 13:00:00+00:00,22.721
2019-01-14 14:00:00+00:00,547.371
2019-01-14 15:00:00+00:00,406.906
2019-01-14 16:00:00+00:00,393.487
2019-01-14 17:00:00+00:00,310.868
2019-01-14 18:00:00+00:00,331.514
2019-01-14 19:00:00+00:00,356.31
2019-01-14 20:00:00+00:00,336.679
2019-01-14 21:00:00+00:00,328.425
2019-01-14 22:00:00+00:00,363.538
2019-01-14 23:00:00+00:00,326.35
2019-01-15 00:00:00+00:00,339.78
2019-01-15 01:00:00+00:00,287.11
2019-01-15 02:00:00+00:00,314.995
2019-01-15 03:00:00+00:00,302.603
2019-01-15 04:00:00+00:00,311.894
2019-01-15 05:00:00+00:00,274.717
2019-01-15 06:00:00+00:00,355.273
2019-01-15 07:00:00+00:00,322.223
2019-01-15 08:00:00+00:00,240.63
2019-01-15 09:00:00+00:00,327.387
2019-01-15 10:00:00+00:00,34.076
2019-01-15 11:00:00+00:00,12.392
2019-01-15 12:00:00+00:00,16.519
2019-01-15 13:00:00+00:00,11.355
2019-01-15 14:00:00+00:00,17.557
2019-01-15 15:00:00+00:00,6.202
2019-01-15 16:00:00+00:00,15.493
2019-01-15 17:00:00+00:00,12.392
2019-01-15 18:00:00+00:00,14.456
2019-01-15 19:00:00+00:00,13.43
2019-01-15 20:00:00+00:00,17.557
2019-01-15 21:00:00+00:00,6.202
2019-01-15 22:00:00+00:00,12.392
2019-01-15 23:00:00+00:00,15.493
2019-01-16 00:00:00+00:00,12.392
2019-01-16 01:00:00+00:00,15.493
2019-01-16 02:00:00+00:00,12.392
2019-01-16 03:00:00+00:00,12.392
2019-01-16 04:00:00+00:00,11.355
2019-01-16 05:00:00+00:00,16.519
2019-01-16 06:00:00+00:00,6.202
2019-01-16 07:00:00+00:00,0.0
2019-01-16 08:00:00+00:00,0.0
2019-01-16 09:00:00+00:00,0.0
2019-01-16 10:00:00+00:00,0.0
2019-01-16 11:00:00+00:00,0.0
2019-01-16 12:00:00+00:00,0.0
2019-01-16 13:00:00+00:00,0.0
2019-01-16 14:00:00+00:00,0.0
2019-01-16 15:00:00+00:00,0.0
2019-01-16 16:00:00+00:00,0.0
2019-01-16 17:00:00+00:00,0.0
2019-01-16 18:00:00+00:00,0.0
2019-01-16 19:00:00+00:00,0.0
2019-01-16 20:00:00+00:00,0.0
2019-01-16 21:00:00+00:00,0.0
2019-01-16 22:00:00+00:00,0.0
2019-01-16 23:00:00+00:00,0.0
2019-01-17 00:00:00+00:00,0.0
2019-01-17 01:00:00+00:00,0.0
2019-01-17 02:00:00+00:00,0.0
2019-01-17 03:00:00+00:00,0.0
2019-01-17 04:00:00+00:00,0.0
2019-01-17 05:00:00+00:00,0.0
2019-01-17 06:00:00+00:00,0.0
2019-01-17 07:00:00+00:00,0.0
2019-01-17 08:00:00+00:00,0.0
2019-01-17 09:00:00+00:00,0.0
2019-01-17 10:00:00+00:00,0.0
2019-01-17 11:00:00+00:00,0.0
2019-01-17 12:00:00+00:00,0.0
2019-01-17 13:00:00+00:00,0.0
2019-01-17 14:00:00+00:00,0.0
2019-01-17 15:00:00+00:00,0.0
2019-01-17 16:00:00+00:00,0.0
2019-01-17 17:00:00+00:00,0.0
2019-01-17 18:00:00+00:00,0.0
2019-01-17 19:00:00+00:00,0.0
2019-01-17 20:00:00+00:00,0.0
2019-01-17 21:00:00+00:00,0.0
2019-01-17 22:00:00+00:00,0.0
2019-01-17 23:00:00+00:00,0.0
2019-01-18 00:00:00+00:00,0.0
2019-01-18 01:00:00+00:00,0.0
2019-01-18 02:00:00+00:00,0.0
2019-01-18 03:00:00+00:00,0.0
2019-01-18 04:00:00+00:00,0.0
2019-01-18 05:00:00+00:00,0.0
2019-01-18 06:00:00+00:00,0.0
