ts,value
2020-01-01 06:00:00+00:00,299.015
2020-01-01 07:00:00+00:00,318.254
2020-01-01 08:00:00+00:00,299.321
2020-01-01 09:00:00+00:00,315.319
2020-01-01 10:00:00+00:00,300.554
2020-01-01 11:00:00+00:00,383.776
2020-01-01 12:00:00+00:00,294.552
2020-01-01 13:00:00+00:00,293.92
2020-01-01 14:00:00+00:00,310.296
2020-01-01 15:00:00+00:00,314.362
2020-01-01 16:00:00+00:00,294.46
2020-01-01 17:00:00+00:00,313.607
2020-01-01 18:00:00+00:00,296.855
2020-01-01 19:00:00+00:00,311.753
2020-01-01 20:00:00+00:00,298.17
2020-01-01 21:00:00+00:00,382.359
2020-01-01 22:00:00+00:00,275.028
2020-01-01 23:00:00+00:00,276.241
2020-01-02 00:00:00+00:00,293.156
2020-01-02 01:00:00+00:00,276.251
2020-01-02 02:00:00+00:00,293.187
2020-01-02 03:00:00+00:00,278.381
2020-01-02 04:00:00+00:00,374.075
2020-01-02 05:00:00+00:00,403.575
2020-01-02 06:00:00+00:00,1308.793
2020-01-02 07:00:00+00:00,610.116
2020-01-02 08:00:00+00:00,599.936
2020-01-02 09:00:00+00:00,781.41
2020-01-02 10:00:00+00:00,813.131
2020-01-02 11:00:00+00:00,805.071
2020-01-02 12:00:00+00:00,776.712
2020-01-02 13:00:00+00:00,1220.008
2020-01-02 14:00:00+00:00,1222.097
2020-01-02 15:00:00+00:00,1195.96
2020-01-02 16:00:00+00:00,890.494
2020-01-02 17:00:00+00:00,1257.171
2020-01-02 18:00:00+00:00,1200.382
2020-01-02 19:00:00+00:00,1191.608
2020-01-02 20:00:00+00:00,1192.943
2020-01-02 21:00:00+00:00,1057.946
2020-01-02 22:00:00+00:00,1165.186
2020-01-02 23:00:00+00:00,1176.12
2020-01-03 00:00:00+00:00,1166.276
2020-01-03 01:00:00+00:00,1173.582
2020-01-03 02:00:00+00:00,1147.72
2020-01-03 03:00:00+00:00,1162.404
2020-01-03 04:00:00+00:00,1165.96
2020-01-03 05:00:00+00:00,1003.379
2020-01-03 06:00:00+00:00,1055.959
2020-01-03 07:00:00+00:00,1234.243
2020-01-03 08:00:00+00:00,1103.383
2020-01-03 09:00:00+00:00,971.331
2020-01-03 10:00:00+00:00,1126.943
2020-01-03 11:00:00+00:00,1145.621
2020-01-03 12:00:00+00:00,798.55
2020-01-03 13:00:00+00:00,505.016
2020-01-03 14:00:00+00:00,924.743
2020-01-03 15:00:00+00:00,1228.241
2020-01-03 16:00:00+00:00,1165.125
2020-01-03 17:00:00+00:00,713.382
2020-01-03 18:00:00+00:00,1245.187
2020-01-03 19:00:00+00:00,1193.871
2020-01-03 20:00:00+00:00,1175.182
2020-01-03 21:00:00+00:00,945.571
2020-01-03 22:00:00+00:00,1074.026
2020-01-03 23:00:00+00:00,1197.947
2020-01-04 00:00:00+00:00,1188.623
2020-01-04 01:00:00+00:00,1189.061
2020-01-04 02:00:00+00:00,1145.55
2020-01-04 03:00:00+00:00,1170.902
2020-01-04 04:00:00+00:00,767.49
2020-01-04 05:00:00+00:00,718.66
2020-01-04 06:00:00+00:00,1064.59
2020-01-04 07:00:00+00:00,1048.806
2020-01-04 08:00:00+00:00,1048.775
2020-01-04 09:00:00+00:00,1028.609
2020-01-04 10:00:00+00:00,748.201
2020-01-04 11:00:00+00:00,1057.987
2020-01-04 12:00:00+00:00,592.324
2020-01-04 13:00:00+00:00,457.042
2020-01-04 14:00:00+00:00,776.305
2020-01-04 15:00:00+00:00,1019.744
2020-01-04 16:00:00+00:00,1045.626
2020-01-04 17:00:00+00:00,1238.462
2020-01-04 18:00:00+00:00,949.779
2020-01-04 19:00:00+00:00,1085.826
2020-01-04 20:00:00+00:00,889.444
2020-01-04 21:00:00+00:00,1051.129
2020-01-04 22:00:00+00:00,1021.986
2020-01-04 23:00:00+00:00,1197.559
2020-01-05 00:00:00+00:00,1171.972
2020-01-05 01:00:00+00:00,1146.599
2020-01-05 02:00:00+00:00,1143.165
2020-01-05 03:00:00+00:00,1109.925
2020-01-05 04:00:00+00:00,1196.194
2020-01-05 05:00:00+00:00,773.533
2020-01-05 06:00:00+00:00,1258.475
2020-01-05 07:00:00+00:00,1231.563
2020-01-05 08:00:00+00:00,1187.93
2020-01-05 09:00:00+00:00,1187.492
2020-01-05 10:00:00+00:00,851.874
2020-01-05 11:00:00+00:00,1206.129
2020-01-05 12:00:00+00:00,669.697
2020-01-05 13:00:00+00:00,507.798
2020-01-05 14:00:00+00:00,1163.321
2020-01-05 15:00:00+00:00,1234.111
2020-01-05 16:00:00+00:00,1192.067
2020-01-05 17:00:00+00:00,1186.524
2020-01-05 18:00:00+00:00,1087.783
2020-01-05 19:00:00+00:00,1181.969
2020-01-05 20:00:00+00:00,1087.263
2020-01-05 21:00:00+00:00,951.593
2020-01-05 22:00:00+00:00,1217.43
2020-01-05 23:00:00+00:00,1212.987
2020-01-06 00:00:00+00:00,1263.886
