ts,value
2020-10-05 00:00:00+00:00,279.64125577010003
2020-10-05 00:15:00+00:00,279.64179861720004
2020-10-05 00:30:00+00:00,279.6422111565
2020-10-05 00:45:00+00:00,279.64272346760004
2020-10-05 01:00:00+00:00,279.6431045869
2020-10-05 01:15:00+00:00,279.6436063046
2020-10-05 01:30:00+00:00,279.644122642
2020-10-05 01:45:00+00:00,279.64473178000003
2020-10-05 02:00:00+00:00,279.64522531200004
2020-10-05 02:15:00+00:00,279.645777776
2020-10-05 02:30:00+00:00,279.6464396262
2020-10-05 02:45:00+00:00,279.6469535421
2020-10-05 03:00:00+00:00,279.6475805504
2020-10-05 03:15:00+00:00,279.6480345986
2020-10-05 03:30:00+00:00,279.6485727716
2020-10-05 03:45:00+00:00,279.6490440285
2020-10-05 04:00:00+00:00,279.649535872
2020-10-05 04:15:00+00:00,279.650168117
2020-10-05 04:30:00+00:00,279.650601685
2020-10-05 04:45:00+00:00,279.6510586
2020-10-05 05:00:00+00:00,279.65148890660004
2020-10-05 05:15:00+00:00,279.6519527111
2020-10-05 05:30:00+00:00,279.6524261984
2020-10-05 05:45:00+00:00,279.6528178033
2020-10-05 06:00:00+00:00,279.6537159874
2020-10-05 06:15:00+00:00,279.65501006520003
2020-10-05 06:30:00+00:00,279.6554179208
2020-10-05 06:45:00+00:00,279.6559007938
2020-10-05 07:00:00+00:00,279.656318732
2020-10-05 07:15:00+00:00,279.6568657
2020-10-05 07:30:00+00:00,279.6573180452
2020-10-05 07:45:00+00:00,279.6578023
2020-10-05 08:00:00+00:00,279.65832290000003
2020-10-05 08:15:00+00:00,279.6590981
2020-10-05 08:30:00+00:00,279.66064219500004
2020-10-05 08:45:00+00:00,279.662114884
2020-10-05 09:00:00+00:00,279.6628981
2020-10-05 09:15:00+00:00,279.6661690156
2020-10-05 09:30:00+00:00,279.6670449553
2020-10-05 09:45:00+00:00,279.6677673016
2020-10-05 10:00:00+00:00,279.6681590093
2020-10-05 10:15:00+00:00,279.6686654
2020-10-05 10:30:00+00:00,279.6693188
2020-10-05 10:45:00+00:00,279.6706058313
2020-10-05 11:00:00+00:00,279.67256710000004
2020-10-05 11:15:00+00:00,279.679582999
2020-10-05 11:30:00+00:00,279.6814377
2020-10-05 11:45:00+00:00,279.681579
2020-10-05 12:00:00+00:00,279.6832035
2020-10-05 12:15:00+00:00,279.6832035
2020-10-05 12:30:00+00:00,279.6832035
2020-10-05 12:45:00+00:00,279.6832035
2020-10-05 13:00:00+00:00,279.6832035
2020-10-05 13:15:00+00:00,279.6832035
2020-10-05 13:30:00+00:00,279.683397
2020-10-05 13:45:00+00:00,279.683397
2020-10-05 14:00:00+00:00,279.683397
2020-10-05 14:15:00+00:00,279.683397
2020-10-05 14:30:00+00:00,279.683397
2020-10-05 14:45:00+00:00,279.683397
2020-10-05 15:00:00+00:00,279.683397
2020-10-05 15:15:00+00:00,279.683397
2020-10-05 15:30:00+00:00,279.6834675
2020-10-05 15:45:00+00:00,279.6836879
2020-10-05 16:00:00+00:00,279.6844042281
2020-10-05 16:15:00+00:00,279.68446570000003
2020-10-05 16:30:00+00:00,279.6849062065
2020-10-05 16:45:00+00:00,279.6856193272
2020-10-05 17:00:00+00:00,279.6861108092
2020-10-05 17:15:00+00:00,279.6881524868
2020-10-05 17:30:00+00:00,279.68847021650004
2020-10-05 17:45:00+00:00,279.6888948858
2020-10-05 18:00:00+00:00,279.6891962304
2020-10-05 18:15:00+00:00,279.6895141
2020-10-05 18:30:00+00:00,279.68992219980004
2020-10-05 18:45:00+00:00,279.6904224034
2020-10-05 19:00:00+00:00,279.69113002940003
2020-10-05 19:15:00+00:00,279.6916660645
2020-10-05 19:30:00+00:00,279.692183038
2020-10-05 19:45:00+00:00,279.6927058
2020-10-05 20:00:00+00:00,279.6935525
2020-10-05 20:15:00+00:00,279.694169095
2020-10-05 20:30:00+00:00,279.69491333
2020-10-05 20:45:00+00:00,279.6954895035
2020-10-05 21:00:00+00:00,279.696225556
2020-10-05 21:15:00+00:00,279.6968973026
2020-10-05 21:30:00+00:00,279.6975426924
2020-10-05 21:45:00+00:00,279.69822648080003
2020-10-05 22:00:00+00:00,279.6988485237
2020-10-05 22:15:00+00:00,279.6995787538
2020-10-05 22:30:00+00:00,279.70024377100003
2020-10-05 22:45:00+00:00,279.70072577
2020-10-05 23:00:00+00:00,279.70131015600003
2020-10-05 23:15:00+00:00,279.701957955
2020-10-05 23:30:00+00:00,279.7056439025
2020-10-05 23:45:00+00:00,279.706282948
2020-10-06 00:00:00+00:00,279.706991409
2020-10-06 00:15:00+00:00,279.70762527
2020-10-06 00:30:00+00:00,279.71064809800004
2020-10-06 00:45:00+00:00,279.71118587
2020-10-06 01:00:00+00:00,279.711872624
2020-10-06 01:15:00+00:00,279.712541744
2020-10-06 01:30:00+00:00,279.712977389
2020-10-06 01:45:00+00:00,279.7134229706
2020-10-06 02:00:00+00:00,279.714016962
2020-10-06 02:15:00+00:00,279.7146095104
2020-10-06 02:30:00+00:00,279.71598720000003
2020-10-06 02:45:00+00:00,279.7204934112
2020-10-06 03:00:00+00:00,279.7259200097
2020-10-06 03:15:00+00:00,279.7265249376
2020-10-06 03:30:00+00:00,279.7270657001
2020-10-06 03:45:00+00:00,279.72775545810003
2020-10-06 04:00:00+00:00,279.7283153114
2020-10-06 04:15:00+00:00,279.7288235958
2020-10-06 04:30:00+00:00,279.7293673532
2020-10-06 04:45:00+00:00,279.7298849988
2020-10-06 05:00:00+00:00,279.7304532712
2020-10-06 05:15:00+00:00,279.7308972256
2020-10-06 05:30:00+00:00,279.731365231
2020-10-06 05:45:00+00:00,279.7318057451
2020-10-06 06:00:00+00:00,279.7328858262
2020-10-06 06:15:00+00:00,279.7344836088
2020-10-06 06:30:00+00:00,279.7347216454
