ts,value
2022-01-01 06:00:00+00:00,206.91
2022-01-01 07:00:00+00:00,229.008
2022-01-01 08:00:00+00:00,466.053
2022-01-01 09:00:00+00:00,206.367
2022-01-01 10:00:00+00:00,207.275
2022-01-01 11:00:00+00:00,206.199
2022-01-01 12:00:00+00:00,205.952
2022-01-01 13:00:00+00:00,205.666
2022-01-01 14:00:00+00:00,462.755
2022-01-01 15:00:00+00:00,206.702
2022-01-01 16:00:00+00:00,206.505
2022-01-01 17:00:00+00:00,206.485
2022-01-01 18:00:00+00:00,208.45
2022-01-01 19:00:00+00:00,228.395
2022-01-01 20:00:00+00:00,453.691
2022-01-01 21:00:00+00:00,207.808
2022-01-01 22:00:00+00:00,823.472
2022-01-01 23:00:00+00:00,967.267
2022-01-02 00:00:00+00:00,967.613
2022-01-02 01:00:00+00:00,967.287
2022-01-02 02:00:00+00:00,965.835
2022-01-02 03:00:00+00:00,967.889
2022-01-02 04:00:00+00:00,965.371
2022-01-02 05:00:00+00:00,961.185
2022-01-02 06:00:00+00:00,945.653
2022-01-02 07:00:00+00:00,973.172
2022-01-02 08:00:00+00:00,967.277
2022-01-02 09:00:00+00:00,970.061
2022-01-02 10:00:00+00:00,930.309
2022-01-02 11:00:00+00:00,930.812
2022-01-02 12:00:00+00:00,625.755
2022-01-02 13:00:00+00:00,478.109
2022-01-02 14:00:00+00:00,962.004
2022-01-02 15:00:00+00:00,963.149
2022-01-02 16:00:00+00:00,964.285
2022-01-02 17:00:00+00:00,963.436
2022-01-02 18:00:00+00:00,962.754
2022-01-02 19:00:00+00:00,952.989
2022-01-02 20:00:00+00:00,621.262
2022-01-02 21:00:00+00:00,965.766
2022-01-02 22:00:00+00:00,967.168
2022-01-02 23:00:00+00:00,846.222
2022-01-03 00:00:00+00:00,809.135
2022-01-03 01:00:00+00:00,772.818
2022-01-03 02:00:00+00:00,832.852
2022-01-03 03:00:00+00:00,892.945
2022-01-03 04:00:00+00:00,794.265
2022-01-03 05:00:00+00:00,856.787
2022-01-03 06:00:00+00:00,826.286
2022-01-03 07:00:00+00:00,708.578
2022-01-03 08:00:00+00:00,860.44
2022-01-03 09:00:00+00:00,859.739
2022-01-03 10:00:00+00:00,962.577
2022-01-03 11:00:00+00:00,867.855
2022-01-03 12:00:00+00:00,402.454
2022-01-03 13:00:00+00:00,454.095
2022-01-03 14:00:00+00:00,969.577
2022-01-03 15:00:00+00:00,951.459
2022-01-03 16:00:00+00:00,931.385
2022-01-03 17:00:00+00:00,929.341
2022-01-03 18:00:00+00:00,775.05
2022-01-03 19:00:00+00:00,686.154
2022-01-03 20:00:00+00:00,721.503
2022-01-03 21:00:00+00:00,456.633
2022-01-03 22:00:00+00:00,911.508
2022-01-03 23:00:00+00:00,864.637
2022-01-04 00:00:00+00:00,858.228
2022-01-04 01:00:00+00:00,819.275
2022-01-04 02:00:00+00:00,723.073
2022-01-04 03:00:00+00:00,700.926
2022-01-04 04:00:00+00:00,751.352
2022-01-04 05:00:00+00:00,731.841
2022-01-04 06:00:00+00:00,818.397
2022-01-04 07:00:00+00:00,836.535
2022-01-04 08:00:00+00:00,731.555
2022-01-04 09:00:00+00:00,766.459
2022-01-04 10:00:00+00:00,786.583
2022-01-04 11:00:00+00:00,873.503
2022-01-04 12:00:00+00:00,607.893
2022-01-04 13:00:00+00:00,531.271
2022-01-04 14:00:00+00:00,929.795
2022-01-04 15:00:00+00:00,941.516
2022-01-04 16:00:00+00:00,953.177
2022-01-04 17:00:00+00:00,878.618
2022-01-04 18:00:00+00:00,953.7
2022-01-04 19:00:00+00:00,939.57
2022-01-04 20:00:00+00:00,948.763
2022-01-04 21:00:00+00:00,934.643
2022-01-04 22:00:00+00:00,858.426
2022-01-04 23:00:00+00:00,800.91
2022-01-05 00:00:00+00:00,800.149
2022-01-05 01:00:00+00:00,814.872
2022-01-05 02:00:00+00:00,861.151
2022-01-05 03:00:00+00:00,777.913
2022-01-05 04:00:00+00:00,826.296
2022-01-05 05:00:00+00:00,855.464
2022-01-05 06:00:00+00:00,908.842
2022-01-05 07:00:00+00:00,960.029
2022-01-05 08:00:00+00:00,941.822
2022-01-05 09:00:00+00:00,906.779
