ts,value
2021-01-13 18:12:52+00:00,24083.02
2021-01-13 18:27:52+00:00,24084.02
2021-01-13 18:42:52+00:00,24085.0
2021-01-13 18:57:52+00:00,24085.84
2021-01-13 19:12:52+00:00,24086.62
2021-01-13 19:27:52+00:00,24087.3
2021-01-13 19:42:52+00:00,24088.1
2021-01-13 19:57:52+00:00,24088.63
2021-01-13 20:12:52+00:00,24089.15
2021-01-13 20:27:52+00:00,24089.65
2021-01-13 20:42:52+00:00,24090.16
2021-01-13 20:57:52+00:00,24090.71
2021-01-13 21:12:52+00:00,24091.18
2021-01-13 21:27:52+00:00,24091.68
2021-01-13 21:42:52+00:00,24092.19
2021-01-13 21:57:52+00:00,24092.67
2021-01-13 22:12:52+00:00,24093.18
2021-01-13 22:27:52+00:00,24093.67
2021-01-13 22:42:52+00:00,24094.15
2021-01-13 22:57:52+00:00,24094.66
2021-01-13 23:12:47+00:00,24095.18
2021-01-13 23:27:47+00:00,24095.69
2021-01-13 23:42:47+00:00,24096.22
2021-01-13 23:57:47+00:00,24096.71
2021-01-14 00:12:47+00:00,24097.21
2021-01-14 00:27:47+00:00,24097.68
2021-01-14 00:42:47+00:00,24098.17
2021-01-14 00:57:47+00:00,24098.65
2021-01-14 01:12:47+00:00,24099.16
2021-01-14 01:27:47+00:00,24099.63
2021-01-14 01:42:47+00:00,24100.11
2021-01-14 01:57:47+00:00,24100.62
2021-01-14 02:12:47+00:00,24101.14
2021-01-14 02:27:47+00:00,24101.6
2021-01-14 02:42:47+00:00,24102.08
2021-01-14 02:57:47+00:00,24102.62
2021-01-14 03:12:47+00:00,24103.12
2021-01-14 03:27:47+00:00,24103.61
2021-01-14 03:42:47+00:00,24104.08
2021-01-14 03:57:47+00:00,24104.56
2021-01-14 04:12:47+00:00,24105.07
2021-01-14 04:27:47+00:00,24105.55
2021-01-14 04:42:47+00:00,24106.03
2021-01-14 04:57:47+00:00,24106.53
2021-01-14 05:12:47+00:00,24107.0
2021-01-14 05:27:47+00:00,24107.6
2021-01-14 05:42:47+00:00,24108.6
2021-01-14 05:57:47+00:00,24109.46
2021-01-14 06:12:47+00:00,24110.34
2021-01-14 06:27:47+00:00,24111.78
2021-01-14 06:42:47+00:00,24113.76
2021-01-14 06:57:47+00:00,24116.11
2021-01-14 07:12:47+00:00,24118.83
2021-01-14 07:27:47+00:00,24121.51
2021-01-14 07:57:48+00:00,24127.18
2021-01-14 08:12:48+00:00,24129.99
2021-01-14 08:27:48+00:00,24132.55
2021-01-14 08:42:48+00:00,24135.16
2021-01-14 08:57:48+00:00,24137.73
2021-01-14 09:12:48+00:00,24140.18
2021-01-14 09:27:48+00:00,24142.69
2021-01-14 09:42:48+00:00,24145.27
2021-01-14 09:57:48+00:00,24147.59
2021-01-14 10:12:48+00:00,24149.82
2021-01-14 10:27:48+00:00,24151.98
2021-01-14 10:42:48+00:00,24154.07
2021-01-14 10:57:48+00:00,24156.18
2021-01-14 11:12:47+00:00,24158.25
2021-01-14 11:27:47+00:00,24160.18
2021-01-14 11:42:47+00:00,24161.69
2021-01-14 11:57:47+00:00,24163.38
2021-01-14 12:12:47+00:00,24165.61
2021-01-14 12:27:48+00:00,24167.52
2021-01-14 12:42:48+00:00,24169.22
2021-01-14 12:57:48+00:00,24171.17
2021-01-14 13:12:48+00:00,24172.98
2021-01-14 13:42:48+00:00,24177.11
2021-01-14 13:57:48+00:00,24178.98
2021-01-14 14:27:48+00:00,24182.94
2021-01-14 14:42:48+00:00,24184.72
2021-01-14 14:57:48+00:00,24186.76
2021-01-14 15:27:48+00:00,24189.97
2021-01-14 15:42:48+00:00,24191.44
2021-01-14 15:57:47+00:00,24193.22
2021-01-14 16:12:47+00:00,24194.54
2021-01-14 16:27:47+00:00,24195.57
2021-01-14 16:42:47+00:00,24196.78
2021-01-14 16:57:47+00:00,24197.94
2021-01-14 17:12:47+00:00,24198.7
2021-01-14 17:27:47+00:00,24199.49
2021-01-14 17:42:47+00:00,24200.23
2021-01-14 17:57:47+00:00,24201.11
2021-01-14 18:12:47+00:00,24202.0
2021-01-14 18:27:47+00:00,24202.75
2021-01-14 18:42:47+00:00,24203.91
2021-01-14 18:57:47+00:00,24204.55
2021-01-14 19:12:47+00:00,24205.19
2021-01-14 19:27:47+00:00,24205.81
2021-01-14 19:42:47+00:00,24206.43
2021-01-14 19:57:47+00:00,24207.04
2021-01-14 20:12:47+00:00,24207.68
2021-01-14 20:27:47+00:00,24208.31
2021-01-14 20:42:47+00:00,24208.93
2021-01-14 20:57:47+00:00,24209.55
2021-01-14 21:12:47+00:00,24210.19
2021-01-14 21:27:47+00:00,24210.85
2021-01-14 21:42:47+00:00,24211.45
2021-01-14 21:57:47+00:00,24212.1
2021-01-14 22:12:47+00:00,24212.72
2021-01-14 22:27:47+00:00,24213.32
2021-01-14 22:42:47+00:00,24213.9
2021-01-14 22:57:47+00:00,24214.46
2021-01-14 23:12:19+00:00,24215.04
2021-01-14 23:27:19+00:00,24215.64
2021-01-14 23:42:19+00:00,24216.25
2021-01-15 00:12:19+00:00,24217.43
2021-01-15 00:27:19+00:00,24218.03
2021-01-15 00:42:19+00:00,24218.63
2021-01-15 00:57:19+00:00,24219.27
2021-01-15 01:12:19+00:00,24219.85
2021-01-15 01:27:19+00:00,24220.43
2021-01-15 01:42:19+00:00,24221.03
2021-01-15 01:57:19+00:00,24221.65
2021-01-15 02:12:19+00:00,24222.25
2021-01-15 02:27:19+00:00,24222.86
2021-01-15 02:42:19+00:00,24223.45
2021-01-15 02:57:19+00:00,24224.02
2021-01-15 03:12:19+00:00,24224.59
2021-01-15 03:27:19+00:00,24225.17
2021-01-15 03:42:19+00:00,24225.76
2021-01-15 03:57:19+00:00,24226.34
2021-01-15 04:12:19+00:00,24226.94
2021-01-15 04:27:19+00:00,24227.51
2021-01-15 04:42:19+00:00,24228.11
2021-01-15 04:57:19+00:00,24228.73
2021-01-15 05:12:19+00:00,24229.33
2021-01-15 05:27:19+00:00,24229.98
2021-01-15 05:42:19+00:00,24231.08
2021-01-15 05:57:19+00:00,24232.07
2021-01-15 06:12:19+00:00,24233.05
2021-01-15 06:27:19+00:00,24234.42
2021-01-15 06:42:20+00:00,24236.38
2021-01-15 07:12:19+00:00,24240.99
2021-01-15 07:27:20+00:00,24243.49
2021-01-15 07:42:20+00:00,24245.89
2021-01-15 07:57:20+00:00,24248.46
2021-01-15 08:12:20+00:00,24250.73
2021-01-15 08:27:20+00:00,24252.94
2021-01-15 08:42:20+00:00,24255.36
2021-01-15 08:57:20+00:00,24257.7
2021-01-15 09:12:20+00:00,24259.65
2021-01-15 09:42:20+00:00,24263.68
2021-01-15 09:57:20+00:00,24265.67
2021-01-15 10:12:20+00:00,24267.79
2021-01-15 10:27:20+00:00,24269.69
2021-01-15 10:42:20+00:00,24271.52
2021-01-15 10:57:20+00:00,24273.26
2021-01-15 11:12:26+00:00,24275.06
2021-01-15 11:57:26+00:00,24279.68
