ts,value
2022-04-20 00:09:41+00:00,279.464
2022-04-20 00:24:14+00:00,279.469
2022-04-20 00:39:26+00:00,279.476
2022-04-20 00:54:36+00:00,279.481
2022-04-20 01:09:24+00:00,279.487
2022-04-20 01:24:29+00:00,279.493
2022-04-20 01:39:03+00:00,279.498
2022-04-20 01:53:38+00:00,279.503
2022-04-20 02:09:06+00:00,279.509
2022-04-20 02:23:51+00:00,279.516
2022-04-20 02:39:00+00:00,279.522
2022-04-20 02:53:56+00:00,279.53000000000003
2022-04-20 03:08:41+00:00,279.536
2022-04-20 03:23:21+00:00,279.54200000000003
2022-04-20 03:38:15+00:00,279.549
2022-04-20 03:53:21+00:00,279.556
2022-04-20 04:08:11+00:00,279.568
2022-04-20 04:23:11+00:00,279.57800000000003
2022-04-20 04:37:48+00:00,279.588
2022-04-20 04:53:05+00:00,279.599
2022-04-20 05:07:39+00:00,279.609
2022-04-20 05:51:58+00:00,279.64300000000003
2022-04-20 06:06:44+00:00,279.65500000000003
2022-04-20 06:21:25+00:00,279.66700000000003
2022-04-20 06:36:03+00:00,279.678
2022-04-20 06:51:23+00:00,279.689
2022-04-20 07:06:48+00:00,279.701
2022-04-20 07:21:28+00:00,279.711
2022-04-20 07:36:29+00:00,279.721
2022-04-20 07:51:08+00:00,279.73
2022-04-20 08:05:57+00:00,279.73900000000003
2022-04-20 08:20:31+00:00,279.747
2022-04-20 08:35:31+00:00,279.757
2022-04-20 08:50:52+00:00,279.767
2022-04-20 09:06:04+00:00,279.77500000000003
2022-04-20 09:21:29+00:00,279.783
2022-04-20 09:36:06+00:00,279.79
2022-04-20 09:51:18+00:00,279.797
2022-04-20 10:06:18+00:00,279.80400000000003
2022-04-20 10:20:53+00:00,279.811
2022-04-20 10:51:11+00:00,279.827
2022-04-20 11:06:05+00:00,279.834
2022-04-20 11:20:48+00:00,279.842
2022-04-20 11:35:43+00:00,279.849
2022-04-20 11:50:55+00:00,279.856
2022-04-20 12:05:59+00:00,279.863
2022-04-20 12:20:56+00:00,279.871
2022-04-20 12:35:46+00:00,279.877
2022-04-20 12:50:59+00:00,279.884
2022-04-20 13:05:56+00:00,279.892
2022-04-20 13:20:44+00:00,279.90000000000003
2022-04-20 13:35:52+00:00,279.907
2022-04-20 13:51:16+00:00,279.914
2022-04-20 14:06:11+00:00,279.921
2022-04-20 14:20:54+00:00,279.926
2022-04-20 14:35:56+00:00,279.931
2022-04-20 14:50:39+00:00,279.935
2022-04-20 15:06:04+00:00,279.939
2022-04-20 15:20:58+00:00,279.942
2022-04-20 15:36:00+00:00,279.946
2022-04-20 15:51:07+00:00,279.951
2022-04-20 16:05:56+00:00,279.955
2022-04-20 16:20:55+00:00,279.959
2022-04-20 16:36:05+00:00,279.962
2022-04-20 16:50:50+00:00,279.966
2022-04-20 17:05:49+00:00,279.969
2022-04-20 17:20:23+00:00,279.972
2022-04-20 17:35:46+00:00,279.975
2022-04-20 17:51:02+00:00,279.978
2022-04-20 18:06:16+00:00,279.982
2022-04-20 18:21:26+00:00,279.985
2022-04-20 18:36:17+00:00,279.988
2022-04-20 18:51:44+00:00,279.993
2022-04-20 19:06:29+00:00,280.0
2022-04-20 19:21:03+00:00,280.008
2022-04-20 19:35:55+00:00,280.016
2022-04-20 19:51:15+00:00,280.023
2022-04-20 20:06:17+00:00,280.029
2022-04-20 20:21:01+00:00,280.033
2022-04-20 20:35:55+00:00,280.036
2022-04-20 20:51:03+00:00,280.039
2022-04-20 21:06:27+00:00,280.047
2022-04-20 21:21:16+00:00,280.05400000000003
2022-04-20 21:36:42+00:00,280.061
2022-04-20 21:52:04+00:00,280.067
2022-04-20 22:22:06+00:00,280.077
2022-04-20 22:37:29+00:00,280.083
2022-04-20 22:52:49+00:00,280.089
2022-04-20 23:07:52+00:00,280.095
2022-04-20 23:23:09+00:00,280.101
2022-04-20 23:38:12+00:00,280.107
2022-04-20 23:53:02+00:00,280.113
2022-04-21 00:07:38+00:00,280.12
2022-04-21 00:22:12+00:00,280.12600000000003
2022-04-21 00:36:58+00:00,280.132
2022-04-21 00:52:20+00:00,280.137
2022-04-21 01:07:43+00:00,280.144
2022-04-21 01:22:17+00:00,280.151
2022-04-21 01:37:17+00:00,280.157
2022-04-21 01:52:15+00:00,280.164
2022-04-21 02:06:59+00:00,280.171
2022-04-21 02:21:39+00:00,280.177
2022-04-21 02:36:17+00:00,280.183
2022-04-21 02:51:07+00:00,280.19
2022-04-21 03:05:45+00:00,280.197
2022-04-21 03:20:19+00:00,280.204
2022-04-21 03:35:01+00:00,280.211
2022-04-21 03:50:01+00:00,280.218
2022-04-21 04:04:53+00:00,280.228
2022-04-21 04:50:17+00:00,280.262
2022-04-21 05:04:49+00:00,280.272
2022-04-21 05:19:47+00:00,280.284
2022-04-21 05:34:31+00:00,280.295
2022-04-21 05:49:29+00:00,280.306
2022-04-21 06:04:33+00:00,280.317
2022-04-21 06:19:53+00:00,280.32800000000003
2022-04-21 06:34:49+00:00,280.34000000000003
2022-04-21 06:49:40+00:00,280.35
2022-04-21 07:05:07+00:00,280.36
2022-04-21 07:20:24+00:00,280.37
2022-04-21 07:35:07+00:00,280.38
2022-04-21 07:50:07+00:00,280.391
2022-04-21 08:04:54+00:00,280.401
2022-04-21 08:19:57+00:00,280.409
2022-04-21 08:50:04+00:00,280.424
2022-04-21 09:04:58+00:00,280.432
2022-04-21 09:20:21+00:00,280.44
2022-04-21 09:35:15+00:00,280.446
2022-04-21 09:49:53+00:00,280.452
2022-04-21 10:04:44+00:00,280.46
2022-04-21 10:19:48+00:00,280.467
2022-04-21 10:34:54+00:00,280.474
2022-04-21 10:49:28+00:00,280.479
2022-04-21 11:04:49+00:00,280.487
2022-04-21 11:19:25+00:00,280.493
2022-04-21 11:34:21+00:00,280.499
2022-04-21 11:49:04+00:00,280.50600000000003
2022-04-21 12:04:02+00:00,280.51300000000003
2022-04-21 12:18:51+00:00,280.519
2022-04-21 12:34:16+00:00,280.524
2022-04-21 12:48:54+00:00,280.531
2022-04-21 13:03:34+00:00,280.538
2022-04-21 13:18:59+00:00,280.544
2022-04-21 13:34:26+00:00,280.551
2022-04-21 13:49:48+00:00,280.557
2022-04-21 14:04:24+00:00,280.562
2022-04-21 14:19:33+00:00,280.567
2022-04-21 14:34:39+00:00,280.571
2022-04-21 14:49:16+00:00,280.573
2022-04-21 15:04:16+00:00,280.576
2022-04-21 15:18:49+00:00,280.57800000000003
2022-04-21 15:33:41+00:00,280.585
2022-04-21 16:04:34+00:00,280.59000000000003
2022-04-21 16:20:02+00:00,280.59000000000003
2022-04-21 16:34:49+00:00,280.59000000000003
2022-04-21 16:50:17+00:00,280.59000000000003
2022-04-21 17:05:21+00:00,280.59000000000003
2022-04-21 17:20:30+00:00,280.597
2022-04-21 17:35:35+00:00,280.60200000000003
2022-04-21 17:50:40+00:00,280.609
2022-04-21 18:05:38+00:00,280.615
2022-04-21 18:20:19+00:00,280.619
2022-04-21 18:34:57+00:00,280.621
2022-04-21 18:50:12+00:00,280.623
2022-04-21 19:05:10+00:00,280.625
2022-04-21 19:20:07+00:00,280.627
2022-04-21 19:34:51+00:00,280.629
2022-04-21 19:49:34+00:00,280.634
2022-04-21 20:05:03+00:00,280.64
2022-04-21 20:20:28+00:00,280.642
2022-04-21 20:35:12+00:00,280.644
2022-04-21 20:49:58+00:00,280.646
2022-04-21 21:04:32+00:00,280.652
2022-04-21 21:19:45+00:00,280.662
2022-04-21 21:34:16+00:00,280.67
2022-04-21 21:48:57+00:00,280.678
2022-04-21 22:04:01+00:00,280.685
2022-04-21 22:34:26+00:00,280.698
2022-04-21 22:48:59+00:00,280.702
2022-04-21 23:03:40+00:00,280.707
2022-04-21 23:18:14+00:00,280.713
2022-04-21 23:33:41+00:00,280.719
2022-04-21 23:49:09+00:00,280.724
2022-04-22 00:04:10+00:00,280.73
2022-04-22 00:19:34+00:00,280.737
2022-04-22 00:34:30+00:00,280.742
2022-04-22 00:49:30+00:00,280.748
2022-04-22 01:04:23+00:00,280.754
2022-04-22 01:19:07+00:00,280.76
2022-04-22 01:33:49+00:00,280.765
2022-04-22 01:49:00+00:00,280.772
2022-04-22 02:04:22+00:00,280.779
2022-04-22 02:19:18+00:00,280.786
2022-04-22 02:34:22+00:00,280.79200000000003
2022-04-22 02:49:11+00:00,280.799
2022-04-22 03:04:23+00:00,280.805
2022-04-22 03:19:28+00:00,280.812
2022-04-22 03:49:22+00:00,280.825
2022-04-22 04:04:42+00:00,280.837
2022-04-22 04:19:25+00:00,280.849
2022-04-22 04:34:46+00:00,280.86
2022-04-22 04:49:50+00:00,280.87
2022-04-22 05:04:39+00:00,280.88100000000003
2022-04-22 05:19:44+00:00,280.892
2022-04-22 05:34:24+00:00,280.902
2022-04-22 05:48:56+00:00,280.913
2022-04-22 06:03:41+00:00,280.924
2022-04-22 06:18:40+00:00,280.935
2022-04-22 06:48:33+00:00,280.954
2022-04-22 07:03:32+00:00,280.963
