ts,value
2020-01-01 06:00:00+00:00,7.225
2020-01-01 07:00:00+00:00,0.0
2020-01-01 08:00:00+00:00,0.0
2020-01-01 09:00:00+00:00,0.0
2020-01-01 10:00:00+00:00,0.0
2020-01-01 11:00:00+00:00,0.0
2020-01-01 12:00:00+00:00,0.0
2020-01-01 13:00:00+00:00,0.0
2020-01-01 14:00:00+00:00,0.0
2020-01-01 15:00:00+00:00,0.0
2020-01-01 16:00:00+00:00,0.0
2020-01-01 17:00:00+00:00,0.0
2020-01-01 18:00:00+00:00,0.0
2020-01-01 19:00:00+00:00,0.0
2020-01-01 20:00:00+00:00,0.0
2020-01-01 21:00:00+00:00,0.0
2020-01-01 22:00:00+00:00,0.0
2020-01-01 23:00:00+00:00,0.0
2020-01-02 00:00:00+00:00,0.0
2020-01-02 01:00:00+00:00,0.0
2020-01-02 02:00:00+00:00,0.0
2020-01-02 03:00:00+00:00,0.0
2020-01-02 04:00:00+00:00,0.0
2020-01-02 05:00:00+00:00,0.0
2020-01-02 06:00:00+00:00,0.0
2020-01-02 07:00:00+00:00,279.782
2020-01-02 08:00:00+00:00,650.417
2020-01-02 09:00:00+00:00,434.637
2020-01-02 10:00:00+00:00,375.797
2020-01-02 11:00:00+00:00,368.572
2020-01-02 12:00:00+00:00,388.185
2020-01-02 13:00:00+00:00,235.393
2020-01-02 14:00:00+00:00,340.696
2020-01-02 15:00:00+00:00,317.983
2020-01-02 16:00:00+00:00,316.946
2020-01-02 17:00:00+00:00,265.332
2020-01-02 18:00:00+00:00,263.258
2020-01-02 19:00:00+00:00,230.231
2020-01-02 20:00:00+00:00,261.195
2020-01-02 21:00:00+00:00,181.705
2020-01-02 22:00:00+00:00,0.0
2020-01-02 23:00:00+00:00,0.0
2020-01-03 00:00:00+00:00,0.0
2020-01-03 01:00:00+00:00,0.0
2020-01-03 02:00:00+00:00,0.0
2020-01-03 03:00:00+00:00,235.393
2020-01-03 04:00:00+00:00,558.528
2020-01-03 05:00:00+00:00,270.494
2020-01-03 06:00:00+00:00,314.883
2020-01-03 07:00:00+00:00,340.696
2020-01-03 08:00:00+00:00,400.573
2020-01-03 09:00:00+00:00,313.846
2020-01-03 10:00:00+00:00,347.922
2020-01-03 11:00:00+00:00,374.76
2020-01-03 12:00:00+00:00,199.255
2020-01-03 13:00:00+00:00,14.451
2020-01-03 14:00:00+00:00,741.269
2020-01-03 15:00:00+00:00,519.301
2020-01-03 16:00:00+00:00,387.148
2020-01-03 17:00:00+00:00,319.009
2020-01-03 18:00:00+00:00,315.92
2020-01-03 19:00:00+00:00,295.27
2020-01-03 20:00:00+00:00,290.107
2020-01-03 21:00:00+00:00,316.946
2020-01-03 22:00:00+00:00,345.859
2020-01-03 23:00:00+00:00,317.983
2020-01-04 00:00:00+00:00,297.333
2020-01-04 01:00:00+00:00,329.334
2020-01-04 02:00:00+00:00,306.621
2020-01-04 03:00:00+00:00,300.433
2020-01-04 04:00:00+00:00,284.945
2020-01-04 05:00:00+00:00,302.495
2020-01-04 06:00:00+00:00,302.495
2020-01-04 07:00:00+00:00,280.808
2020-01-04 08:00:00+00:00,289.07
2020-01-04 09:00:00+00:00,319.009
2020-01-04 10:00:00+00:00,294.233
2020-01-04 11:00:00+00:00,280.808
2020-01-04 12:00:00+00:00,310.758
2020-01-04 13:00:00+00:00,288.045
2020-01-04 14:00:00+00:00,280.808
2020-01-04 15:00:00+00:00,282.882
2020-01-04 16:00:00+00:00,325.208
2020-01-04 17:00:00+00:00,273.583
2020-01-04 18:00:00+00:00,17.551
2020-01-04 19:00:00+00:00,608.091
2020-01-04 20:00:00+00:00,564.727
2020-01-04 21:00:00+00:00,404.699
2020-01-04 22:00:00+00:00,340.696
2020-01-04 23:00:00+00:00,367.535
2020-01-05 00:00:00+00:00,280.808
2020-01-05 01:00:00+00:00,363.409
2020-01-05 02:00:00+00:00,270.494
2020-01-05 03:00:00+00:00,361.347
2020-01-05 04:00:00+00:00,283.908
2020-01-05 05:00:00+00:00,258.106
2020-01-05 06:00:00+00:00,287.008
2020-01-05 07:00:00+00:00,327.271
2020-01-05 08:00:00+00:00,338.633
2020-01-05 09:00:00+00:00,403.673
2020-01-05 10:00:00+00:00,300.433
2020-01-05 11:00:00+00:00,304.558
2020-01-05 12:00:00+00:00,323.146
2020-01-05 13:00:00+00:00,334.497
2020-01-05 14:00:00+00:00,359.272
2020-01-05 15:00:00+00:00,355.147
2020-01-05 16:00:00+00:00,288.045
2020-01-05 17:00:00+00:00,312.821
2020-01-05 18:00:00+00:00,300.433
2020-01-05 19:00:00+00:00,325.208
2020-01-05 20:00:00+00:00,322.109
2020-01-05 21:00:00+00:00,308.684
2020-01-05 22:00:00+00:00,0.0
2020-01-05 23:00:00+00:00,0.0
2020-01-06 00:00:00+00:00,0.0
2020-01-06 01:00:00+00:00,0.0
2020-01-06 02:00:00+00:00,0.0
2020-01-06 03:00:00+00:00,0.0
2020-01-06 04:00:00+00:00,0.0
2020-01-06 05:00:00+00:00,0.0
2020-01-06 06:00:00+00:00,330.371
2020-01-06 07:00:00+00:00,653.505
2020-01-06 08:00:00+00:00,444.962
2020-01-06 09:00:00+00:00,316.946
2020-01-06 10:00:00+00:00,309.721
2020-01-06 11:00:00+00:00,390.248
2020-01-06 12:00:00+00:00,228.157
2020-01-06 13:00:00+00:00,16.513
2020-01-06 14:00:00+00:00,410.898
2020-01-06 15:00:00+00:00,549.239
2020-01-06 16:00:00+00:00,313.846
2020-01-06 17:00:00+00:00,292.17
2020-01-06 18:00:00+00:00,294.233
2020-01-06 19:00:00+00:00,319.009
2020-01-06 20:00:00+00:00,273.583
2020-01-06 21:00:00+00:00,307.658
2020-01-06 22:00:00+00:00,291.133
2020-01-06 23:00:00+00:00,272.557
2020-01-07 00:00:00+00:00,282.882
2020-01-07 01:00:00+00:00,330.371
2020-01-07 02:00:00+00:00,283.908
2020-01-07 03:00:00+00:00,323.146
2020-01-07 04:00:00+00:00,293.207
2020-01-07 05:00:00+00:00,271.52
2020-01-07 06:00:00+00:00,357.21
2020-01-07 07:00:00+00:00,300.433
2020-01-07 08:00:00+00:00,317.983
2020-01-07 09:00:00+00:00,316.946
2020-01-07 10:00:00+00:00,368.572
2020-01-07 11:00:00+00:00,345.859
2020-01-07 12:00:00+00:00,211.643
2020-01-07 13:00:00+00:00,40.264
2020-01-07 14:00:00+00:00,662.805
2020-01-07 15:00:00+00:00,385.085
2020-01-07 16:00:00+00:00,336.559
2020-01-07 17:00:00+00:00,292.17
2020-01-07 18:00:00+00:00,311.784
2020-01-07 19:00:00+00:00,317.983
2020-01-07 20:00:00+00:00,307.658
2020-01-07 21:00:00+00:00,260.169
2020-01-07 22:00:00+00:00,322.109
2020-01-07 23:00:00+00:00,321.072
2020-01-08 00:00:00+00:00,283.908
2020-01-08 01:00:00+00:00,279.782
2020-01-08 02:00:00+00:00,300.433
2020-01-08 03:00:00+00:00,310.758
2020-01-08 04:00:00+00:00,282.882
2020-01-08 05:00:00+00:00,274.62
2020-01-08 06:00:00+00:00,328.308
2020-01-08 07:00:00+00:00,337.596
2020-01-08 08:00:00+00:00,379.923
