ts,value
2021-05-04 07:46:20+00:00,166.5965
2021-05-04 08:01:21+00:00,166.6015
2021-05-04 08:16:23+00:00,166.6066
2021-05-04 08:31:23+00:00,166.6116
2021-05-04 08:46:25+00:00,166.6167
2021-05-04 09:01:25+00:00,166.6217
2021-05-04 09:16:26+00:00,166.6267
2021-05-04 09:31:27+00:00,166.6318
2021-05-04 09:46:30+00:00,166.6368
2021-05-04 10:01:29+00:00,166.6419
2021-05-04 10:16:31+00:00,166.6469
2021-05-04 10:31:30+00:00,166.652
2021-05-04 10:46:31+00:00,166.6571
2021-05-04 11:01:31+00:00,166.6622
2021-05-04 11:16:31+00:00,166.6672
2021-05-04 11:31:32+00:00,166.6722
2021-05-04 11:46:34+00:00,166.6773
2021-05-04 12:01:32+00:00,166.6823
2021-05-04 12:16:31+00:00,166.6874
2021-05-04 12:31:32+00:00,166.6924
2021-05-04 12:46:33+00:00,166.6975
2021-05-04 13:01:34+00:00,166.7025
2021-05-04 13:16:34+00:00,166.7076
2021-05-04 13:31:35+00:00,166.7127
2021-05-04 13:39:27+00:00,166.7153
2021-05-04 13:46:36+00:00,166.7177
2021-05-04 14:01:37+00:00,166.7228
2021-05-04 14:16:37+00:00,166.7278
2021-05-04 14:31:38+00:00,166.7329
2021-05-04 14:46:38+00:00,166.738
2021-05-04 15:01:39+00:00,166.7431
2021-05-04 15:16:40+00:00,166.7482
2021-05-04 15:46:41+00:00,166.8109
2021-05-04 16:01:41+00:00,166.816
2021-05-04 16:16:42+00:00,166.8211
2021-05-04 16:31:43+00:00,166.8305
2021-05-04 16:46:44+00:00,166.8453
2021-05-04 17:01:44+00:00,166.8601
2021-05-04 17:16:45+00:00,166.8743
2021-05-04 17:31:45+00:00,166.8794
2021-05-04 17:46:46+00:00,166.8844
2021-05-04 18:01:45+00:00,166.8895
2021-05-04 18:16:46+00:00,166.8946
2021-05-04 18:31:48+00:00,166.8996
2021-05-04 18:46:47+00:00,166.9047
2021-05-04 19:01:48+00:00,166.9097
2021-05-04 19:16:49+00:00,166.9167
2021-05-04 19:31:50+00:00,166.9275
2021-05-04 19:46:51+00:00,166.9384
2021-05-04 20:01:51+00:00,166.9494
2021-05-04 20:16:53+00:00,166.9603
2021-05-04 20:46:54+00:00,166.9823
2021-05-04 21:01:55+00:00,166.9932
2021-05-04 21:16:56+00:00,167.0042
2021-05-04 21:31:57+00:00,167.0152
2021-05-04 21:46:58+00:00,167.0262
2021-05-04 22:01:56+00:00,167.0371
2021-05-04 22:16:57+00:00,167.0481
2021-05-04 22:31:57+00:00,167.0591
