ts,value
2022-04-20 00:11:02+00:00,733.31
2022-04-20 00:26:02+00:00,733.31
2022-04-20 00:41:01+00:00,733.31
2022-04-20 00:56:02+00:00,733.31
2022-04-20 01:11:01+00:00,733.31
2022-04-20 01:26:01+00:00,733.31
2022-04-20 01:41:01+00:00,733.31
2022-04-20 01:56:01+00:00,733.31
2022-04-20 02:11:01+00:00,733.31
2022-04-20 02:26:01+00:00,733.31
2022-04-20 02:41:01+00:00,733.31
2022-04-20 02:56:01+00:00,733.31
2022-04-20 03:11:01+00:00,733.31
2022-04-20 03:26:01+00:00,733.31
2022-04-20 03:41:01+00:00,733.31
2022-04-20 03:56:01+00:00,733.31
2022-04-20 04:11:01+00:00,733.31
2022-04-20 04:26:01+00:00,733.31
2022-04-20 04:41:01+00:00,733.31
2022-04-20 04:56:01+00:00,733.31
2022-04-20 05:11:01+00:00,733.31
2022-04-20 05:26:01+00:00,733.31
2022-04-20 05:41:01+00:00,733.31
2022-04-20 05:56:01+00:00,733.31
2022-04-20 06:11:01+00:00,733.31
2022-04-20 06:26:01+00:00,733.31
2022-04-20 06:41:00+00:00,733.31
2022-04-20 06:56:00+00:00,733.31
2022-04-20 07:11:00+00:00,733.35
2022-04-20 07:26:00+00:00,733.35
2022-04-20 07:41:00+00:00,733.35
2022-04-20 07:56:00+00:00,733.35
2022-04-20 08:11:00+00:00,733.35
2022-04-20 08:26:00+00:00,733.35
2022-04-20 08:41:00+00:00,733.35
2022-04-20 08:56:00+00:00,733.35
2022-04-20 09:11:00+00:00,733.35
2022-04-20 09:26:00+00:00,733.35
2022-04-20 09:41:00+00:00,733.35
2022-04-20 09:56:00+00:00,733.35
2022-04-20 10:11:00+00:00,733.35
2022-04-20 10:26:00+00:00,733.35
2022-04-20 10:41:00+00:00,733.35
2022-04-20 10:56:00+00:00,733.35
2022-04-20 11:11:00+00:00,733.35
2022-04-20 11:26:00+00:00,733.35
2022-04-20 11:41:00+00:00,733.35
2022-04-20 11:56:00+00:00,733.35
2022-04-20 12:11:00+00:00,733.35
2022-04-20 12:26:00+00:00,733.35
2022-04-20 12:41:00+00:00,733.35
2022-04-20 12:55:59+00:00,733.35
2022-04-20 13:10:59+00:00,733.35
2022-04-20 13:25:59+00:00,733.35
2022-04-20 13:40:59+00:00,733.35
2022-04-20 13:55:59+00:00,733.35
2022-04-20 14:10:59+00:00,733.35
2022-04-20 14:25:59+00:00,733.35
