ts,value
2021-07-24 00:00:00+00:00,131865.97
2021-07-25 00:00:00+00:00,131877.02
2021-07-26 00:00:00+00:00,131892.84
2021-07-27 00:00:00+00:00,131896.94
2021-07-28 00:00:00+00:00,131913.33
2021-07-29 00:00:00+00:00,131913.33
2021-07-30 00:00:00+00:00,131934.94
2021-07-31 00:00:00+00:00,131966.27
2021-08-01 00:00:00+00:00,131966.27
2021-08-02 00:00:00+00:00,131983.09
2021-08-03 00:00:00+00:00,132007.75
2021-08-04 00:00:00+00:00,132041.67
2021-08-05 00:00:00+00:00,132076.19
2021-08-06 00:00:00+00:00,132107.52
2021-08-07 00:00:00+00:00,132107.52
2021-08-08 00:00:00+00:00,132135.53
2021-08-09 00:00:00+00:00,132150.72
2021-08-10 00:00:00+00:00,132208.39
2021-08-11 00:00:00+00:00,132237.2
2021-08-12 00:00:00+00:00,132255.7
2021-08-13 00:00:00+00:00,132256.77
2021-08-14 00:00:00+00:00,132278.58
2021-08-15 00:00:00+00:00,132296.63
2021-08-16 00:00:00+00:00,132296.63
2021-08-17 00:00:00+00:00,132310.88
2021-08-18 00:00:00+00:00,132362.0
2021-08-19 00:00:00+00:00,132397.55
2021-08-20 00:00:00+00:00,132412.48
2021-08-21 00:00:00+00:00,118721.39
2021-08-22 00:00:00+00:00,118721.39
2021-08-23 00:00:00+00:00,118721.39
2021-08-24 00:00:00+00:00,118721.39
2021-08-25 00:00:00+00:00,118721.39
2021-08-26 00:00:00+00:00,118721.39
2021-08-27 00:00:00+00:00,118721.39
2021-08-28 00:00:00+00:00,118721.39
2021-08-29 00:00:00+00:00,118721.39
2021-08-30 00:00:00+00:00,118721.39
2021-08-31 00:00:00+00:00,118721.39
2021-09-01 00:00:00+00:00,118721.39
2021-09-02 00:00:00+00:00,118721.39
2021-09-03 00:00:00+00:00,118721.39
2021-09-04 00:00:00+00:00,118721.39
2021-09-05 00:00:00+00:00,118721.39
2021-09-06 00:00:00+00:00,118721.39
2021-09-07 00:00:00+00:00,132439.61
2021-09-08 00:00:00+00:00,132464.42
2021-09-09 00:00:00+00:00,132464.42
2021-09-10 00:00:00+00:00,132487.08
2021-09-11 00:00:00+00:00,132505.61
2021-09-12 00:00:00+00:00,132520.48
2021-09-13 00:00:00+00:00,132547.59
2021-09-14 00:00:00+00:00,132579.44
2021-09-15 00:00:00+00:00,132613.56
2021-09-16 00:00:00+00:00,132613.56
2021-09-17 00:00:00+00:00,132630.27
2021-09-18 00:00:00+00:00,132687.83
2021-09-19 00:00:00+00:00,132740.63
2021-09-20 00:00:00+00:00,132796.41
2021-09-21 00:00:00+00:00,132853.34
2021-09-22 00:00:00+00:00,132939.05
2021-09-23 00:00:00+00:00,133022.81
2021-09-24 00:00:00+00:00,133096.48
2021-09-25 00:00:00+00:00,133141.03
2021-09-26 00:00:00+00:00,133184.66
2021-09-27 00:00:00+00:00,133213.47
2021-09-28 00:00:00+00:00,133273.55
2021-09-29 00:00:00+00:00,133333.61
2021-09-30 00:00:00+00:00,133417.66
2021-10-01 00:00:00+00:00,133546.67
2021-10-02 00:00:00+00:00,133629.55
2021-10-03 00:00:00+00:00,133701.7
