ts,value
2021-04-21 07:37:32+00:00,131.323
2021-04-21 07:52:05+00:00,131.323
2021-04-21 08:06:54+00:00,131.323
2021-04-21 08:21:31+00:00,131.323
2021-04-21 08:36:07+00:00,131.323
2021-04-21 08:50:42+00:00,131.323
2021-04-21 09:05:28+00:00,131.324
2021-04-21 09:20:13+00:00,131.324
2021-04-21 09:35:21+00:00,131.324
2021-04-21 09:50:25+00:00,131.324
2021-04-21 10:05:22+00:00,131.324
2021-04-21 10:19:54+00:00,131.324
2021-04-21 10:35:03+00:00,131.324
2021-04-21 10:49:36+00:00,131.324
2021-04-21 11:04:39+00:00,131.324
2021-04-21 11:19:47+00:00,131.324
2021-04-21 11:34:45+00:00,131.324
2021-04-21 11:49:25+00:00,131.324
2021-04-21 12:04:11+00:00,131.324
2021-04-21 12:19:01+00:00,131.324
2021-04-21 12:33:54+00:00,131.324
2021-04-21 12:49:00+00:00,131.324
2021-04-21 13:04:25+00:00,131.324
2021-04-21 13:19:52+00:00,131.324
2021-04-21 13:34:51+00:00,131.324
2021-04-21 13:49:23+00:00,131.324
2021-04-21 14:03:59+00:00,131.324
2021-04-21 14:19:04+00:00,131.324
2021-04-21 14:33:38+00:00,131.324
2021-04-21 14:48:38+00:00,131.324
2021-04-21 15:04:07+00:00,131.324
2021-04-21 15:19:19+00:00,131.324
2021-04-21 15:33:50+00:00,131.324
2021-04-21 15:48:50+00:00,131.324
2021-04-21 16:04:17+00:00,131.324
2021-04-21 16:19:41+00:00,131.324
2021-04-21 16:34:37+00:00,131.324
2021-04-21 16:49:10+00:00,131.324
2021-04-21 17:03:53+00:00,131.324
2021-04-21 17:18:47+00:00,131.324
2021-04-21 17:34:11+00:00,131.324
2021-04-21 17:48:47+00:00,131.324
2021-04-21 18:04:07+00:00,131.324
2021-04-21 18:18:40+00:00,131.324
2021-04-21 18:33:59+00:00,131.324
2021-04-21 18:49:21+00:00,131.324
2021-04-21 19:04:14+00:00,131.324
2021-04-21 19:19:13+00:00,131.324
2021-04-21 19:34:39+00:00,131.341
2021-04-21 19:49:20+00:00,131.349
2021-04-21 20:03:55+00:00,131.352
2021-04-21 20:18:45+00:00,131.354
2021-04-21 20:33:58+00:00,131.356
