ts,value
2022-04-20 00:12:49+00:00,11.91
2022-04-20 00:27:49+00:00,11.91
2022-04-20 00:42:49+00:00,11.91
2022-04-20 00:57:49+00:00,11.91
2022-04-20 01:12:49+00:00,11.91
2022-04-20 01:27:49+00:00,11.91
2022-04-20 01:42:49+00:00,11.91
2022-04-20 01:57:49+00:00,11.91
2022-04-20 02:12:49+00:00,11.91
2022-04-20 02:27:49+00:00,11.91
2022-04-20 02:42:49+00:00,11.91
2022-04-20 02:57:49+00:00,11.91
2022-04-20 03:12:49+00:00,11.91
2022-04-20 03:27:49+00:00,11.91
2022-04-20 03:42:49+00:00,11.91
2022-04-20 03:57:49+00:00,11.91
2022-04-20 04:12:49+00:00,11.91
2022-04-20 04:27:49+00:00,11.91
2022-04-20 04:42:49+00:00,11.91
2022-04-20 04:57:49+00:00,11.91
2022-04-20 05:12:49+00:00,11.91
2022-04-20 05:27:48+00:00,11.91
2022-04-20 05:42:48+00:00,11.91
2022-04-20 05:57:48+00:00,11.91
2022-04-20 06:12:48+00:00,11.91
2022-04-20 06:27:48+00:00,11.91
2022-04-20 06:42:48+00:00,11.91
2022-04-20 06:57:48+00:00,11.91
2022-04-20 07:12:48+00:00,11.91
2022-04-20 07:27:48+00:00,11.91
2022-04-20 07:42:48+00:00,11.91
2022-04-20 07:57:48+00:00,11.91
2022-04-20 08:12:48+00:00,11.91
2022-04-20 08:27:48+00:00,11.91
2022-04-20 08:42:48+00:00,11.91
2022-04-20 08:57:48+00:00,11.91
2022-04-20 09:12:48+00:00,11.91
2022-04-20 09:27:48+00:00,11.91
2022-04-20 09:42:48+00:00,11.91
2022-04-20 09:57:48+00:00,11.91
2022-04-20 10:12:48+00:00,11.91
2022-04-20 10:27:48+00:00,11.91
2022-04-20 10:42:48+00:00,11.91
2022-04-20 10:57:48+00:00,11.91
2022-04-20 11:12:48+00:00,11.91
2022-04-20 11:27:47+00:00,11.91
2022-04-20 11:42:47+00:00,11.91
2022-04-20 11:57:47+00:00,11.91
2022-04-20 12:12:47+00:00,11.91
2022-04-20 12:27:47+00:00,11.91
2022-04-20 12:42:47+00:00,11.91
2022-04-20 12:57:47+00:00,11.91
2022-04-20 13:12:47+00:00,11.91
2022-04-20 13:42:47+00:00,11.91
2022-04-20 13:57:47+00:00,11.91
2022-04-20 14:12:47+00:00,11.91
2022-04-20 14:27:47+00:00,11.91
2022-04-20 14:42:47+00:00,11.91
2022-04-20 14:57:47+00:00,11.91
2022-04-20 15:12:47+00:00,11.91
2022-04-20 15:27:47+00:00,11.91
2022-04-20 15:42:47+00:00,11.91
2022-04-20 15:57:47+00:00,11.91
2022-04-20 16:12:47+00:00,11.91
2022-04-20 16:27:47+00:00,11.91
2022-04-20 16:42:47+00:00,11.91
2022-04-20 16:57:47+00:00,11.91
2022-04-20 17:12:47+00:00,11.91
2022-04-20 17:27:47+00:00,11.91
2022-04-20 17:42:46+00:00,11.91
2022-04-20 17:57:46+00:00,11.91
2022-04-20 18:12:46+00:00,11.91
2022-04-20 18:27:46+00:00,11.91
2022-04-20 18:42:46+00:00,11.91
2022-04-20 18:57:46+00:00,11.91
2022-04-20 19:12:46+00:00,11.91
2022-04-20 19:27:46+00:00,11.91
2022-04-20 19:42:46+00:00,11.91
2022-04-20 19:57:46+00:00,11.91
2022-04-20 20:12:46+00:00,11.91
2022-04-20 20:27:46+00:00,11.91
2022-04-20 20:42:46+00:00,11.91
2022-04-20 20:57:46+00:00,11.91
2022-04-20 21:12:46+00:00,11.91
2022-04-20 21:27:46+00:00,11.91
2022-04-20 21:42:46+00:00,11.91
2022-04-20 21:57:46+00:00,11.91
2022-04-20 22:12:46+00:00,11.91
2022-04-20 22:27:46+00:00,11.91
2022-04-20 22:42:46+00:00,11.91
2022-04-20 22:57:46+00:00,11.91
2022-04-20 23:12:46+00:00,11.91
2022-04-20 23:27:46+00:00,11.91
2022-04-20 23:42:45+00:00,11.91
2022-04-20 23:57:45+00:00,11.91
2022-04-21 00:12:45+00:00,11.91
2022-04-21 00:27:45+00:00,11.91
2022-04-21 00:42:45+00:00,11.91
2022-04-21 00:57:45+00:00,11.91
2022-04-21 01:12:45+00:00,11.91
2022-04-21 01:27:45+00:00,11.91
2022-04-21 01:42:45+00:00,11.91
2022-04-21 01:57:45+00:00,11.91
2022-04-21 02:12:45+00:00,11.91
2022-04-21 02:42:45+00:00,11.91
2022-04-21 02:57:45+00:00,11.91
2022-04-21 03:12:45+00:00,11.91
2022-04-21 03:27:45+00:00,11.91
2022-04-21 03:42:45+00:00,11.91
2022-04-21 03:57:45+00:00,11.91
2022-04-21 04:12:45+00:00,11.91
2022-04-21 04:27:45+00:00,11.91
2022-04-21 04:42:45+00:00,11.91
2022-04-21 04:57:45+00:00,11.91
2022-04-21 05:12:45+00:00,11.91
2022-04-21 05:27:45+00:00,11.91
2022-04-21 05:42:45+00:00,11.91
2022-04-21 05:57:44+00:00,11.91
2022-04-21 06:12:44+00:00,11.91
2022-04-21 06:27:44+00:00,11.91
2022-04-21 06:42:44+00:00,11.91
2022-04-21 06:57:44+00:00,11.91
2022-04-21 07:12:44+00:00,11.91
2022-04-21 07:27:44+00:00,11.91
2022-04-21 07:42:44+00:00,11.91
2022-04-21 07:57:44+00:00,11.91
2022-04-21 08:12:44+00:00,11.91
2022-04-21 08:27:44+00:00,11.91
2022-04-21 08:42:44+00:00,11.91
2022-04-21 08:57:44+00:00,11.91
2022-04-21 09:12:44+00:00,11.91
2022-04-21 09:27:44+00:00,11.91
2022-04-21 09:42:44+00:00,11.91
2022-04-21 09:57:44+00:00,11.91
2022-04-21 10:12:44+00:00,11.91
2022-04-21 10:27:44+00:00,11.91
2022-04-21 10:42:44+00:00,11.91
2022-04-21 10:57:44+00:00,11.91
2022-04-21 11:12:44+00:00,11.91
2022-04-21 11:27:44+00:00,11.91
2022-04-21 11:42:44+00:00,11.91
2022-04-21 11:57:43+00:00,11.91
2022-04-21 12:12:43+00:00,11.91
2022-04-21 12:27:43+00:00,11.91
2022-04-21 12:42:43+00:00,11.91
2022-04-21 12:57:43+00:00,11.91
2022-04-21 13:12:43+00:00,11.91
2022-04-21 13:27:43+00:00,11.91
2022-04-21 13:42:43+00:00,11.91
2022-04-21 13:57:43+00:00,11.91
2022-04-21 14:12:43+00:00,11.91
2022-04-21 14:27:43+00:00,11.91
2022-04-21 14:42:43+00:00,11.91
2022-04-21 14:57:43+00:00,11.91
2022-04-21 15:12:43+00:00,11.91
2022-04-21 15:27:43+00:00,11.91
2022-04-21 15:42:43+00:00,11.91
2022-04-21 15:57:43+00:00,11.91
2022-04-21 16:12:43+00:00,11.91
2022-04-21 16:27:43+00:00,11.91
2022-04-21 16:42:43+00:00,11.91
2022-04-21 16:57:43+00:00,11.91
2022-04-21 17:12:43+00:00,11.91
2022-04-21 17:27:43+00:00,11.91
2022-04-21 17:42:43+00:00,11.91
2022-04-21 17:57:42+00:00,11.91
2022-04-21 18:12:42+00:00,11.91
2022-04-21 18:27:42+00:00,11.91
2022-04-21 18:42:42+00:00,11.91
2022-04-21 18:57:42+00:00,11.91
2022-04-21 19:12:42+00:00,11.91
2022-04-21 19:27:42+00:00,11.91
2022-04-21 19:42:42+00:00,11.91
2022-04-21 19:57:42+00:00,11.91
2022-04-21 20:12:42+00:00,11.91
2022-04-21 20:27:42+00:00,11.91
2022-04-21 20:42:42+00:00,11.91
2022-04-21 20:57:42+00:00,11.91
2022-04-21 21:12:42+00:00,11.91
2022-04-21 21:27:42+00:00,11.91
2022-04-21 21:42:42+00:00,11.91
2022-04-21 21:57:42+00:00,11.91
2022-04-21 22:12:42+00:00,11.91
2022-04-21 22:27:42+00:00,11.91
2022-04-21 22:42:42+00:00,11.91
2022-04-21 22:57:42+00:00,11.91
2022-04-21 23:12:42+00:00,11.91
2022-04-21 23:27:42+00:00,11.91
2022-04-21 23:42:42+00:00,11.91
2022-04-21 23:57:42+00:00,11.91
2022-04-22 00:12:41+00:00,11.91
2022-04-22 00:27:41+00:00,11.91
2022-04-22 00:42:41+00:00,11.91
2022-04-22 00:57:41+00:00,11.91
2022-04-22 01:12:41+00:00,11.91
2022-04-22 01:27:41+00:00,11.91
2022-04-22 01:42:41+00:00,11.91
2022-04-22 01:57:41+00:00,11.91
2022-04-22 02:12:41+00:00,11.91
2022-04-22 02:27:41+00:00,11.91
2022-04-22 02:42:41+00:00,11.91
2022-04-22 02:57:41+00:00,11.91
2022-04-22 03:12:41+00:00,11.91
2022-04-22 03:27:41+00:00,11.91
2022-04-22 03:42:41+00:00,11.91
2022-04-22 03:57:41+00:00,11.91
2022-04-22 04:12:41+00:00,11.91
2022-04-22 04:27:41+00:00,11.91
2022-04-22 04:42:41+00:00,11.91
2022-04-22 04:57:41+00:00,11.91
2022-04-22 05:12:41+00:00,11.91
2022-04-22 05:27:41+00:00,11.91
2022-04-22 05:42:41+00:00,11.91
2022-04-22 05:57:41+00:00,11.91
2022-04-22 06:12:40+00:00,11.91
2022-04-22 06:27:40+00:00,11.91
2022-04-22 06:42:40+00:00,11.91
2022-04-22 07:12:40+00:00,11.91
2022-04-22 07:27:40+00:00,11.91
2022-04-22 07:42:40+00:00,11.91
2022-04-22 07:57:40+00:00,11.91
2022-04-22 08:12:40+00:00,11.91
2022-04-22 08:27:40+00:00,11.91
2022-04-22 08:42:40+00:00,11.91
2022-04-22 08:57:40+00:00,11.91
2022-04-22 09:12:40+00:00,11.91
2022-04-23 00:12:38+00:00,11.91
2022-04-23 00:27:37+00:00,11.91
2022-04-23 00:42:37+00:00,11.91
2022-04-23 00:57:37+00:00,11.91
2022-04-23 01:12:37+00:00,11.91
2022-04-23 01:27:37+00:00,11.91
2022-04-23 01:42:37+00:00,11.91
2022-04-23 01:57:37+00:00,11.91
2022-04-23 02:12:37+00:00,11.91
2022-04-23 02:27:37+00:00,11.91
2022-04-23 02:42:37+00:00,11.91
2022-04-23 02:57:37+00:00,11.91
2022-04-23 03:12:37+00:00,11.91
2022-04-23 03:27:37+00:00,11.91
2022-04-23 03:42:37+00:00,11.91
2022-04-23 03:57:37+00:00,11.91
2022-04-23 04:12:37+00:00,11.91
2022-04-23 04:27:37+00:00,11.91
2022-04-23 04:42:37+00:00,11.91
2022-04-23 04:57:37+00:00,11.91
