ts,value
2021-05-04 07:37:57+00:00,62.3431
2021-05-04 08:07:58+00:00,62.3434
2021-05-04 08:22:57+00:00,62.3436
2021-05-04 09:08:00+00:00,62.3471
2021-05-04 09:23:00+00:00,62.3473
2021-05-04 10:08:01+00:00,62.3494
2021-05-04 10:53:02+00:00,62.3531
2021-05-04 11:23:04+00:00,62.3606
2021-05-04 11:38:03+00:00,62.3607
2021-05-04 12:08:06+00:00,62.3611
2021-05-04 12:58:36+00:00,62.3626
2021-05-04 13:23:09+00:00,62.3644
2021-05-04 13:53:11+00:00,62.3725
2021-05-04 14:08:11+00:00,62.3729
2021-05-04 14:23:13+00:00,62.3735
2021-05-04 14:38:12+00:00,62.374
2021-05-04 14:53:13+00:00,62.3862
2021-05-04 15:08:13+00:00,62.3867
2021-05-04 15:38:14+00:00,62.4029
2021-05-04 15:53:15+00:00,62.4074
2021-05-04 16:08:16+00:00,62.4081
2021-05-04 16:23:18+00:00,62.4087
2021-05-04 16:38:18+00:00,62.4104
2021-05-04 17:08:19+00:00,62.4116
2021-05-04 17:23:19+00:00,62.4122
2021-05-04 17:38:19+00:00,62.4127
2021-05-04 17:53:20+00:00,62.4145
2021-05-04 18:08:21+00:00,62.4148
2021-05-04 18:23:21+00:00,62.417
2021-05-04 18:38:22+00:00,62.4182
2021-05-04 18:53:22+00:00,62.4186
2021-05-04 19:08:22+00:00,62.419
2021-05-04 19:23:23+00:00,62.4214
2021-05-04 19:38:23+00:00,62.4331
2021-05-04 19:53:22+00:00,62.4377
2021-05-04 20:08:24+00:00,62.4402
2021-05-04 20:23:23+00:00,62.4426
2021-05-04 20:38:24+00:00,62.4451
2021-05-04 20:53:24+00:00,62.4476
2021-05-04 21:08:25+00:00,62.4501
2021-05-04 21:23:26+00:00,62.4526
2021-05-04 21:38:26+00:00,62.4552
2021-05-04 21:53:27+00:00,62.4577
2021-05-04 22:08:27+00:00,62.4602
2021-05-04 22:23:28+00:00,62.4628
2021-05-04 22:38:28+00:00,62.4653
2021-05-04 22:53:28+00:00,62.4678
2021-05-04 23:08:28+00:00,62.4704
2021-05-04 23:23:31+00:00,62.4729
2021-05-04 23:38:30+00:00,62.4755
2021-05-04 23:53:30+00:00,62.4781
2021-05-05 00:08:32+00:00,62.4806
2021-05-05 00:23:31+00:00,62.4832
2021-05-05 00:38:31+00:00,62.4858
2021-05-05 00:53:32+00:00,62.4883
2021-05-05 01:08:33+00:00,62.4909
2021-05-05 01:23:32+00:00,62.4935
2021-05-05 01:38:34+00:00,62.496
2021-05-05 01:53:34+00:00,62.4986
2021-05-05 02:08:35+00:00,62.5012
2021-05-05 02:23:35+00:00,62.5037
2021-05-05 02:38:37+00:00,62.5063
2021-05-05 02:53:35+00:00,62.5088
2021-05-05 03:08:36+00:00,62.5114
2021-05-05 03:23:36+00:00,62.5257
2021-05-05 03:38:38+00:00,62.5282
2021-05-05 03:53:38+00:00,62.5292
2021-05-05 04:08:38+00:00,62.5297
2021-05-05 04:23:38+00:00,62.53
2021-05-05 04:38:41+00:00,62.5304
2021-05-05 04:53:40+00:00,62.5308
2021-05-05 05:08:41+00:00,62.5312
2021-05-05 05:23:43+00:00,62.5313
2021-05-05 05:38:42+00:00,62.5316
2021-05-05 05:53:43+00:00,62.532
2021-05-05 06:08:43+00:00,62.5324
2021-05-05 06:23:43+00:00,62.5327
2021-05-05 06:38:43+00:00,62.533
2021-05-05 06:53:45+00:00,62.5334
2021-05-05 07:08:46+00:00,62.5336
2021-05-05 07:23:47+00:00,62.5339
2021-05-05 07:38:47+00:00,62.5344
2021-05-05 07:53:47+00:00,62.5417
2021-05-05 08:08:47+00:00,62.5422
2021-05-05 08:23:47+00:00,62.5427
2021-05-05 08:38:46+00:00,62.5433
2021-05-05 08:53:47+00:00,62.5437
2021-05-05 09:08:48+00:00,62.5441
2021-05-05 09:23:48+00:00,62.5445
2021-05-05 09:38:48+00:00,62.545
2021-05-05 09:53:49+00:00,62.5454
2021-05-05 10:08:50+00:00,62.5543
2021-05-05 10:23:51+00:00,62.5628
2021-05-05 10:38:50+00:00,62.5632
2021-05-05 10:53:50+00:00,62.5638
2021-05-05 11:08:49+00:00,62.5643
2021-05-05 11:23:50+00:00,62.5648
2021-05-05 11:38:52+00:00,62.5653
2021-05-05 11:53:50+00:00,62.5698
2021-05-05 12:08:52+00:00,62.5708
2021-05-05 12:23:53+00:00,62.5769
2021-05-05 12:38:53+00:00,62.5776
2021-05-05 12:53:54+00:00,62.5784
2021-05-05 13:08:53+00:00,62.5803
2021-05-05 13:23:54+00:00,62.5808
2021-05-05 14:23:56+00:00,62.5842
2021-05-05 14:38:57+00:00,62.5846
2021-05-05 14:54:00+00:00,62.585
2021-05-05 15:08:59+00:00,62.588
2021-05-05 15:24:00+00:00,62.5883
2021-05-05 15:38:59+00:00,62.5887
2021-05-05 16:09:01+00:00,62.5946
2021-05-05 16:39:02+00:00,62.598
2021-05-05 17:24:03+00:00,62.599
2021-05-05 17:39:05+00:00,62.5993
2021-05-05 18:09:07+00:00,62.6002
2021-05-05 18:24:07+00:00,62.6017
2021-05-05 18:39:08+00:00,62.6022
2021-05-05 18:54:08+00:00,62.6033
2021-05-05 19:09:10+00:00,62.6037
2021-05-05 19:24:10+00:00,62.6041
2021-05-05 19:54:13+00:00,62.631
2021-05-05 20:24:14+00:00,62.636
2021-05-05 20:39:15+00:00,62.6384
2021-05-05 20:54:15+00:00,62.641
2021-05-05 21:24:15+00:00,62.646
2021-05-05 22:24:19+00:00,62.6561
2021-05-05 22:39:20+00:00,62.6586
2021-05-05 23:54:24+00:00,62.6712
2021-05-06 00:09:22+00:00,62.6738
2021-05-06 00:24:24+00:00,62.6763
2021-05-06 00:39:25+00:00,62.6788
2021-05-06 01:54:26+00:00,62.6915
2021-05-06 02:24:26+00:00,62.6965
2021-05-06 02:39:27+00:00,62.699
2021-05-06 03:09:29+00:00,62.704
2021-05-06 03:24:28+00:00,62.7065
2021-05-06 04:24:32+00:00,62.7115
2021-05-06 04:39:32+00:00,62.7118
2021-05-06 05:54:35+00:00,62.7141
2021-05-06 06:24:36+00:00,62.7148
2021-05-06 06:39:37+00:00,62.7153
2021-05-06 06:54:38+00:00,62.7158
2021-05-06 07:09:37+00:00,62.7189
2021-05-06 07:24:38+00:00,62.7199
2021-05-06 07:39:39+00:00,62.7205
2021-05-06 07:54:40+00:00,62.7224
2021-05-06 08:09:41+00:00,62.7227
2021-05-06 08:24:42+00:00,62.7237
2021-05-06 08:39:42+00:00,62.725
2021-05-06 09:09:42+00:00,62.7254
2021-05-06 09:24:43+00:00,62.7258
2021-05-06 09:39:43+00:00,62.7262
2021-05-06 10:09:42+00:00,62.7343
2021-05-06 10:24:42+00:00,62.7348
2021-05-06 10:39:43+00:00,62.7374
2021-05-06 10:54:43+00:00,62.7378
2021-05-06 11:09:44+00:00,62.7383
2021-05-06 11:24:44+00:00,62.7387
2021-05-06 11:39:45+00:00,62.7396
2021-05-06 12:39:47+00:00,62.7417
2021-05-06 13:54:50+00:00,62.7511
2021-05-06 14:24:51+00:00,62.7765
2021-05-06 14:54:51+00:00,62.7804
2021-05-06 15:24:54+00:00,62.7819
2021-05-06 15:39:52+00:00,62.7841
2021-05-06 15:54:54+00:00,62.7843
2021-05-06 16:09:53+00:00,62.7846
2021-05-06 16:24:54+00:00,62.7947
2021-05-06 16:39:53+00:00,62.7963
2021-05-06 16:54:54+00:00,62.8061
2021-05-06 17:09:55+00:00,62.8062
2021-05-06 17:24:58+00:00,62.8064
2021-05-06 17:39:57+00:00,62.8066
2021-05-06 18:24:59+00:00,62.8072
2021-05-06 18:40:00+00:00,62.8214
2021-05-06 19:55:01+00:00,62.8412
2021-05-06 20:10:03+00:00,62.8436
2021-05-06 20:25:03+00:00,62.846
2021-05-06 20:40:02+00:00,62.8485
2021-05-06 21:10:03+00:00,62.8534
2021-05-06 21:25:02+00:00,62.8558
2021-05-06 21:40:04+00:00,62.8583
2021-05-06 21:55:04+00:00,62.8608
2021-05-06 22:10:05+00:00,62.8632
2021-05-06 22:25:06+00:00,62.8657
2021-05-06 22:40:07+00:00,62.8682
2021-05-06 22:55:07+00:00,62.8707
2021-05-06 23:10:08+00:00,62.8731
2021-05-06 23:55:09+00:00,62.8806
2021-05-07 00:25:13+00:00,62.8855
2021-05-07 00:40:11+00:00,62.888
2021-05-07 01:10:14+00:00,62.893
2021-05-07 01:55:15+00:00,62.9004
2021-05-07 02:25:17+00:00,62.9053
2021-05-07 02:40:17+00:00,62.9077
2021-05-07 03:10:18+00:00,62.9126
2021-05-07 04:25:22+00:00,62.9298
2021-05-07 04:40:23+00:00,62.9301
2021-05-07 07:25:32+00:00,62.9352
2021-05-07 07:40:32+00:00,62.9354
2021-05-07 08:10:34+00:00,62.936
2021-05-07 08:40:36+00:00,62.9366
2021-05-07 09:25:37+00:00,62.9375
2021-05-07 09:40:36+00:00,62.9379
2021-05-07 10:10:37+00:00,62.9385
2021-05-07 10:25:37+00:00,62.9396
2021-05-07 10:40:37+00:00,62.94
2021-05-07 10:55:38+00:00,62.9402
2021-05-07 11:10:39+00:00,62.9407
2021-05-07 11:25:39+00:00,62.9439
2021-05-07 12:10:42+00:00,62.9545
2021-05-07 12:25:43+00:00,62.9551
2021-05-07 12:40:45+00:00,62.9554
