ts,value
2020-10-05 00:00:00+00:00,10.5
2020-10-05 00:15:00+00:00,10.5
2020-10-05 00:30:00+00:00,10.8
2020-10-05 00:45:00+00:00,10.4
2020-10-05 01:00:00+00:00,10.3
2020-10-05 01:15:00+00:00,10.7
2020-10-05 01:30:00+00:00,10.6
2020-10-05 01:45:00+00:00,10.4
2020-10-05 02:00:00+00:00,10.9
2020-10-05 02:15:00+00:00,10.4
2020-10-05 02:30:00+00:00,10.6
2020-10-05 02:45:00+00:00,11.1
2020-10-05 03:00:00+00:00,10.8
2020-10-05 03:15:00+00:00,14.1
2020-10-05 03:30:00+00:00,11.0
2020-10-05 03:45:00+00:00,10.8
2020-10-05 04:00:00+00:00,13.2
2020-10-05 04:15:00+00:00,12.7
2020-10-05 04:30:00+00:00,12.3
2020-10-05 04:45:00+00:00,22.0
2020-10-05 05:00:00+00:00,24.9
2020-10-05 05:15:00+00:00,42.0
2020-10-05 05:30:00+00:00,44.2
2020-10-05 05:45:00+00:00,47.6
2020-10-05 06:00:00+00:00,49.5
2020-10-05 06:15:00+00:00,59.7
2020-10-05 06:30:00+00:00,58.1
2020-10-05 06:45:00+00:00,58.4
2020-10-05 07:00:00+00:00,57.7
2020-10-05 07:15:00+00:00,60.1
2020-10-05 07:30:00+00:00,67.3
2020-10-05 07:45:00+00:00,68.7
2020-10-05 08:00:00+00:00,71.0
2020-10-05 08:15:00+00:00,71.3
2020-10-05 08:30:00+00:00,71.0
2020-10-05 08:45:00+00:00,67.0
2020-10-05 09:00:00+00:00,67.8
2020-10-05 09:15:00+00:00,70.4
2020-10-05 09:30:00+00:00,68.2
2020-10-05 09:45:00+00:00,65.6
2020-10-05 10:00:00+00:00,67.3
2020-10-05 10:15:00+00:00,66.8
2020-10-05 10:30:00+00:00,69.4
2020-10-05 10:45:00+00:00,68.0
2020-10-05 11:00:00+00:00,70.1
2020-10-05 11:15:00+00:00,61.1
2020-10-05 11:30:00+00:00,57.1
2020-10-05 11:45:00+00:00,54.5
2020-10-05 12:00:00+00:00,53.1
2020-10-05 12:15:00+00:00,56.0
2020-10-05 12:30:00+00:00,57.2
2020-10-05 12:45:00+00:00,60.1
2020-10-05 13:00:00+00:00,56.9
2020-10-05 13:15:00+00:00,53.1
2020-10-05 13:30:00+00:00,56.3
2020-10-05 13:45:00+00:00,51.0
2020-10-05 14:00:00+00:00,49.5
2020-10-05 14:15:00+00:00,45.9
2020-10-05 14:30:00+00:00,40.1
2020-10-05 14:45:00+00:00,36.4
2020-10-05 15:00:00+00:00,36.4
2020-10-05 15:15:00+00:00,35.7
2020-10-05 15:30:00+00:00,36.2
2020-10-05 15:45:00+00:00,39.1
2020-10-05 16:00:00+00:00,27.4
2020-10-05 16:15:00+00:00,18.5
2020-10-05 16:30:00+00:00,19.6
2020-10-05 16:45:00+00:00,13.6
2020-10-05 17:00:00+00:00,10.2
2020-10-05 17:15:00+00:00,12.6
2020-10-05 17:30:00+00:00,13.7
2020-10-05 17:45:00+00:00,15.2
2020-10-05 18:00:00+00:00,14.0
2020-10-05 18:15:00+00:00,13.6
2020-10-05 18:30:00+00:00,14.8
2020-10-05 18:45:00+00:00,11.9
2020-10-05 19:00:00+00:00,13.5
2020-10-05 19:15:00+00:00,13.6
2020-10-05 19:30:00+00:00,10.8
2020-10-05 19:45:00+00:00,10.7
2020-10-05 20:00:00+00:00,10.5
2020-10-05 20:15:00+00:00,10.4
2020-10-05 20:30:00+00:00,10.4
2020-10-05 20:45:00+00:00,10.3
2020-10-05 21:00:00+00:00,10.8
2020-10-05 21:15:00+00:00,12.8
2020-10-05 21:30:00+00:00,13.0
2020-10-05 21:45:00+00:00,13.3
2020-10-05 22:00:00+00:00,13.2
2020-10-05 22:15:00+00:00,12.9
2020-10-05 22:30:00+00:00,13.2
2020-10-05 22:45:00+00:00,13.0
2020-10-05 23:00:00+00:00,13.2
2020-10-05 23:15:00+00:00,13.0
2020-10-05 23:30:00+00:00,13.2
2020-10-05 23:45:00+00:00,13.0
2020-10-06 00:00:00+00:00,13.0
2020-10-06 00:15:00+00:00,13.0
2020-10-06 00:30:00+00:00,12.9
2020-10-06 00:45:00+00:00,13.2
2020-10-06 01:00:00+00:00,13.3
2020-10-06 01:15:00+00:00,13.2
2020-10-06 01:30:00+00:00,13.4
2020-10-06 01:45:00+00:00,13.2
2020-10-06 02:00:00+00:00,13.3
2020-10-06 02:15:00+00:00,13.1
2020-10-06 02:30:00+00:00,12.8
2020-10-06 02:45:00+00:00,13.0
2020-10-06 03:00:00+00:00,11.4
2020-10-06 03:15:00+00:00,11.7
2020-10-06 03:30:00+00:00,12.4
