ts,value
2019-06-14 05:00:00+00:00,455.427
2019-06-14 06:00:00+00:00,81.894
2019-06-14 07:00:00+00:00,806.744
2019-06-14 08:00:00+00:00,958.434
2019-06-14 09:00:00+00:00,901.391
2019-06-14 10:00:00+00:00,738.887
2019-06-14 11:00:00+00:00,487.468
2019-06-14 12:00:00+00:00,706.003
2019-06-14 13:00:00+00:00,741.39
2019-06-14 14:00:00+00:00,719.816
2019-06-14 15:00:00+00:00,718.011
2019-06-14 16:00:00+00:00,410.968
2019-06-14 17:00:00+00:00,364.12
2019-06-14 18:00:00+00:00,14.493
2019-06-14 19:00:00+00:00,72.305
2019-06-14 20:00:00+00:00,0.0
2019-06-14 21:00:00+00:00,1.313
2019-06-14 22:00:00+00:00,0.0
2019-06-14 23:00:00+00:00,1.315
2019-06-15 00:00:00+00:00,1.313
2019-06-15 01:00:00+00:00,0.0
2019-06-15 02:00:00+00:00,1.313
2019-06-15 03:00:00+00:00,0.0
2019-06-15 04:00:00+00:00,1.308
2019-06-15 05:00:00+00:00,16.989
2019-06-15 06:00:00+00:00,0.0
2019-06-15 07:00:00+00:00,0.0
2019-06-15 08:00:00+00:00,0.0
2019-06-15 09:00:00+00:00,0.0
2019-06-15 10:00:00+00:00,13.074
2019-06-15 11:00:00+00:00,0.0
2019-06-15 12:00:00+00:00,1.308
2019-06-15 13:00:00+00:00,1.308
2019-06-15 14:00:00+00:00,0.0
2019-06-15 15:00:00+00:00,1.309
2019-06-15 16:00:00+00:00,1.306
2019-06-15 17:00:00+00:00,0.0
2019-06-15 18:00:00+00:00,1.31
2019-06-15 19:00:00+00:00,1.309
2019-06-15 20:00:00+00:00,0.0
2019-06-15 21:00:00+00:00,2.624
2019-06-15 22:00:00+00:00,0.0
2019-06-15 23:00:00+00:00,1.311
2019-06-16 00:00:00+00:00,1.316
2019-06-16 01:00:00+00:00,1.318
2019-06-16 02:00:00+00:00,1.319
2019-06-16 03:00:00+00:00,1.319
2019-06-16 04:00:00+00:00,0.0
2019-06-16 05:00:00+00:00,22.379
2019-06-16 06:00:00+00:00,7.899
2019-06-16 07:00:00+00:00,0.0
2019-06-16 08:00:00+00:00,0.0
2019-06-16 09:00:00+00:00,0.0
2019-06-16 10:00:00+00:00,11.867
2019-06-16 11:00:00+00:00,1.321
2019-06-16 12:00:00+00:00,0.0
2019-06-16 13:00:00+00:00,1.317
2019-06-16 14:00:00+00:00,0.0
