ts,value
2022-02-20 00:11:56+00:00,301.15
2022-02-20 00:26:56+00:00,301.15
2022-02-20 00:41:56+00:00,301.15
2022-02-20 00:56:56+00:00,301.15
2022-02-20 01:11:56+00:00,301.15
2022-02-20 01:26:56+00:00,301.15
2022-02-20 01:41:56+00:00,301.15
2022-02-20 01:56:56+00:00,301.15
2022-02-20 02:11:56+00:00,301.15
2022-02-20 02:26:56+00:00,301.15
2022-02-20 02:41:56+00:00,301.15
2022-02-20 02:56:56+00:00,301.15
2022-02-20 03:11:56+00:00,301.15
2022-02-20 03:26:56+00:00,301.15
2022-02-20 03:41:56+00:00,301.15
2022-02-20 03:56:56+00:00,301.15
2022-02-20 04:26:56+00:00,301.15
2022-02-20 04:41:56+00:00,301.15
2022-02-20 04:56:56+00:00,301.15
2022-02-20 05:11:56+00:00,301.15
2022-02-20 05:26:56+00:00,301.15
2022-02-20 05:41:56+00:00,301.15
2022-02-20 05:56:56+00:00,301.15
2022-02-20 06:11:56+00:00,301.15
2022-02-20 06:26:56+00:00,301.15
2022-02-20 06:41:55+00:00,301.15
2022-02-20 06:56:55+00:00,301.15
2022-02-20 07:26:55+00:00,301.15
2022-02-20 07:41:55+00:00,301.15
2022-02-20 07:56:55+00:00,301.15
2022-02-20 08:11:55+00:00,301.15
2022-02-20 08:26:55+00:00,301.15
2022-02-20 08:41:55+00:00,301.15
2022-02-20 08:56:55+00:00,301.15
2022-02-20 09:11:55+00:00,301.15
2022-02-20 09:26:55+00:00,301.15
2022-02-20 09:41:55+00:00,301.15
2022-02-20 09:56:55+00:00,301.15
2022-02-20 10:11:55+00:00,301.15
2022-02-20 10:26:55+00:00,301.15
2022-02-20 10:41:55+00:00,301.15
2022-02-20 10:56:55+00:00,301.15
2022-02-20 11:11:55+00:00,301.15
2022-02-20 11:26:55+00:00,301.15
2022-02-20 11:41:55+00:00,301.15
2022-02-20 11:56:55+00:00,301.15
2022-02-20 12:11:55+00:00,301.15
2022-02-20 12:26:55+00:00,301.15
2022-02-20 12:41:55+00:00,301.15
2022-02-20 12:56:55+00:00,301.15
2022-02-20 13:11:54+00:00,301.15
2022-02-20 13:26:54+00:00,301.15
2022-02-20 13:41:54+00:00,301.15
2022-02-20 13:56:54+00:00,301.15
2022-02-20 14:11:54+00:00,301.15
2022-02-20 14:26:54+00:00,301.15
2022-02-20 14:41:54+00:00,301.15
2022-02-20 14:56:54+00:00,301.15
2022-02-20 15:11:54+00:00,301.15
2022-02-20 15:26:54+00:00,301.15
2022-02-20 15:41:54+00:00,301.15
2022-02-20 15:56:54+00:00,301.15
2022-02-20 16:11:54+00:00,301.15
2022-02-20 16:26:54+00:00,301.15
2022-02-20 16:41:54+00:00,301.15
2022-02-20 16:56:54+00:00,301.15
2022-02-20 17:11:54+00:00,301.15
2022-02-20 17:26:54+00:00,301.15
2022-02-20 17:41:54+00:00,301.15
2022-02-20 17:56:54+00:00,301.15
2022-02-20 18:26:54+00:00,301.15
2022-02-20 18:41:54+00:00,301.15
2022-02-20 18:56:54+00:00,301.15
2022-02-20 19:11:54+00:00,301.15
2022-02-20 19:26:54+00:00,301.15
2022-02-20 19:41:53+00:00,301.15
2022-02-20 19:56:53+00:00,301.15
2022-02-20 20:26:53+00:00,301.15
2022-02-20 20:41:53+00:00,301.15
2022-02-20 20:56:53+00:00,301.15
2022-02-20 21:11:53+00:00,301.15
2022-02-20 21:26:53+00:00,301.15
2022-02-20 21:41:53+00:00,301.15
2022-02-20 21:56:53+00:00,301.15
2022-02-20 22:11:53+00:00,301.15
2022-02-20 22:41:53+00:00,301.15
2022-02-20 22:56:53+00:00,301.15
2022-02-20 23:11:53+00:00,301.15
2022-02-20 23:26:53+00:00,301.15
2022-02-20 23:41:53+00:00,301.15
2022-02-20 23:56:53+00:00,301.15
2022-02-21 00:11:53+00:00,301.15
2022-02-21 00:26:53+00:00,301.15
2022-02-21 00:41:53+00:00,301.15
2022-02-21 00:56:53+00:00,301.15
2022-02-21 01:11:53+00:00,301.15
2022-02-21 01:41:53+00:00,301.15
2022-02-21 01:56:53+00:00,301.15
2022-02-21 02:11:52+00:00,301.15
2022-02-21 02:26:52+00:00,301.15
2022-02-21 02:41:52+00:00,301.15
2022-02-21 02:56:52+00:00,301.15
2022-02-21 03:11:52+00:00,301.15
2022-02-21 03:41:52+00:00,301.15
2022-02-21 03:56:52+00:00,301.15
2022-02-21 04:11:52+00:00,301.15
2022-02-21 04:26:52+00:00,301.15
2022-02-21 04:41:52+00:00,301.16
2022-02-21 04:56:52+00:00,301.16
2022-02-21 05:11:52+00:00,301.16
2022-02-21 05:26:52+00:00,301.16
2022-02-21 05:41:52+00:00,301.17
2022-02-21 05:56:52+00:00,301.17
2022-02-21 06:11:52+00:00,301.2
2022-02-21 06:26:52+00:00,301.21
2022-02-21 06:56:52+00:00,301.23
2022-02-21 07:11:52+00:00,301.24
2022-02-21 07:26:52+00:00,301.25
2022-02-21 07:41:52+00:00,301.27
2022-02-21 07:56:52+00:00,301.28
2022-02-21 08:11:52+00:00,301.31
2022-02-21 08:26:52+00:00,301.32
2022-02-21 08:41:52+00:00,301.38
2022-02-21 08:56:51+00:00,301.4
2022-02-21 09:11:51+00:00,301.4
2022-02-21 09:26:51+00:00,301.46
2022-02-21 09:41:51+00:00,301.48
2022-02-21 09:56:51+00:00,301.53
2022-02-21 10:11:51+00:00,301.57
